dataset_name,fda_name,num_clients,batch_size,num_steps_until_rtc_check,theta,nn_name,nn_num_weights,sketch_width,sketch_depth,epoch,total_rounds,total_fda_steps,accuracy
MNIST,naive,20,256,1,1.0,AdvancedCNN,2592202,-1,-1,1,7,12,0.8327000141143799
MNIST,naive,20,256,1,1.0,AdvancedCNN,2592202,-1,-1,2,11,24,0.941100001335144
MNIST,naive,20,256,1,1.0,AdvancedCNN,2592202,-1,-1,3,14,36,0.9646000266075134
MNIST,naive,20,256,1,1.0,AdvancedCNN,2592202,-1,-1,4,16,47,0.9742000102996826
MNIST,naive,20,256,1,1.0,AdvancedCNN,2592202,-1,-1,5,19,59,0.9782000184059143
MNIST,naive,20,256,1,1.0,AdvancedCNN,2592202,-1,-1,6,21,71,0.9819999933242798
MNIST,naive,20,256,1,1.0,AdvancedCNN,2592202,-1,-1,7,24,83,0.9850000143051147
MNIST,naive,20,256,1,1.0,AdvancedCNN,2592202,-1,-1,8,26,94,0.9865000247955322
MNIST,naive,20,256,1,1.0,AdvancedCNN,2592202,-1,-1,9,28,106,0.9872999787330627
MNIST,naive,20,256,1,1.0,AdvancedCNN,2592202,-1,-1,10,31,118,0.989300012588501
MNIST,naive,20,256,1,1.0,AdvancedCNN,2592202,-1,-1,11,33,129,0.9894000291824341
MNIST,naive,20,256,1,1.0,AdvancedCNN,2592202,-1,-1,12,35,141,0.9896000027656555
MNIST,naive,20,256,1,1.0,AdvancedCNN,2592202,-1,-1,13,38,153,0.9904999732971191
MNIST,naive,20,256,1,1.0,AdvancedCNN,2592202,-1,-1,14,40,165,0.9907000064849854
MNIST,naive,20,256,1,1.0,AdvancedCNN,2592202,-1,-1,15,42,176,0.9914000034332275
MNIST,naive,20,256,1,1.0,AdvancedCNN,2592202,-1,-1,16,45,188,0.9912999868392944
MNIST,naive,20,256,1,1.0,AdvancedCNN,2592202,-1,-1,17,47,200,0.9911999702453613
MNIST,naive,20,256,1,1.0,AdvancedCNN,2592202,-1,-1,18,49,211,0.9919000267982483
MNIST,naive,20,256,1,1.0,AdvancedCNN,2592202,-1,-1,19,51,223,0.9919000267982483
