dataset_name,fda_name,num_clients,batch_size,num_steps_until_rtc_check,theta,nn_name,nn_num_weights,sketch_width,sketch_depth,epoch,total_rounds,total_fda_steps,accuracy
MNIST,sketch,5,256,1,0.5,AdvancedCNN,2592202,250,5,1,17,47,0.9682000279426575
MNIST,sketch,5,256,1,0.5,AdvancedCNN,2592202,250,5,2,28,94,0.9851999878883362
MNIST,sketch,5,256,1,0.5,AdvancedCNN,2592202,250,5,3,40,141,0.9886000156402588
MNIST,sketch,5,256,1,0.5,AdvancedCNN,2592202,250,5,4,51,188,0.9918000102043152
MNIST,sketch,5,256,1,0.5,AdvancedCNN,2592202,250,5,5,63,235,0.9922000169754028
MNIST,sketch,5,256,1,0.5,AdvancedCNN,2592202,250,5,6,74,282,0.9927999973297119
MNIST,sketch,5,256,1,0.5,AdvancedCNN,2592202,250,5,7,85,329,0.993399977684021
MNIST,sketch,5,256,1,0.5,AdvancedCNN,2592202,250,5,8,96,375,0.9927999973297119
MNIST,sketch,5,256,1,0.5,AdvancedCNN,2592202,250,5,9,107,422,0.9932000041007996
MNIST,sketch,5,256,1,0.5,AdvancedCNN,2592202,250,5,10,118,469,0.9944000244140625
MNIST,sketch,5,256,1,0.5,AdvancedCNN,2592202,250,5,11,129,516,0.9940999746322632
MNIST,sketch,5,256,1,0.5,AdvancedCNN,2592202,250,5,12,139,563,0.9941999912261963
MNIST,sketch,5,256,1,0.5,AdvancedCNN,2592202,250,5,13,150,610,0.9944999814033508
MNIST,sketch,5,256,1,0.5,AdvancedCNN,2592202,250,5,14,160,657,0.9937000274658203
MNIST,sketch,5,256,1,0.5,AdvancedCNN,2592202,250,5,15,171,704,0.9940000176429749
MNIST,sketch,5,256,1,0.5,AdvancedCNN,2592202,250,5,16,181,750,0.994700014591217
MNIST,sketch,5,256,1,0.5,AdvancedCNN,2592202,250,5,17,191,797,0.9940000176429749
MNIST,sketch,5,256,1,0.5,AdvancedCNN,2592202,250,5,18,201,844,0.9940000176429749
MNIST,sketch,5,256,1,0.5,AdvancedCNN,2592202,250,5,19,212,891,0.9948999881744385
MNIST,sketch,5,256,1,0.5,AdvancedCNN,2592202,250,5,20,222,938,0.9944000244140625
MNIST,sketch,5,256,1,0.5,AdvancedCNN,2592202,250,5,21,231,985,0.9948999881744385
MNIST,sketch,5,256,1,0.5,AdvancedCNN,2592202,250,5,22,241,1032,0.9943000078201294
MNIST,sketch,5,256,1,0.5,AdvancedCNN,2592202,250,5,23,251,1079,0.9944000244140625
MNIST,sketch,5,256,1,0.5,AdvancedCNN,2592202,250,5,24,260,1125,0.9954000115394592
MNIST,sketch,5,256,1,0.5,AdvancedCNN,2592202,250,5,25,269,1172,0.9943000078201294
MNIST,sketch,5,256,1,0.5,AdvancedCNN,2592202,250,5,26,278,1219,0.9952999949455261
MNIST,sketch,5,256,1,0.5,AdvancedCNN,2592202,250,5,27,288,1266,0.995199978351593
MNIST,sketch,5,256,1,0.5,AdvancedCNN,2592202,250,5,28,296,1313,0.9950000047683716
MNIST,sketch,5,256,1,0.5,AdvancedCNN,2592202,250,5,29,305,1360,0.9947999715805054
MNIST,sketch,5,256,1,0.5,AdvancedCNN,2592202,250,5,30,315,1407,0.9945999979972839
MNIST,sketch,5,256,1,0.5,AdvancedCNN,2592202,250,5,31,327,1454,0.994700014591217
MNIST,sketch,5,256,1,0.5,AdvancedCNN,2592202,250,5,32,336,1500,0.9950000047683716
MNIST,sketch,5,256,1,0.5,AdvancedCNN,2592202,250,5,33,349,1547,0.9943000078201294
MNIST,sketch,5,256,1,0.5,AdvancedCNN,2592202,250,5,34,358,1594,0.9945999979972839
MNIST,sketch,5,256,1,0.5,AdvancedCNN,2592202,250,5,35,369,1641,0.9944999814033508
MNIST,sketch,5,256,1,0.5,AdvancedCNN,2592202,250,5,36,380,1688,0.9943000078201294
MNIST,sketch,5,256,1,0.5,AdvancedCNN,2592202,250,5,37,391,1735,0.994700014591217
MNIST,sketch,5,256,1,0.5,AdvancedCNN,2592202,250,5,38,401,1782,0.9947999715805054
MNIST,sketch,5,256,1,0.5,AdvancedCNN,2592202,250,5,39,410,1829,0.9954000115394592
MNIST,sketch,5,256,1,0.5,AdvancedCNN,2592202,250,5,40,420,1875,0.994700014591217
MNIST,sketch,5,256,1,0.5,AdvancedCNN,2592202,250,5,41,430,1922,0.9952999949455261
MNIST,sketch,5,256,1,0.5,AdvancedCNN,2592202,250,5,42,439,1969,0.9944999814033508
MNIST,sketch,5,256,1,0.5,AdvancedCNN,2592202,250,5,43,448,2016,0.9945999979972839
MNIST,sketch,5,256,1,0.5,AdvancedCNN,2592202,250,5,44,456,2063,0.9944000244140625
MNIST,sketch,5,256,1,0.5,AdvancedCNN,2592202,250,5,45,466,2110,0.9944000244140625
