dataset_name,fda_name,num_clients,batch_size,num_steps_until_rtc_check,theta,nn_name,nn_num_weights,sketch_width,sketch_depth,epoch,total_rounds,total_fda_steps,accuracy
MNIST,linear,25,64,1,0.5,AdvancedCNN,2592202,-1,-1,1,19,38,0.9488000273704529
MNIST,linear,25,64,1,0.5,AdvancedCNN,2592202,-1,-1,2,31,75,0.9736999869346619
MNIST,linear,25,64,1,0.5,AdvancedCNN,2592202,-1,-1,3,44,113,0.9835000038146973
MNIST,linear,25,64,1,0.5,AdvancedCNN,2592202,-1,-1,4,56,150,0.9871000051498413
MNIST,linear,25,64,1,0.5,AdvancedCNN,2592202,-1,-1,5,68,188,0.9883999824523926
MNIST,linear,25,64,1,0.5,AdvancedCNN,2592202,-1,-1,6,80,225,0.9901000261306763
MNIST,linear,25,64,1,0.5,AdvancedCNN,2592202,-1,-1,7,92,263,0.9916999936103821
MNIST,linear,25,64,1,0.5,AdvancedCNN,2592202,-1,-1,8,103,300,0.9916999936103821
MNIST,linear,25,64,1,0.5,AdvancedCNN,2592202,-1,-1,9,114,338,0.9912999868392944
MNIST,linear,25,64,1,0.5,AdvancedCNN,2592202,-1,-1,10,125,375,0.9918000102043152
MNIST,linear,25,64,1,0.5,AdvancedCNN,2592202,-1,-1,11,137,413,0.991599977016449
MNIST,linear,25,64,1,0.5,AdvancedCNN,2592202,-1,-1,12,148,450,0.9919999837875366
MNIST,linear,25,64,1,0.5,AdvancedCNN,2592202,-1,-1,13,160,488,0.9923999905586243
MNIST,linear,25,64,1,0.5,AdvancedCNN,2592202,-1,-1,14,169,525,0.9932000041007996
MNIST,linear,25,64,1,0.5,AdvancedCNN,2592202,-1,-1,15,179,563,0.993399977684021
MNIST,linear,25,64,1,0.5,AdvancedCNN,2592202,-1,-1,16,188,600,0.992900013923645
MNIST,linear,25,64,1,0.5,AdvancedCNN,2592202,-1,-1,17,199,638,0.993399977684021
MNIST,linear,25,64,1,0.5,AdvancedCNN,2592202,-1,-1,18,208,675,0.9936000108718872
MNIST,linear,25,64,1,0.5,AdvancedCNN,2592202,-1,-1,19,218,713,0.9934999942779541
MNIST,linear,25,64,1,0.5,AdvancedCNN,2592202,-1,-1,20,228,750,0.9940999746322632
MNIST,linear,25,64,1,0.5,AdvancedCNN,2592202,-1,-1,21,238,788,0.9936000108718872
MNIST,linear,25,64,1,0.5,AdvancedCNN,2592202,-1,-1,22,247,825,0.9937999844551086
MNIST,linear,25,64,1,0.5,AdvancedCNN,2592202,-1,-1,23,256,863,0.9939000010490417
MNIST,linear,25,64,1,0.5,AdvancedCNN,2592202,-1,-1,24,266,900,0.9940999746322632
MNIST,linear,25,64,1,0.5,AdvancedCNN,2592202,-1,-1,25,275,938,0.9943000078201294
MNIST,linear,25,64,1,0.5,AdvancedCNN,2592202,-1,-1,26,283,975,0.9937000274658203
MNIST,linear,25,64,1,0.5,AdvancedCNN,2592202,-1,-1,27,292,1013,0.9937999844551086
MNIST,linear,25,64,1,0.5,AdvancedCNN,2592202,-1,-1,28,301,1050,0.9945999979972839
MNIST,linear,25,64,1,0.5,AdvancedCNN,2592202,-1,-1,29,309,1088,0.9944000244140625
MNIST,linear,25,64,1,0.5,AdvancedCNN,2592202,-1,-1,30,319,1125,0.9937999844551086
MNIST,linear,25,64,1,0.5,AdvancedCNN,2592202,-1,-1,31,328,1163,0.9941999912261963
MNIST,linear,25,64,1,0.5,AdvancedCNN,2592202,-1,-1,32,337,1200,0.9944999814033508
MNIST,linear,25,64,1,0.5,AdvancedCNN,2592202,-1,-1,33,345,1238,0.9944999814033508
MNIST,linear,25,64,1,0.5,AdvancedCNN,2592202,-1,-1,34,354,1275,0.9944000244140625
MNIST,linear,25,64,1,0.5,AdvancedCNN,2592202,-1,-1,35,363,1313,0.9934999942779541
MNIST,linear,25,64,1,0.5,AdvancedCNN,2592202,-1,-1,36,371,1350,0.9945999979972839
MNIST,linear,25,64,1,0.5,AdvancedCNN,2592202,-1,-1,37,380,1388,0.9944000244140625
MNIST,linear,25,64,1,0.5,AdvancedCNN,2592202,-1,-1,38,388,1425,0.9941999912261963
MNIST,linear,25,64,1,0.5,AdvancedCNN,2592202,-1,-1,39,396,1463,0.9944000244140625
MNIST,linear,25,64,1,0.5,AdvancedCNN,2592202,-1,-1,40,405,1500,0.9943000078201294
MNIST,linear,25,64,1,0.5,AdvancedCNN,2592202,-1,-1,41,413,1538,0.9940999746322632
MNIST,linear,25,64,1,0.5,AdvancedCNN,2592202,-1,-1,42,421,1575,0.9940999746322632
MNIST,linear,25,64,1,0.5,AdvancedCNN,2592202,-1,-1,43,431,1613,0.9945999979972839
MNIST,linear,25,64,1,0.5,AdvancedCNN,2592202,-1,-1,44,440,1650,0.9943000078201294
MNIST,linear,25,64,1,0.5,AdvancedCNN,2592202,-1,-1,45,448,1688,0.9944999814033508
MNIST,linear,25,64,1,0.5,AdvancedCNN,2592202,-1,-1,46,455,1725,0.9941999912261963
MNIST,linear,25,64,1,0.5,AdvancedCNN,2592202,-1,-1,47,465,1763,0.9943000078201294
MNIST,linear,25,64,1,0.5,AdvancedCNN,2592202,-1,-1,48,473,1800,0.9943000078201294
MNIST,linear,25,64,1,0.5,AdvancedCNN,2592202,-1,-1,49,482,1838,0.9944999814033508
MNIST,linear,25,64,1,0.5,AdvancedCNN,2592202,-1,-1,50,490,1875,0.9940999746322632
MNIST,linear,25,64,1,0.5,AdvancedCNN,2592202,-1,-1,51,499,1913,0.9940000176429749
MNIST,linear,25,64,1,0.5,AdvancedCNN,2592202,-1,-1,52,507,1950,0.9944999814033508
MNIST,linear,25,64,1,0.5,AdvancedCNN,2592202,-1,-1,53,516,1988,0.9941999912261963
MNIST,linear,25,64,1,0.5,AdvancedCNN,2592202,-1,-1,54,524,2025,0.9940999746322632
MNIST,linear,25,64,1,0.5,AdvancedCNN,2592202,-1,-1,55,531,2063,0.994700014591217
MNIST,linear,25,64,1,0.5,AdvancedCNN,2592202,-1,-1,56,540,2100,0.9944999814033508
