dataset_name,fda_name,num_clients,batch_size,num_steps_until_rtc_check,theta,nn_name,nn_num_weights,sketch_width,sketch_depth,epoch,total_rounds,total_fda_steps,accuracy
MNIST,naive,40,128,1,0.5,AdvancedCNN,2592202,-1,-1,1,10,12,0.7674000263214111
MNIST,naive,40,128,1,0.5,AdvancedCNN,2592202,-1,-1,2,16,24,0.916100025177002
MNIST,naive,40,128,1,0.5,AdvancedCNN,2592202,-1,-1,3,21,36,0.95169997215271
MNIST,naive,40,128,1,0.5,AdvancedCNN,2592202,-1,-1,4,25,47,0.9652000069618225
MNIST,naive,40,128,1,0.5,AdvancedCNN,2592202,-1,-1,5,29,59,0.9739000201225281
MNIST,naive,40,128,1,0.5,AdvancedCNN,2592202,-1,-1,6,33,71,0.9782000184059143
MNIST,naive,40,128,1,0.5,AdvancedCNN,2592202,-1,-1,7,37,83,0.9811999797821045
MNIST,naive,40,128,1,0.5,AdvancedCNN,2592202,-1,-1,8,41,94,0.982200026512146
MNIST,naive,40,128,1,0.5,AdvancedCNN,2592202,-1,-1,9,45,106,0.9857000112533569
MNIST,naive,40,128,1,0.5,AdvancedCNN,2592202,-1,-1,10,49,118,0.9872000217437744
MNIST,naive,40,128,1,0.5,AdvancedCNN,2592202,-1,-1,11,52,129,0.9879000186920166
MNIST,naive,40,128,1,0.5,AdvancedCNN,2592202,-1,-1,12,56,141,0.9890999794006348
MNIST,naive,40,128,1,0.5,AdvancedCNN,2592202,-1,-1,13,60,153,0.9898999929428101
MNIST,naive,40,128,1,0.5,AdvancedCNN,2592202,-1,-1,14,64,165,0.9904999732971191
MNIST,naive,40,128,1,0.5,AdvancedCNN,2592202,-1,-1,15,68,176,0.9901000261306763
MNIST,naive,40,128,1,0.5,AdvancedCNN,2592202,-1,-1,16,72,188,0.991100013256073
MNIST,naive,40,128,1,0.5,AdvancedCNN,2592202,-1,-1,17,76,200,0.9908000230789185
MNIST,naive,40,128,1,0.5,AdvancedCNN,2592202,-1,-1,18,79,211,0.9912999868392944
MNIST,naive,40,128,1,0.5,AdvancedCNN,2592202,-1,-1,19,83,223,0.9918000102043152
MNIST,naive,40,128,1,0.5,AdvancedCNN,2592202,-1,-1,20,87,235,0.991599977016449
MNIST,naive,40,128,1,0.5,AdvancedCNN,2592202,-1,-1,21,91,247,0.9922000169754028
MNIST,naive,40,128,1,0.5,AdvancedCNN,2592202,-1,-1,22,94,258,0.9926999807357788
MNIST,naive,40,128,1,0.5,AdvancedCNN,2592202,-1,-1,23,98,270,0.9921000003814697
MNIST,naive,40,128,1,0.5,AdvancedCNN,2592202,-1,-1,24,101,282,0.9921000003814697
MNIST,naive,40,128,1,0.5,AdvancedCNN,2592202,-1,-1,25,104,293,0.9922000169754028
MNIST,naive,40,128,1,0.5,AdvancedCNN,2592202,-1,-1,26,107,305,0.9923999905586243
