dataset_name,fda_name,num_clients,batch_size,num_steps_until_rtc_check,theta,nn_name,nn_num_weights,sketch_width,sketch_depth,epoch,total_rounds,total_fda_steps,accuracy
MNIST,sketch,25,256,1,0.5,AdvancedCNN,2592202,250,5,1,6,10,0.7932000160217285
MNIST,sketch,25,256,1,0.5,AdvancedCNN,2592202,250,5,2,10,19,0.9128000140190125
MNIST,sketch,25,256,1,0.5,AdvancedCNN,2592202,250,5,3,13,29,0.9510999917984009
MNIST,sketch,25,256,1,0.5,AdvancedCNN,2592202,250,5,4,16,38,0.9645000100135803
MNIST,sketch,25,256,1,0.5,AdvancedCNN,2592202,250,5,5,19,47,0.9746999740600586
MNIST,sketch,25,256,1,0.5,AdvancedCNN,2592202,250,5,6,22,57,0.980400025844574
MNIST,sketch,25,256,1,0.5,AdvancedCNN,2592202,250,5,7,25,66,0.982200026512146
MNIST,sketch,25,256,1,0.5,AdvancedCNN,2592202,250,5,8,28,75,0.9848999977111816
MNIST,sketch,25,256,1,0.5,AdvancedCNN,2592202,250,5,9,31,85,0.988099992275238
MNIST,sketch,25,256,1,0.5,AdvancedCNN,2592202,250,5,10,34,94,0.9889000058174133
MNIST,sketch,25,256,1,0.5,AdvancedCNN,2592202,250,5,11,38,104,0.9898999929428101
MNIST,sketch,25,256,1,0.5,AdvancedCNN,2592202,250,5,12,41,113,0.9901999831199646
MNIST,sketch,25,256,1,0.5,AdvancedCNN,2592202,250,5,13,44,122,0.9912999868392944
MNIST,sketch,25,256,1,0.5,AdvancedCNN,2592202,250,5,14,47,132,0.9919999837875366
MNIST,sketch,25,256,1,0.5,AdvancedCNN,2592202,250,5,15,50,141,0.9923999905586243
MNIST,sketch,25,256,1,0.5,AdvancedCNN,2592202,250,5,16,52,150,0.9922000169754028
MNIST,sketch,25,256,1,0.5,AdvancedCNN,2592202,250,5,17,55,160,0.9926000237464905
MNIST,sketch,25,256,1,0.5,AdvancedCNN,2592202,250,5,18,57,169,0.9927999973297119
MNIST,sketch,25,256,1,0.5,AdvancedCNN,2592202,250,5,19,60,179,0.9927999973297119
MNIST,sketch,25,256,1,0.5,AdvancedCNN,2592202,250,5,20,62,188,0.992900013923645
MNIST,sketch,25,256,1,0.5,AdvancedCNN,2592202,250,5,21,64,197,0.992900013923645
MNIST,sketch,25,256,1,0.5,AdvancedCNN,2592202,250,5,22,67,207,0.9930999875068665
MNIST,sketch,25,256,1,0.5,AdvancedCNN,2592202,250,5,23,69,216,0.9934999942779541
MNIST,sketch,25,256,1,0.5,AdvancedCNN,2592202,250,5,24,71,225,0.9934999942779541
MNIST,sketch,25,256,1,0.5,AdvancedCNN,2592202,250,5,25,74,235,0.9934999942779541
MNIST,sketch,25,256,1,0.5,AdvancedCNN,2592202,250,5,26,76,244,0.992900013923645
MNIST,sketch,25,256,1,0.5,AdvancedCNN,2592202,250,5,27,79,254,0.9930999875068665
MNIST,sketch,25,256,1,0.5,AdvancedCNN,2592202,250,5,28,81,263,0.9937000274658203
MNIST,sketch,25,256,1,0.5,AdvancedCNN,2592202,250,5,29,83,272,0.9934999942779541
MNIST,sketch,25,256,1,0.5,AdvancedCNN,2592202,250,5,30,86,282,0.9934999942779541
MNIST,sketch,25,256,1,0.5,AdvancedCNN,2592202,250,5,31,88,291,0.993399977684021
MNIST,sketch,25,256,1,0.5,AdvancedCNN,2592202,250,5,32,90,300,0.993399977684021
