dataset_name,fda_name,num_clients,batch_size,num_steps_until_rtc_check,theta,nn_name,nn_num_weights,sketch_width,sketch_depth,epoch,total_rounds,total_fda_steps,accuracy
MNIST,synchronous,50,64,1,0.0,AdvancedCNN,2592202,-1,-1,1,19,19,0.8932999968528748
MNIST,synchronous,50,64,1,0.0,AdvancedCNN,2592202,-1,-1,2,38,38,0.9585999846458435
MNIST,synchronous,50,64,1,0.0,AdvancedCNN,2592202,-1,-1,3,57,57,0.9724000096321106
MNIST,synchronous,50,64,1,0.0,AdvancedCNN,2592202,-1,-1,4,75,75,0.9775999784469604
MNIST,synchronous,50,64,1,0.0,AdvancedCNN,2592202,-1,-1,5,94,94,0.982200026512146
MNIST,synchronous,50,64,1,0.0,AdvancedCNN,2592202,-1,-1,6,113,113,0.9866999983787537
MNIST,synchronous,50,64,1,0.0,AdvancedCNN,2592202,-1,-1,7,132,132,0.9866999983787537
MNIST,synchronous,50,64,1,0.0,AdvancedCNN,2592202,-1,-1,8,150,150,0.9882000088691711
MNIST,synchronous,50,64,1,0.0,AdvancedCNN,2592202,-1,-1,9,169,169,0.9894000291824341
MNIST,synchronous,50,64,1,0.0,AdvancedCNN,2592202,-1,-1,10,188,188,0.989300012588501
MNIST,synchronous,50,64,1,0.0,AdvancedCNN,2592202,-1,-1,11,207,207,0.9909999966621399
MNIST,synchronous,50,64,1,0.0,AdvancedCNN,2592202,-1,-1,12,225,225,0.9900000095367432
MNIST,synchronous,50,64,1,0.0,AdvancedCNN,2592202,-1,-1,13,244,244,0.9908999800682068
MNIST,synchronous,50,64,1,0.0,AdvancedCNN,2592202,-1,-1,14,263,263,0.9909999966621399
MNIST,synchronous,50,64,1,0.0,AdvancedCNN,2592202,-1,-1,15,282,282,0.9914000034332275
MNIST,synchronous,50,64,1,0.0,AdvancedCNN,2592202,-1,-1,16,300,300,0.991100013256073
MNIST,synchronous,50,64,1,0.0,AdvancedCNN,2592202,-1,-1,17,319,319,0.991599977016449
MNIST,synchronous,50,64,1,0.0,AdvancedCNN,2592202,-1,-1,18,338,338,0.9921000003814697
MNIST,synchronous,50,64,1,0.0,AdvancedCNN,2592202,-1,-1,19,357,357,0.9918000102043152
MNIST,synchronous,50,64,1,0.0,AdvancedCNN,2592202,-1,-1,20,375,375,0.9921000003814697
MNIST,synchronous,50,64,1,0.0,AdvancedCNN,2592202,-1,-1,21,394,394,0.9921000003814697
MNIST,synchronous,50,64,1,0.0,AdvancedCNN,2592202,-1,-1,22,413,413,0.992900013923645
MNIST,synchronous,50,64,1,0.0,AdvancedCNN,2592202,-1,-1,23,432,432,0.9921000003814697
MNIST,synchronous,50,64,1,0.0,AdvancedCNN,2592202,-1,-1,24,450,450,0.9927999973297119
MNIST,synchronous,50,64,1,0.0,AdvancedCNN,2592202,-1,-1,25,469,469,0.992900013923645
MNIST,synchronous,50,64,1,0.0,AdvancedCNN,2592202,-1,-1,26,488,488,0.9925000071525574
MNIST,synchronous,50,64,1,0.0,AdvancedCNN,2592202,-1,-1,27,507,507,0.9926000237464905
MNIST,synchronous,50,64,1,0.0,AdvancedCNN,2592202,-1,-1,28,525,525,0.9926999807357788
MNIST,synchronous,50,64,1,0.0,AdvancedCNN,2592202,-1,-1,29,544,544,0.9927999973297119
MNIST,synchronous,50,64,1,0.0,AdvancedCNN,2592202,-1,-1,30,563,563,0.9925000071525574
MNIST,synchronous,50,64,1,0.0,AdvancedCNN,2592202,-1,-1,31,582,582,0.9926999807357788
