Num GPUs Available:  1

------------ Current Test : ------------
NN name : LeNet-5
FDA name : synchronous
Num Clients : 40
Batch size : 64
Num Epochs : 250
Number of steps until we check RTC : 1
Theta : 0.0
-----------------------------------------

EpochMetrics(epoch=1, total_rounds=24, total_fda_steps=24, accuracy=0.7842000126838684)
EpochMetrics(epoch=2, total_rounds=47, total_fda_steps=47, accuracy=0.8677999973297119)
EpochMetrics(epoch=3, total_rounds=71, total_fda_steps=71, accuracy=0.8945000171661377)
EpochMetrics(epoch=4, total_rounds=94, total_fda_steps=94, accuracy=0.90420001745224)
EpochMetrics(epoch=5, total_rounds=118, total_fda_steps=118, accuracy=0.911899983882904)
EpochMetrics(epoch=6, total_rounds=141, total_fda_steps=141, accuracy=0.9154999852180481)
EpochMetrics(epoch=7, total_rounds=165, total_fda_steps=165, accuracy=0.9203000068664551)
EpochMetrics(epoch=8, total_rounds=188, total_fda_steps=188, accuracy=0.9258999824523926)
EpochMetrics(epoch=9, total_rounds=211, total_fda_steps=211, accuracy=0.9297000169754028)
EpochMetrics(epoch=10, total_rounds=235, total_fda_steps=235, accuracy=0.9350000023841858)
EpochMetrics(epoch=11, total_rounds=258, total_fda_steps=258, accuracy=0.9376999735832214)
EpochMetrics(epoch=12, total_rounds=282, total_fda_steps=282, accuracy=0.9404000043869019)
EpochMetrics(epoch=13, total_rounds=305, total_fda_steps=305, accuracy=0.9441999793052673)
EpochMetrics(epoch=14, total_rounds=329, total_fda_steps=329, accuracy=0.9467999935150146)
EpochMetrics(epoch=15, total_rounds=352, total_fda_steps=352, accuracy=0.9491999745368958)
EpochMetrics(epoch=16, total_rounds=375, total_fda_steps=375, accuracy=0.9509999752044678)
EpochMetrics(epoch=17, total_rounds=399, total_fda_steps=399, accuracy=0.9523000121116638)
EpochMetrics(epoch=18, total_rounds=422, total_fda_steps=422, accuracy=0.955299973487854)
EpochMetrics(epoch=19, total_rounds=446, total_fda_steps=446, accuracy=0.9574000239372253)
EpochMetrics(epoch=20, total_rounds=469, total_fda_steps=469, accuracy=0.9591000080108643)
EpochMetrics(epoch=21, total_rounds=493, total_fda_steps=493, accuracy=0.9598000049591064)
EpochMetrics(epoch=22, total_rounds=516, total_fda_steps=516, accuracy=0.9606999754905701)
EpochMetrics(epoch=23, total_rounds=540, total_fda_steps=540, accuracy=0.9631999731063843)
EpochMetrics(epoch=24, total_rounds=563, total_fda_steps=563, accuracy=0.9632999897003174)
EpochMetrics(epoch=25, total_rounds=586, total_fda_steps=586, accuracy=0.9652000069618225)
EpochMetrics(epoch=26, total_rounds=610, total_fda_steps=610, accuracy=0.9659000039100647)
EpochMetrics(epoch=27, total_rounds=633, total_fda_steps=633, accuracy=0.9666000008583069)
EpochMetrics(epoch=28, total_rounds=657, total_fda_steps=657, accuracy=0.9672999978065491)
EpochMetrics(epoch=29, total_rounds=680, total_fda_steps=680, accuracy=0.9682999849319458)
EpochMetrics(epoch=30, total_rounds=704, total_fda_steps=704, accuracy=0.968500018119812)
EpochMetrics(epoch=31, total_rounds=727, total_fda_steps=727, accuracy=0.9689000248908997)
EpochMetrics(epoch=32, total_rounds=750, total_fda_steps=750, accuracy=0.970300018787384)
EpochMetrics(epoch=33, total_rounds=774, total_fda_steps=774, accuracy=0.9710999727249146)
EpochMetrics(epoch=34, total_rounds=797, total_fda_steps=797, accuracy=0.9713000059127808)
EpochMetrics(epoch=35, total_rounds=821, total_fda_steps=821, accuracy=0.9714999794960022)
EpochMetrics(epoch=36, total_rounds=844, total_fda_steps=844, accuracy=0.9731000065803528)
EpochMetrics(epoch=37, total_rounds=868, total_fda_steps=868, accuracy=0.9735999703407288)
EpochMetrics(epoch=38, total_rounds=891, total_fda_steps=891, accuracy=0.9740999937057495)
EpochMetrics(epoch=39, total_rounds=915, total_fda_steps=915, accuracy=0.9746000170707703)
EpochMetrics(epoch=40, total_rounds=938, total_fda_steps=938, accuracy=0.9746000170707703)
EpochMetrics(epoch=41, total_rounds=961, total_fda_steps=961, accuracy=0.9747999906539917)
EpochMetrics(epoch=42, total_rounds=985, total_fda_steps=985, accuracy=0.9761999845504761)
EpochMetrics(epoch=43, total_rounds=1008, total_fda_steps=1008, accuracy=0.9757999777793884)
EpochMetrics(epoch=44, total_rounds=1032, total_fda_steps=1032, accuracy=0.9761000275611877)
