Num GPUs Available:  1

------------ Current Test : ------------
NN name : LeNet-5
FDA name : naive
Num Clients : 60
Batch size : 32
Num Epochs : 350
Number of steps until we check RTC : 1
Theta : 0.5
-----------------------------------------

EpochMetrics(epoch=1, total_rounds=6, total_fda_steps=32, accuracy=0.7835000157356262)
EpochMetrics(epoch=2, total_rounds=9, total_fda_steps=63, accuracy=0.8629000186920166)
EpochMetrics(epoch=3, total_rounds=11, total_fda_steps=94, accuracy=0.8889999985694885)
EpochMetrics(epoch=4, total_rounds=13, total_fda_steps=125, accuracy=0.9020000100135803)
EpochMetrics(epoch=5, total_rounds=16, total_fda_steps=157, accuracy=0.9093000292778015)
EpochMetrics(epoch=6, total_rounds=17, total_fda_steps=188, accuracy=0.9138000011444092)
EpochMetrics(epoch=7, total_rounds=19, total_fda_steps=219, accuracy=0.9186999797821045)
EpochMetrics(epoch=8, total_rounds=21, total_fda_steps=250, accuracy=0.9235000014305115)
EpochMetrics(epoch=9, total_rounds=23, total_fda_steps=282, accuracy=0.9269000291824341)
EpochMetrics(epoch=10, total_rounds=25, total_fda_steps=313, accuracy=0.9314000010490417)
EpochMetrics(epoch=11, total_rounds=27, total_fda_steps=344, accuracy=0.9334999918937683)
EpochMetrics(epoch=12, total_rounds=29, total_fda_steps=375, accuracy=0.9366000294685364)
EpochMetrics(epoch=13, total_rounds=31, total_fda_steps=407, accuracy=0.9399999976158142)
EpochMetrics(epoch=14, total_rounds=33, total_fda_steps=438, accuracy=0.9429000020027161)
EpochMetrics(epoch=15, total_rounds=34, total_fda_steps=469, accuracy=0.9452000260353088)
EpochMetrics(epoch=16, total_rounds=36, total_fda_steps=500, accuracy=0.9465000033378601)
EpochMetrics(epoch=17, total_rounds=38, total_fda_steps=532, accuracy=0.9498999714851379)
EpochMetrics(epoch=18, total_rounds=40, total_fda_steps=563, accuracy=0.9509000182151794)
EpochMetrics(epoch=19, total_rounds=41, total_fda_steps=594, accuracy=0.9531999826431274)
EpochMetrics(epoch=20, total_rounds=43, total_fda_steps=625, accuracy=0.9550999999046326)
EpochMetrics(epoch=21, total_rounds=45, total_fda_steps=657, accuracy=0.95660001039505)
EpochMetrics(epoch=22, total_rounds=47, total_fda_steps=688, accuracy=0.9569000005722046)
EpochMetrics(epoch=23, total_rounds=48, total_fda_steps=719, accuracy=0.9585999846458435)
EpochMetrics(epoch=24, total_rounds=50, total_fda_steps=750, accuracy=0.9613000154495239)
EpochMetrics(epoch=25, total_rounds=52, total_fda_steps=782, accuracy=0.9621999859809875)
EpochMetrics(epoch=26, total_rounds=53, total_fda_steps=813, accuracy=0.9632999897003174)
EpochMetrics(epoch=27, total_rounds=55, total_fda_steps=844, accuracy=0.9639999866485596)
EpochMetrics(epoch=28, total_rounds=57, total_fda_steps=875, accuracy=0.9646999835968018)
EpochMetrics(epoch=29, total_rounds=59, total_fda_steps=907, accuracy=0.9656000137329102)
EpochMetrics(epoch=30, total_rounds=60, total_fda_steps=938, accuracy=0.9668999910354614)
EpochMetrics(epoch=31, total_rounds=62, total_fda_steps=969, accuracy=0.9674000144004822)
EpochMetrics(epoch=32, total_rounds=63, total_fda_steps=1000, accuracy=0.9674000144004822)
EpochMetrics(epoch=33, total_rounds=65, total_fda_steps=1032, accuracy=0.9688000082969666)
EpochMetrics(epoch=34, total_rounds=67, total_fda_steps=1063, accuracy=0.9696000218391418)
EpochMetrics(epoch=35, total_rounds=68, total_fda_steps=1094, accuracy=0.9696000218391418)
EpochMetrics(epoch=36, total_rounds=70, total_fda_steps=1125, accuracy=0.9707000255584717)
EpochMetrics(epoch=37, total_rounds=72, total_fda_steps=1157, accuracy=0.9708999991416931)
EpochMetrics(epoch=38, total_rounds=73, total_fda_steps=1188, accuracy=0.9718000292778015)
EpochMetrics(epoch=39, total_rounds=75, total_fda_steps=1219, accuracy=0.9729999899864197)
EpochMetrics(epoch=40, total_rounds=76, total_fda_steps=1250, accuracy=0.9732999801635742)
EpochMetrics(epoch=41, total_rounds=78, total_fda_steps=1282, accuracy=0.9731000065803528)
EpochMetrics(epoch=42, total_rounds=80, total_fda_steps=1313, accuracy=0.9731000065803528)
EpochMetrics(epoch=43, total_rounds=81, total_fda_steps=1344, accuracy=0.9735000133514404)
EpochMetrics(epoch=44, total_rounds=83, total_fda_steps=1375, accuracy=0.9739999771118164)
EpochMetrics(epoch=45, total_rounds=84, total_fda_steps=1407, accuracy=0.9749000072479248)
EpochMetrics(epoch=46, total_rounds=86, total_fda_steps=1438, accuracy=0.974399983882904)
EpochMetrics(epoch=47, total_rounds=87, total_fda_steps=1469, accuracy=0.974399983882904)
EpochMetrics(epoch=48, total_rounds=89, total_fda_steps=1500, accuracy=0.9758999943733215)
EpochMetrics(epoch=49, total_rounds=90, total_fda_steps=1532, accuracy=0.9760000109672546)
EpochMetrics(epoch=50, total_rounds=92, total_fda_steps=1563, accuracy=0.9758999943733215)
EpochMetrics(epoch=51, total_rounds=94, total_fda_steps=1594, accuracy=0.9764000177383423)
EpochMetrics(epoch=52, total_rounds=95, total_fda_steps=1625, accuracy=0.9765999913215637)
EpochMetrics(epoch=53, total_rounds=97, total_fda_steps=1657, accuracy=0.977400004863739)
EpochMetrics(epoch=54, total_rounds=98, total_fda_steps=1688, accuracy=0.9772999882698059)
EpochMetrics(epoch=55, total_rounds=100, total_fda_steps=1719, accuracy=0.9785000085830688)
EpochMetrics(epoch=56, total_rounds=101, total_fda_steps=1750, accuracy=0.9782999753952026)
EpochMetrics(epoch=57, total_rounds=103, total_fda_steps=1782, accuracy=0.9783999919891357)
EpochMetrics(epoch=58, total_rounds=104, total_fda_steps=1813, accuracy=0.9783999919891357)
EpochMetrics(epoch=59, total_rounds=106, total_fda_steps=1844, accuracy=0.9786999821662903)
EpochMetrics(epoch=60, total_rounds=108, total_fda_steps=1875, accuracy=0.979200005531311)
EpochMetrics(epoch=61, total_rounds=109, total_fda_steps=1907, accuracy=0.979200005531311)
EpochMetrics(epoch=62, total_rounds=111, total_fda_steps=1938, accuracy=0.9794999957084656)
EpochMetrics(epoch=63, total_rounds=112, total_fda_steps=1969, accuracy=0.9789999723434448)
EpochMetrics(epoch=64, total_rounds=114, total_fda_steps=2000, accuracy=0.9794999957084656)
EpochMetrics(epoch=65, total_rounds=115, total_fda_steps=2032, accuracy=0.9799000024795532)
EpochMetrics(epoch=66, total_rounds=117, total_fda_steps=2063, accuracy=0.9797999858856201)
