Num GPUs Available:  1

------------ Current Test : ------------
NN name : LeNet-5
FDA name : linear
Num Clients : 50
Batch size : 32
Num Epochs : 350
Number of steps until we check RTC : 1
Theta : 0.5
-----------------------------------------

EpochMetrics(epoch=1, total_rounds=4, total_fda_steps=38, accuracy=0.8500999808311462)
EpochMetrics(epoch=2, total_rounds=7, total_fda_steps=75, accuracy=0.8852999806404114)
EpochMetrics(epoch=3, total_rounds=9, total_fda_steps=113, accuracy=0.8986999988555908)
EpochMetrics(epoch=4, total_rounds=11, total_fda_steps=150, accuracy=0.909500002861023)
EpochMetrics(epoch=5, total_rounds=13, total_fda_steps=188, accuracy=0.9154999852180481)
EpochMetrics(epoch=6, total_rounds=16, total_fda_steps=225, accuracy=0.9218000173568726)
EpochMetrics(epoch=7, total_rounds=18, total_fda_steps=263, accuracy=0.9264000058174133)
EpochMetrics(epoch=8, total_rounds=20, total_fda_steps=300, accuracy=0.929099977016449)
EpochMetrics(epoch=9, total_rounds=22, total_fda_steps=338, accuracy=0.9330000281333923)
EpochMetrics(epoch=10, total_rounds=24, total_fda_steps=375, accuracy=0.9372000098228455)
EpochMetrics(epoch=11, total_rounds=26, total_fda_steps=413, accuracy=0.9402999877929688)
EpochMetrics(epoch=12, total_rounds=28, total_fda_steps=450, accuracy=0.9435999989509583)
EpochMetrics(epoch=13, total_rounds=30, total_fda_steps=488, accuracy=0.9460999965667725)
EpochMetrics(epoch=14, total_rounds=32, total_fda_steps=525, accuracy=0.9473999738693237)
EpochMetrics(epoch=15, total_rounds=34, total_fda_steps=563, accuracy=0.9502000212669373)
EpochMetrics(epoch=16, total_rounds=36, total_fda_steps=600, accuracy=0.9517999887466431)
EpochMetrics(epoch=17, total_rounds=39, total_fda_steps=638, accuracy=0.9524999856948853)
EpochMetrics(epoch=18, total_rounds=41, total_fda_steps=675, accuracy=0.954800009727478)
EpochMetrics(epoch=19, total_rounds=43, total_fda_steps=713, accuracy=0.95660001039505)
EpochMetrics(epoch=20, total_rounds=45, total_fda_steps=750, accuracy=0.9571999907493591)
EpochMetrics(epoch=21, total_rounds=47, total_fda_steps=788, accuracy=0.9603999853134155)
EpochMetrics(epoch=22, total_rounds=49, total_fda_steps=825, accuracy=0.9614999890327454)
EpochMetrics(epoch=23, total_rounds=51, total_fda_steps=863, accuracy=0.9627000093460083)
EpochMetrics(epoch=24, total_rounds=53, total_fda_steps=900, accuracy=0.963699996471405)
EpochMetrics(epoch=25, total_rounds=55, total_fda_steps=938, accuracy=0.9643999934196472)
EpochMetrics(epoch=26, total_rounds=57, total_fda_steps=975, accuracy=0.9656000137329102)
EpochMetrics(epoch=27, total_rounds=58, total_fda_steps=1013, accuracy=0.9660000205039978)
EpochMetrics(epoch=28, total_rounds=60, total_fda_steps=1050, accuracy=0.9674000144004822)
EpochMetrics(epoch=29, total_rounds=62, total_fda_steps=1088, accuracy=0.9674999713897705)
EpochMetrics(epoch=30, total_rounds=64, total_fda_steps=1125, accuracy=0.9696000218391418)
EpochMetrics(epoch=31, total_rounds=66, total_fda_steps=1163, accuracy=0.9692000150680542)
EpochMetrics(epoch=32, total_rounds=68, total_fda_steps=1200, accuracy=0.9702000021934509)
EpochMetrics(epoch=33, total_rounds=70, total_fda_steps=1238, accuracy=0.9706000089645386)
EpochMetrics(epoch=34, total_rounds=72, total_fda_steps=1275, accuracy=0.9710999727249146)
EpochMetrics(epoch=35, total_rounds=74, total_fda_steps=1313, accuracy=0.9715999960899353)
EpochMetrics(epoch=36, total_rounds=76, total_fda_steps=1350, accuracy=0.972100019454956)
EpochMetrics(epoch=37, total_rounds=78, total_fda_steps=1388, accuracy=0.9732000231742859)
EpochMetrics(epoch=38, total_rounds=80, total_fda_steps=1425, accuracy=0.9717000126838684)
EpochMetrics(epoch=39, total_rounds=82, total_fda_steps=1463, accuracy=0.9732000231742859)
EpochMetrics(epoch=40, total_rounds=83, total_fda_steps=1500, accuracy=0.9732000231742859)
EpochMetrics(epoch=41, total_rounds=85, total_fda_steps=1538, accuracy=0.9745000004768372)
EpochMetrics(epoch=42, total_rounds=87, total_fda_steps=1575, accuracy=0.9746999740600586)
EpochMetrics(epoch=43, total_rounds=89, total_fda_steps=1613, accuracy=0.9754999876022339)
EpochMetrics(epoch=44, total_rounds=91, total_fda_steps=1650, accuracy=0.9749000072479248)
EpochMetrics(epoch=45, total_rounds=93, total_fda_steps=1688, accuracy=0.9761999845504761)
EpochMetrics(epoch=46, total_rounds=95, total_fda_steps=1725, accuracy=0.9771999716758728)
EpochMetrics(epoch=47, total_rounds=97, total_fda_steps=1763, accuracy=0.9767000079154968)
EpochMetrics(epoch=48, total_rounds=98, total_fda_steps=1800, accuracy=0.9775000214576721)
EpochMetrics(epoch=49, total_rounds=100, total_fda_steps=1838, accuracy=0.9779000282287598)
EpochMetrics(epoch=50, total_rounds=102, total_fda_steps=1875, accuracy=0.9779999852180481)
EpochMetrics(epoch=51, total_rounds=104, total_fda_steps=1913, accuracy=0.978600025177002)
EpochMetrics(epoch=52, total_rounds=106, total_fda_steps=1950, accuracy=0.9786999821662903)
EpochMetrics(epoch=53, total_rounds=107, total_fda_steps=1988, accuracy=0.9793000221252441)
