dataset_name,fda_name,num_clients,batch_size,num_steps_until_rtc_check,theta,nn_name,nn_num_weights,sketch_width,sketch_depth,epoch,total_rounds,total_fda_steps,accuracy
MNIST,linear,55,256,1,1.0,AdvancedCNN,2592202,-1,-1,1,3,5,0.5200999975204468
MNIST,linear,55,256,1,1.0,AdvancedCNN,2592202,-1,-1,2,5,9,0.6899999976158142
MNIST,linear,55,256,1,1.0,AdvancedCNN,2592202,-1,-1,3,6,13,0.8321999907493591
MNIST,linear,55,256,1,1.0,AdvancedCNN,2592202,-1,-1,4,8,18,0.9028000235557556
MNIST,linear,55,256,1,1.0,AdvancedCNN,2592202,-1,-1,5,9,22,0.9293000102043152
MNIST,linear,55,256,1,1.0,AdvancedCNN,2592202,-1,-1,6,10,26,0.9434999823570251
MNIST,linear,55,256,1,1.0,AdvancedCNN,2592202,-1,-1,7,11,30,0.9526000022888184
MNIST,linear,55,256,1,1.0,AdvancedCNN,2592202,-1,-1,8,12,35,0.9593999981880188
MNIST,linear,55,256,1,1.0,AdvancedCNN,2592202,-1,-1,9,13,39,0.9646000266075134
MNIST,linear,55,256,1,1.0,AdvancedCNN,2592202,-1,-1,10,14,43,0.9672999978065491
MNIST,linear,55,256,1,1.0,AdvancedCNN,2592202,-1,-1,11,15,47,0.9722999930381775
MNIST,linear,55,256,1,1.0,AdvancedCNN,2592202,-1,-1,12,16,52,0.9753999710083008
MNIST,linear,55,256,1,1.0,AdvancedCNN,2592202,-1,-1,13,17,56,0.9765999913215637
MNIST,linear,55,256,1,1.0,AdvancedCNN,2592202,-1,-1,14,18,60,0.9783999919891357
MNIST,linear,55,256,1,1.0,AdvancedCNN,2592202,-1,-1,15,18,64,0.980400025844574
MNIST,linear,55,256,1,1.0,AdvancedCNN,2592202,-1,-1,16,19,69,0.9815999865531921
MNIST,linear,55,256,1,1.0,AdvancedCNN,2592202,-1,-1,17,20,73,0.9832000136375427
MNIST,linear,55,256,1,1.0,AdvancedCNN,2592202,-1,-1,18,21,77,0.9828000068664551
MNIST,linear,55,256,1,1.0,AdvancedCNN,2592202,-1,-1,19,22,81,0.9846000075340271
MNIST,linear,55,256,1,1.0,AdvancedCNN,2592202,-1,-1,20,23,86,0.9851999878883362
MNIST,linear,55,256,1,1.0,AdvancedCNN,2592202,-1,-1,21,24,90,0.9854999780654907
MNIST,linear,55,256,1,1.0,AdvancedCNN,2592202,-1,-1,22,24,94,0.9861000180244446
MNIST,linear,55,256,1,1.0,AdvancedCNN,2592202,-1,-1,23,25,99,0.9869999885559082
MNIST,linear,55,256,1,1.0,AdvancedCNN,2592202,-1,-1,24,26,103,0.9876999855041504
MNIST,linear,55,256,1,1.0,AdvancedCNN,2592202,-1,-1,25,27,107,0.9876000285148621
MNIST,linear,55,256,1,1.0,AdvancedCNN,2592202,-1,-1,26,28,111,0.9879000186920166
MNIST,linear,55,256,1,1.0,AdvancedCNN,2592202,-1,-1,27,29,116,0.9886999726295471
MNIST,linear,55,256,1,1.0,AdvancedCNN,2592202,-1,-1,28,30,120,0.989300012588501
