dataset_name,fda_name,num_clients,batch_size,num_steps_until_rtc_check,theta,nn_name,nn_num_weights,sketch_width,sketch_depth,epoch,total_rounds,total_fda_steps,accuracy
MNIST,naive,60,64,1,1.0,AdvancedCNN,2592202,-1,-1,1,9,16,0.8198999762535095
MNIST,naive,60,64,1,1.0,AdvancedCNN,2592202,-1,-1,2,14,32,0.9316999912261963
MNIST,naive,60,64,1,1.0,AdvancedCNN,2592202,-1,-1,3,18,47,0.9577000141143799
MNIST,naive,60,64,1,1.0,AdvancedCNN,2592202,-1,-1,4,22,63,0.967199981212616
MNIST,naive,60,64,1,1.0,AdvancedCNN,2592202,-1,-1,5,26,79,0.9724000096321106
MNIST,naive,60,64,1,1.0,AdvancedCNN,2592202,-1,-1,6,29,94,0.9776999950408936
MNIST,naive,60,64,1,1.0,AdvancedCNN,2592202,-1,-1,7,32,110,0.9805999994277954
MNIST,naive,60,64,1,1.0,AdvancedCNN,2592202,-1,-1,8,35,125,0.9825000166893005
MNIST,naive,60,64,1,1.0,AdvancedCNN,2592202,-1,-1,9,38,141,0.9843000173568726
MNIST,naive,60,64,1,1.0,AdvancedCNN,2592202,-1,-1,10,41,157,0.986299991607666
MNIST,naive,60,64,1,1.0,AdvancedCNN,2592202,-1,-1,11,44,172,0.9868999719619751
MNIST,naive,60,64,1,1.0,AdvancedCNN,2592202,-1,-1,12,47,188,0.9871000051498413
MNIST,naive,60,64,1,1.0,AdvancedCNN,2592202,-1,-1,13,51,204,0.9879999756813049
MNIST,naive,60,64,1,1.0,AdvancedCNN,2592202,-1,-1,14,54,219,0.9886999726295471
MNIST,naive,60,64,1,1.0,AdvancedCNN,2592202,-1,-1,15,57,235,0.9887999892234802
MNIST,naive,60,64,1,1.0,AdvancedCNN,2592202,-1,-1,16,60,250,0.9901999831199646
MNIST,naive,60,64,1,1.0,AdvancedCNN,2592202,-1,-1,17,63,266,0.9900000095367432
MNIST,naive,60,64,1,1.0,AdvancedCNN,2592202,-1,-1,18,66,282,0.9904999732971191
MNIST,naive,60,64,1,1.0,AdvancedCNN,2592202,-1,-1,19,69,297,0.9908999800682068
MNIST,naive,60,64,1,1.0,AdvancedCNN,2592202,-1,-1,20,72,313,0.991100013256073
MNIST,naive,60,64,1,1.0,AdvancedCNN,2592202,-1,-1,21,76,329,0.9912999868392944
MNIST,naive,60,64,1,1.0,AdvancedCNN,2592202,-1,-1,22,79,344,0.9916999936103821
MNIST,naive,60,64,1,1.0,AdvancedCNN,2592202,-1,-1,23,82,360,0.9919000267982483
MNIST,naive,60,64,1,1.0,AdvancedCNN,2592202,-1,-1,24,85,375,0.9922000169754028
MNIST,naive,60,64,1,1.0,AdvancedCNN,2592202,-1,-1,25,88,391,0.9919000267982483
MNIST,naive,60,64,1,1.0,AdvancedCNN,2592202,-1,-1,26,91,407,0.9921000003814697
MNIST,naive,60,64,1,1.0,AdvancedCNN,2592202,-1,-1,27,94,422,0.9926000237464905
MNIST,naive,60,64,1,1.0,AdvancedCNN,2592202,-1,-1,28,97,438,0.9926000237464905
MNIST,naive,60,64,1,1.0,AdvancedCNN,2592202,-1,-1,29,101,454,0.9927999973297119
MNIST,naive,60,64,1,1.0,AdvancedCNN,2592202,-1,-1,30,104,469,0.9927999973297119
MNIST,naive,60,64,1,1.0,AdvancedCNN,2592202,-1,-1,31,107,485,0.9927999973297119
MNIST,naive,60,64,1,1.0,AdvancedCNN,2592202,-1,-1,32,110,500,0.9927999973297119
MNIST,naive,60,64,1,1.0,AdvancedCNN,2592202,-1,-1,33,113,516,0.9926999807357788
MNIST,naive,60,64,1,1.0,AdvancedCNN,2592202,-1,-1,34,116,532,0.9936000108718872
MNIST,naive,60,64,1,1.0,AdvancedCNN,2592202,-1,-1,35,119,547,0.9937000274658203
MNIST,naive,60,64,1,1.0,AdvancedCNN,2592202,-1,-1,36,122,563,0.9937000274658203
MNIST,naive,60,64,1,1.0,AdvancedCNN,2592202,-1,-1,37,126,579,0.9934999942779541
MNIST,naive,60,64,1,1.0,AdvancedCNN,2592202,-1,-1,38,129,594,0.9940000176429749
MNIST,naive,60,64,1,1.0,AdvancedCNN,2592202,-1,-1,39,132,610,0.9940000176429749
MNIST,naive,60,64,1,1.0,AdvancedCNN,2592202,-1,-1,40,135,625,0.9937999844551086
MNIST,naive,60,64,1,1.0,AdvancedCNN,2592202,-1,-1,41,138,641,0.9937000274658203
MNIST,naive,60,64,1,1.0,AdvancedCNN,2592202,-1,-1,42,141,657,0.9940999746322632
MNIST,naive,60,64,1,1.0,AdvancedCNN,2592202,-1,-1,43,144,672,0.9939000010490417
MNIST,naive,60,64,1,1.0,AdvancedCNN,2592202,-1,-1,44,147,688,0.9939000010490417
MNIST,naive,60,64,1,1.0,AdvancedCNN,2592202,-1,-1,45,150,704,0.9937000274658203
MNIST,naive,60,64,1,1.0,AdvancedCNN,2592202,-1,-1,46,153,719,0.9936000108718872
MNIST,naive,60,64,1,1.0,AdvancedCNN,2592202,-1,-1,47,156,735,0.9939000010490417
MNIST,naive,60,64,1,1.0,AdvancedCNN,2592202,-1,-1,48,159,750,0.9937999844551086
MNIST,naive,60,64,1,1.0,AdvancedCNN,2592202,-1,-1,49,163,766,0.9940000176429749
MNIST,naive,60,64,1,1.0,AdvancedCNN,2592202,-1,-1,50,166,782,0.9940999746322632
MNIST,naive,60,64,1,1.0,AdvancedCNN,2592202,-1,-1,51,169,797,0.9940999746322632
MNIST,naive,60,64,1,1.0,AdvancedCNN,2592202,-1,-1,52,172,813,0.9937000274658203
MNIST,naive,60,64,1,1.0,AdvancedCNN,2592202,-1,-1,53,175,829,0.9934999942779541
MNIST,naive,60,64,1,1.0,AdvancedCNN,2592202,-1,-1,54,178,844,0.9940999746322632
MNIST,naive,60,64,1,1.0,AdvancedCNN,2592202,-1,-1,55,181,860,0.9941999912261963
MNIST,naive,60,64,1,1.0,AdvancedCNN,2592202,-1,-1,56,184,875,0.9940000176429749
MNIST,naive,60,64,1,1.0,AdvancedCNN,2592202,-1,-1,57,186,891,0.9940999746322632
MNIST,naive,60,64,1,1.0,AdvancedCNN,2592202,-1,-1,58,189,907,0.9937000274658203
MNIST,naive,60,64,1,1.0,AdvancedCNN,2592202,-1,-1,59,192,922,0.9941999912261963
MNIST,naive,60,64,1,1.0,AdvancedCNN,2592202,-1,-1,60,195,938,0.9941999912261963
MNIST,naive,60,64,1,1.0,AdvancedCNN,2592202,-1,-1,61,198,954,0.9937999844551086
MNIST,naive,60,64,1,1.0,AdvancedCNN,2592202,-1,-1,62,200,969,0.9941999912261963
MNIST,naive,60,64,1,1.0,AdvancedCNN,2592202,-1,-1,63,203,985,0.9941999912261963
MNIST,naive,60,64,1,1.0,AdvancedCNN,2592202,-1,-1,64,206,1000,0.9944999814033508
MNIST,naive,60,64,1,1.0,AdvancedCNN,2592202,-1,-1,65,209,1016,0.9944000244140625
MNIST,naive,60,64,1,1.0,AdvancedCNN,2592202,-1,-1,66,212,1032,0.9941999912261963
MNIST,naive,60,64,1,1.0,AdvancedCNN,2592202,-1,-1,67,215,1047,0.9944000244140625
