dataset_name,bias,fda_name,num_clients,batch_size,num_steps_until_rtc_check,theta,nn_name,nn_num_weights,sketch_width,sketch_depth,epoch,total_rounds,total_fda_steps,accuracy
MNIST,,gm,50,32,1,75.0,AdvancedCNN,2592202,,,1,2,38,0.11349999904632568
MNIST,,gm,50,32,1,75.0,AdvancedCNN,2592202,,,2,2,75,0.11349999904632568
MNIST,,gm,50,32,1,75.0,AdvancedCNN,2592202,,,3,4,113,0.11349999904632568
MNIST,,gm,50,32,1,75.0,AdvancedCNN,2592202,,,4,5,150,0.11349999904632568
MNIST,,gm,50,32,1,75.0,AdvancedCNN,2592202,,,5,6,188,0.5367000102996826
MNIST,,gm,50,32,1,75.0,AdvancedCNN,2592202,,,6,9,225,0.8964999914169312
MNIST,,gm,50,32,1,75.0,AdvancedCNN,2592202,,,7,10,263,0.9521999955177307
MNIST,,gm,50,32,1,75.0,AdvancedCNN,2592202,,,8,11,300,0.9620000123977661
MNIST,,gm,50,32,1,75.0,AdvancedCNN,2592202,,,9,11,338,0.9679999947547913
MNIST,,gm,50,32,1,75.0,AdvancedCNN,2592202,,,10,12,375,0.9736999869346619
MNIST,,gm,50,32,1,75.0,AdvancedCNN,2592202,,,11,13,413,0.9765999913215637
MNIST,,gm,50,32,1,75.0,AdvancedCNN,2592202,,,12,13,450,0.9789999723434448
MNIST,,gm,50,32,1,75.0,AdvancedCNN,2592202,,,13,14,488,0.980400025844574
MNIST,,gm,50,32,1,75.0,AdvancedCNN,2592202,,,14,14,525,0.9818000197410583
MNIST,,gm,50,32,1,75.0,AdvancedCNN,2592202,,,15,15,563,0.9837999939918518
MNIST,,gm,50,32,1,75.0,AdvancedCNN,2592202,,,16,15,600,0.9836000204086304
MNIST,,gm,50,32,1,75.0,AdvancedCNN,2592202,,,17,16,638,0.9848999977111816
MNIST,,gm,50,32,1,75.0,AdvancedCNN,2592202,,,18,16,675,0.9860000014305115
MNIST,,gm,50,32,1,75.0,AdvancedCNN,2592202,,,19,17,713,0.9868999719619751
MNIST,,gm,50,32,1,75.0,AdvancedCNN,2592202,,,20,17,750,0.9861999750137329
MNIST,,gm,50,32,1,75.0,AdvancedCNN,2592202,,,21,18,788,0.987500011920929
MNIST,,gm,50,32,1,75.0,AdvancedCNN,2592202,,,22,18,825,0.9872000217437744
MNIST,,gm,50,32,1,75.0,AdvancedCNN,2592202,,,23,19,863,0.9879000186920166
MNIST,,gm,50,32,1,75.0,AdvancedCNN,2592202,,,24,19,900,0.988099992275238
MNIST,,gm,50,32,1,75.0,AdvancedCNN,2592202,,,25,20,938,0.9890000224113464
MNIST,,gm,50,32,1,75.0,AdvancedCNN,2592202,,,26,20,975,0.9884999990463257
MNIST,,gm,50,32,1,75.0,AdvancedCNN,2592202,,,27,21,1013,0.9890999794006348
MNIST,,gm,50,32,1,75.0,AdvancedCNN,2592202,,,28,21,1050,0.9887999892234802
MNIST,,gm,50,32,1,75.0,AdvancedCNN,2592202,,,29,22,1088,0.9896000027656555
MNIST,,gm,50,32,1,75.0,AdvancedCNN,2592202,,,30,22,1125,0.9902999997138977
MNIST,,gm,50,32,1,75.0,AdvancedCNN,2592202,,,31,23,1163,0.9904999732971191
MNIST,,gm,50,32,1,75.0,AdvancedCNN,2592202,,,32,24,1200,0.9901000261306763
MNIST,,gm,50,32,1,75.0,AdvancedCNN,2592202,,,33,24,1238,0.9908000230789185
MNIST,,gm,50,32,1,75.0,AdvancedCNN,2592202,,,34,25,1275,0.9909999966621399
MNIST,,gm,50,32,1,75.0,AdvancedCNN,2592202,,,35,25,1313,0.9908000230789185
MNIST,,gm,50,32,1,75.0,AdvancedCNN,2592202,,,36,26,1350,0.9912999868392944
MNIST,,gm,50,32,1,75.0,AdvancedCNN,2592202,,,37,26,1388,0.991100013256073
MNIST,,gm,50,32,1,75.0,AdvancedCNN,2592202,,,38,27,1425,0.9916999936103821
MNIST,,gm,50,32,1,75.0,AdvancedCNN,2592202,,,39,28,1463,0.9914000034332275
