dataset_name,bias,fda_name,num_clients,batch_size,num_steps_until_rtc_check,theta,nn_name,nn_num_weights,sketch_width,sketch_depth,epoch,total_rounds,total_fda_steps,accuracy
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,1,9,188,0.8827999830245972
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,2,15,375,0.9501000046730042
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,3,21,563,0.9625999927520752
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,4,27,750,0.9772999882698059
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,5,33,938,0.9840999841690063
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,6,39,1125,0.9873999953269958
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,7,45,1313,0.9872000217437744
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,8,51,1500,0.9911999702453613
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,9,57,1688,0.9904000163078308
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,10,64,1875,0.9908999800682068
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,11,70,2063,0.9926000237464905
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,12,76,2250,0.993399977684021
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,13,82,2438,0.9929999709129333
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,14,88,2625,0.9926999807357788
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,15,95,2813,0.993399977684021
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,16,101,3000,0.9936000108718872
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,17,107,3188,0.9939000010490417
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,18,112,3375,0.9937999844551086
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,19,117,3563,0.9945999979972839
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,20,123,3750,0.9934999942779541
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,21,130,3938,0.9940000176429749
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,22,135,4125,0.9941999912261963
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,23,140,4313,0.9950000047683716
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,24,145,4500,0.9940999746322632
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,25,151,4688,0.9944000244140625
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,26,156,4875,0.9940999746322632
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,27,162,5063,0.995199978351593
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,28,167,5250,0.9945999979972839
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,29,172,5438,0.9954000115394592
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,30,177,5625,0.9951000213623047
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,31,183,5813,0.9943000078201294
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,32,188,6000,0.9954000115394592
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,33,193,6188,0.9952999949455261
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,34,199,6375,0.9950000047683716
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,35,203,6563,0.995199978351593
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,36,209,6750,0.9954000115394592
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,37,214,6938,0.995199978351593
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,38,218,7125,0.9951000213623047
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,39,224,7313,0.994700014591217
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,40,229,7500,0.9941999912261963
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,41,233,7688,0.9948999881744385
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,42,238,7875,0.9950000047683716
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,43,243,8063,0.9950000047683716
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,44,249,8250,0.995199978351593
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,45,255,8438,0.9950000047683716
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,46,260,8625,0.9948999881744385
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,47,264,8813,0.9952999949455261
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,48,268,9000,0.9945999979972839
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,49,273,9188,0.995199978351593
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,50,278,9375,0.9948999881744385
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,51,282,9563,0.9948999881744385
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,52,287,9750,0.9948999881744385
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,53,289,9938,0.9947999715805054
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,54,296,10125,0.9951000213623047
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,55,301,10313,0.9950000047683716
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,56,308,10500,0.9951000213623047
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,57,312,10688,0.9945999979972839
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,58,317,10875,0.9950000047683716
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,59,321,11063,0.9951000213623047
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,60,327,11250,0.9952999949455261
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,61,333,11438,0.9945999979972839
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,62,338,11625,0.9937000274658203
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,63,343,11813,0.9952999949455261
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,64,347,12000,0.9944999814033508
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,65,353,12188,0.9945999979972839
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,66,357,12375,0.995199978351593
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,67,361,12563,0.9947999715805054
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,68,366,12750,0.9950000047683716
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,69,371,12938,0.995199978351593
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,70,376,13125,0.995199978351593
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,71,381,13313,0.9955000281333923
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,72,385,13500,0.9954000115394592
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,73,388,13688,0.9954000115394592
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,74,393,13875,0.9947999715805054
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,75,397,14063,0.9952999949455261
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,76,399,14250,0.994700014591217
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,77,403,14438,0.9947999715805054
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,78,407,14625,0.994700014591217
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,79,414,14813,0.9948999881744385
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,80,421,15000,0.9955999851226807
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,81,426,15188,0.9954000115394592
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,82,430,15375,0.995199978351593
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,83,433,15563,0.995199978351593
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,84,437,15750,0.9948999881744385
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,85,442,15938,0.9944000244140625
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,86,445,16125,0.994700014591217
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,87,451,16313,0.9947999715805054
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,88,456,16500,0.9954000115394592
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,89,459,16688,0.9948999881744385
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,90,464,16875,0.9951000213623047
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,91,467,17063,0.9944000244140625
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,92,471,17250,0.995199978351593
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,93,474,17438,0.995199978351593
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,94,481,17625,0.995199978351593
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,95,485,17813,0.9952999949455261
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,96,491,18000,0.9950000047683716
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,97,494,18188,0.9951000213623047
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,98,497,18375,0.9945999979972839
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,99,502,18563,0.9951000213623047
MNIST,-2.0,sketch,10,32,1,20.0,AdvancedCNN,2592202,250,5,100,509,18750,0.9952999949455261
