dataset_name,fda_name,num_clients,batch_size,num_steps_until_rtc_check,theta,nn_num_weights,sketch_width,sketch_depth,epoch,total_rounds,total_fda_steps,accuracy
EMNIST,linear,5,32,1,0.5,2592202,-1,-1,1,112,375,0.9480999708175659
EMNIST,linear,5,32,1,0.5,2592202,-1,-1,2,194,750,0.9603999853134155
EMNIST,linear,5,32,1,0.5,2592202,-1,-1,3,257,1125,0.968500018119812
EMNIST,linear,5,32,1,0.5,2592202,-1,-1,4,323,1500,0.9682000279426575
EMNIST,linear,5,32,1,0.5,2592202,-1,-1,5,394,1875,0.9674000144004822
EMNIST,linear,5,32,1,0.5,2592202,-1,-1,6,469,2250,0.963100016117096
EMNIST,linear,5,32,1,0.5,2592202,-1,-1,7,539,2625,0.9648000001907349
EMNIST,linear,5,32,1,0.5,2592202,-1,-1,8,599,3000,0.9724000096321106
EMNIST,linear,5,32,1,0.5,2592202,-1,-1,9,666,3375,0.9715999960899353
EMNIST,linear,5,32,1,0.5,2592202,-1,-1,10,728,3750,0.972599983215332
EMNIST,linear,5,32,1,0.5,2592202,-1,-1,11,774,4125,0.9718999862670898
EMNIST,linear,5,32,1,0.5,2592202,-1,-1,12,840,4500,0.9732000231742859
EMNIST,linear,5,32,1,0.5,2592202,-1,-1,13,896,4875,0.9736999869346619
EMNIST,linear,5,32,1,0.5,2592202,-1,-1,14,933,5250,0.9702000021934509
EMNIST,linear,5,32,1,0.5,2592202,-1,-1,15,1012,5625,0.9735999703407288
EMNIST,linear,5,32,1,0.5,2592202,-1,-1,16,1051,6000,0.9699000120162964
EMNIST,linear,5,32,1,0.5,2592202,-1,-1,17,1117,6375,0.9751999974250793
EMNIST,linear,5,32,1,0.5,2592202,-1,-1,18,1127,6750,0.9749000072479248
EMNIST,linear,5,32,1,0.5,2592202,-1,-1,19,1187,7125,0.9735999703407288
EMNIST,linear,5,32,1,0.5,2592202,-1,-1,20,1262,7500,0.9718999862670898
EMNIST,linear,5,32,1,0.5,2592202,-1,-1,21,1319,7875,0.9729999899864197
EMNIST,linear,5,32,1,0.5,2592202,-1,-1,22,1373,8250,0.9689000248908997
EMNIST,linear,5,32,1,0.5,2592202,-1,-1,23,1406,8625,0.974399983882904
EMNIST,linear,5,32,1,0.5,2592202,-1,-1,24,1414,9000,0.9757999777793884
EMNIST,linear,5,32,1,0.5,2592202,-1,-1,25,1420,9375,0.9746999740600586
EMNIST,linear,5,32,1,0.5,2592202,-1,-1,26,1450,9750,0.9721999764442444
EMNIST,linear,5,32,1,0.5,2592202,-1,-1,27,1556,10125,0.9717000126838684
EMNIST,linear,5,32,1,0.5,2592202,-1,-1,28,1585,10500,0.9743000268936157
EMNIST,linear,5,32,1,0.5,2592202,-1,-1,29,1602,10875,0.9726999998092651
EMNIST,linear,5,32,1,0.5,2592202,-1,-1,30,1630,11250,0.9732000231742859
EMNIST,linear,5,32,1,0.5,2592202,-1,-1,31,1642,11625,0.9740999937057495
EMNIST,linear,5,32,1,0.5,2592202,-1,-1,32,1680,12000,0.9731000065803528
EMNIST,linear,5,32,1,0.5,2592202,-1,-1,33,1735,12375,0.974399983882904
EMNIST,linear,5,32,1,0.5,2592202,-1,-1,34,1768,12750,0.974399983882904
EMNIST,linear,5,32,1,0.5,2592202,-1,-1,35,1799,13125,0.9732999801635742
EMNIST,linear,5,32,1,0.5,2592202,-1,-1,36,1843,13500,0.9739000201225281
EMNIST,linear,5,32,1,0.5,2592202,-1,-1,37,1900,13875,0.9732999801635742
EMNIST,linear,5,32,1,0.5,2592202,-1,-1,38,1928,14250,0.9710000157356262
EMNIST,linear,5,32,1,0.5,2592202,-1,-1,39,1935,14625,0.973800003528595
EMNIST,linear,5,32,1,0.5,2592202,-1,-1,40,1954,15000,0.9726999998092651
EMNIST,linear,5,32,1,0.5,2592202,-1,-1,41,2035,15375,0.9735999703407288
EMNIST,linear,5,32,1,0.5,2592202,-1,-1,42,2045,15750,0.972000002861023
EMNIST,linear,5,32,1,0.5,2592202,-1,-1,43,2050,16125,0.9732000231742859
EMNIST,linear,5,32,1,0.5,2592202,-1,-1,44,2075,16500,0.9677000045776367
EMNIST,linear,5,32,1,0.5,2592202,-1,-1,45,2147,16875,0.9729999899864197
EMNIST,linear,5,32,1,0.5,2592202,-1,-1,46,2166,17250,0.974399983882904
EMNIST,linear,5,32,1,0.5,2592202,-1,-1,47,2168,17625,0.9750999808311462
EMNIST,linear,5,32,1,0.5,2592202,-1,-1,48,2169,18000,0.9754999876022339
EMNIST,linear,5,32,1,0.5,2592202,-1,-1,49,2178,18375,0.9746999740600586
EMNIST,linear,5,32,1,0.5,2592202,-1,-1,50,2179,18750,0.9747999906539917
EMNIST,linear,5,32,1,0.5,2592202,-1,-1,51,2180,19125,0.9753000140190125
EMNIST,linear,5,32,1,0.5,2592202,-1,-1,52,2181,19500,0.9753000140190125
EMNIST,linear,5,32,1,0.5,2592202,-1,-1,53,2278,19875,0.9725000262260437
EMNIST,linear,5,32,1,0.5,2592202,-1,-1,54,2317,20250,0.975600004196167
EMNIST,linear,5,32,1,0.5,2592202,-1,-1,55,2338,20625,0.9758999943733215
EMNIST,linear,5,32,1,0.5,2592202,-1,-1,56,2346,21000,0.9735000133514404
EMNIST,linear,5,32,1,0.5,2592202,-1,-1,57,2357,21375,0.9757999777793884
EMNIST,linear,5,32,1,0.5,2592202,-1,-1,58,2359,21750,0.9758999943733215
EMNIST,linear,5,32,1,0.5,2592202,-1,-1,59,2410,22125,0.9692000150680542
EMNIST,linear,5,32,1,0.5,2592202,-1,-1,60,2457,22500,0.9736999869346619
EMNIST,linear,5,32,1,0.5,2592202,-1,-1,61,2465,22875,0.9725000262260437
EMNIST,linear,5,32,1,0.5,2592202,-1,-1,62,2480,23250,0.9749000072479248
EMNIST,linear,5,32,1,0.5,2592202,-1,-1,63,2504,23625,0.9732000231742859
EMNIST,linear,5,32,1,0.5,2592202,-1,-1,64,2506,24000,0.9732000231742859
EMNIST,linear,5,32,1,0.5,2592202,-1,-1,65,2509,24375,0.974399983882904
EMNIST,linear,5,32,1,0.5,2592202,-1,-1,66,2513,24750,0.9742000102996826
EMNIST,linear,5,32,1,0.5,2592202,-1,-1,67,2520,25125,0.9750999808311462
EMNIST,linear,5,32,1,0.5,2592202,-1,-1,68,2568,25500,0.9625999927520752
EMNIST,linear,5,32,1,0.5,2592202,-1,-1,69,2639,25875,0.9735000133514404
EMNIST,linear,5,32,1,0.5,2592202,-1,-1,70,2650,26250,0.975600004196167
EMNIST,linear,5,32,1,0.5,2592202,-1,-1,71,2653,26625,0.9765999913215637
EMNIST,linear,5,32,1,0.5,2592202,-1,-1,72,2704,27000,0.9736999869346619
EMNIST,linear,5,32,1,0.5,2592202,-1,-1,73,2723,27375,0.9763000011444092
EMNIST,linear,5,32,1,0.5,2592202,-1,-1,74,2735,27750,0.9765999913215637
EMNIST,linear,5,32,1,0.5,2592202,-1,-1,75,2737,28125,0.9764999747276306
