dataset_name,fda_name,num_clients,batch_size,num_steps_until_rtc_check,theta,nn_num_weights,sketch_width,sketch_depth,epoch,total_rounds,total_fda_steps,accuracy
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,1,125,125,0.8130000233650208
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,2,250,250,0.9437000155448914
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,3,375,375,0.9617000222206116
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,4,500,500,0.9718000292778015
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,5,625,625,0.9696999788284302
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,6,750,750,0.9771000146865845
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,7,875,875,0.9776999950408936
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,8,1000,1000,0.9778000116348267
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,9,1125,1125,0.9789999723434448
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,10,1250,1250,0.9789000153541565
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,11,1375,1375,0.9757999777793884
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,12,1500,1500,0.9797999858856201
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,13,1625,1625,0.9801999926567078
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,14,1750,1750,0.9782999753952026
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,15,1875,1875,0.9800999760627747
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,16,2000,2000,0.9786999821662903
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,17,2125,2125,0.9797000288963318
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,18,2250,2250,0.9811999797821045
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,19,2375,2375,0.9811000227928162
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,20,2500,2500,0.9764000177383423
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,21,2625,2625,0.9800999760627747
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,22,2750,2750,0.979200005531311
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,23,2875,2875,0.9789999723434448
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,24,3000,3000,0.9811999797821045
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,25,3125,3125,0.9818000197410583
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,26,3250,3250,0.979200005531311
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,27,3375,3375,0.9814000129699707
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,28,3500,3500,0.9810000061988831
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,29,3625,3625,0.980400025844574
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,30,3750,3750,0.9810000061988831
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,31,3875,3875,0.9799000024795532
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,32,4000,4000,0.9822999835014343
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,33,4125,4125,0.9818000197410583
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,34,4250,4250,0.982200026512146
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,35,4375,4375,0.9828000068664551
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,36,4500,4500,0.9810000061988831
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,37,4625,4625,0.9815999865531921
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,38,4750,4750,0.9804999828338623
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,39,4875,4875,0.9824000000953674
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,40,5000,5000,0.9824000000953674
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,41,5125,5125,0.9811000227928162
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,42,5250,5250,0.9821000099182129
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,43,5375,5375,0.9825000166893005
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,44,5500,5500,0.9787999987602234
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,45,5625,5625,0.9796000123023987
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,46,5750,5750,0.983299970626831
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,47,5875,5875,0.9817000031471252
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,48,6000,6000,0.9832000136375427
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,49,6125,6125,0.9819999933242798
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,50,6250,6250,0.9822999835014343
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,51,6375,6375,0.9811000227928162
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,52,6500,6500,0.982200026512146
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,53,6625,6625,0.9819999933242798
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,54,6750,6750,0.9824000000953674
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,55,6875,6875,0.9807999730110168
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,56,7000,7000,0.9797000288963318
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,57,7125,7125,0.9812999963760376
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,58,7250,7250,0.9822999835014343
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,59,7375,7375,0.9821000099182129
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,60,7500,7500,0.9829999804496765
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,61,7625,7625,0.9853000044822693
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,62,7750,7750,0.982200026512146
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,63,7875,7875,0.9818999767303467
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,64,8000,8000,0.9847999811172485
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,65,8125,8125,0.9848999977111816
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,66,8250,8250,0.9839000105857849
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,67,8375,8375,0.9829999804496765
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,68,8500,8500,0.9840999841690063
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,69,8625,8625,0.9835000038146973
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,70,8750,8750,0.9854999780654907
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,71,8875,8875,0.9814000129699707
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,72,9000,9000,0.9840999841690063
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,73,9125,9125,0.983299970626831
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,74,9250,9250,0.983299970626831
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,75,9375,9375,0.9854000210762024
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,76,9500,9500,0.9835000038146973
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,77,9625,9625,0.9807000160217285
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,78,9750,9750,0.9847000241279602
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,79,9875,9875,0.984000027179718
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,80,10000,10000,0.9819999933242798
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,81,10125,10125,0.9836999773979187
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,82,10250,10250,0.9832000136375427
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,83,10375,10375,0.9847999811172485
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,84,10500,10500,0.9835000038146973
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,85,10625,10625,0.9837999939918518
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,86,10750,10750,0.9835000038146973
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,87,10875,10875,0.9829000234603882
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,88,11000,11000,0.9836999773979187
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,89,11125,11125,0.982200026512146
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,90,11250,11250,0.9837999939918518
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,91,11375,11375,0.9847999811172485
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,92,11500,11500,0.9853000044822693
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,93,11625,11625,0.9848999977111816
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,94,11750,11750,0.9839000105857849
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,95,11875,11875,0.9829999804496765
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,96,12000,12000,0.9850000143051147
EMNIST,synchronous,15,32,1,0.0,2592202,-1,-1,97,12125,12125,0.9805999994277954
