dataset_name,fda_name,num_clients,batch_size,num_steps_until_rtc_check,theta,nn_num_weights,sketch_width,sketch_depth,epoch,total_rounds,total_fda_steps,accuracy
EMNIST,naive,5,32,1,15.0,2592202,-1,-1,1,19,375,0.9312000274658203
EMNIST,naive,5,32,1,15.0,2592202,-1,-1,2,31,750,0.9610999822616577
EMNIST,naive,5,32,1,15.0,2592202,-1,-1,3,39,1125,0.9689000248908997
EMNIST,naive,5,32,1,15.0,2592202,-1,-1,4,48,1500,0.9714999794960022
EMNIST,naive,5,32,1,15.0,2592202,-1,-1,5,55,1875,0.9724000096321106
EMNIST,naive,5,32,1,15.0,2592202,-1,-1,6,62,2250,0.9714000225067139
EMNIST,naive,5,32,1,15.0,2592202,-1,-1,7,71,2625,0.9714999794960022
EMNIST,naive,5,32,1,15.0,2592202,-1,-1,8,80,3000,0.9714999794960022
EMNIST,naive,5,32,1,15.0,2592202,-1,-1,9,84,3375,0.9715999960899353
EMNIST,naive,5,32,1,15.0,2592202,-1,-1,10,91,3750,0.9757000207901001
EMNIST,naive,5,32,1,15.0,2592202,-1,-1,11,99,4125,0.9714999794960022
EMNIST,naive,5,32,1,15.0,2592202,-1,-1,12,108,4500,0.974399983882904
EMNIST,naive,5,32,1,15.0,2592202,-1,-1,13,115,4875,0.9732999801635742
EMNIST,naive,5,32,1,15.0,2592202,-1,-1,14,123,5250,0.9751999974250793
EMNIST,naive,5,32,1,15.0,2592202,-1,-1,15,128,5625,0.9750999808311462
EMNIST,naive,5,32,1,15.0,2592202,-1,-1,16,137,6000,0.9771999716758728
EMNIST,naive,5,32,1,15.0,2592202,-1,-1,17,139,6375,0.9772999882698059
EMNIST,naive,5,32,1,15.0,2592202,-1,-1,18,152,6750,0.9757000207901001
EMNIST,naive,5,32,1,15.0,2592202,-1,-1,19,156,7125,0.9761999845504761
EMNIST,naive,5,32,1,15.0,2592202,-1,-1,20,160,7500,0.9750999808311462
EMNIST,naive,5,32,1,15.0,2592202,-1,-1,21,167,7875,0.977400004863739
EMNIST,naive,5,32,1,15.0,2592202,-1,-1,22,169,8250,0.9781000018119812
EMNIST,naive,5,32,1,15.0,2592202,-1,-1,23,179,8625,0.9785000085830688
EMNIST,naive,5,32,1,15.0,2592202,-1,-1,24,184,9000,0.9782000184059143
EMNIST,naive,5,32,1,15.0,2592202,-1,-1,25,189,9375,0.9771999716758728
EMNIST,linear,5,32,1,15.0,2592202,-1,-1,1,18,375,0.9050999879837036
EMNIST,linear,5,32,1,15.0,2592202,-1,-1,2,30,750,0.9546999931335449
EMNIST,linear,5,32,1,15.0,2592202,-1,-1,3,40,1125,0.957099974155426
EMNIST,linear,5,32,1,15.0,2592202,-1,-1,4,48,1500,0.9631999731063843
EMNIST,linear,5,32,1,15.0,2592202,-1,-1,5,54,1875,0.9635999798774719
EMNIST,linear,5,32,1,15.0,2592202,-1,-1,6,62,2250,0.9664000272750854
EMNIST,linear,5,32,1,15.0,2592202,-1,-1,7,70,2625,0.9656000137329102
EMNIST,linear,5,32,1,15.0,2592202,-1,-1,8,76,3000,0.9696000218391418
EMNIST,linear,5,32,1,15.0,2592202,-1,-1,9,84,3375,0.9674000144004822
EMNIST,linear,5,32,1,15.0,2592202,-1,-1,10,89,3750,0.9682999849319458
EMNIST,linear,5,32,1,15.0,2592202,-1,-1,11,94,4125,0.9682999849319458
EMNIST,linear,5,32,1,15.0,2592202,-1,-1,12,100,4500,0.9713000059127808
EMNIST,linear,5,32,1,15.0,2592202,-1,-1,13,106,4875,0.9706000089645386
EMNIST,linear,5,32,1,15.0,2592202,-1,-1,14,114,5250,0.9713000059127808
EMNIST,linear,5,32,1,15.0,2592202,-1,-1,15,122,5625,0.9728999733924866
EMNIST,linear,5,32,1,15.0,2592202,-1,-1,16,125,6000,0.9714000225067139
EMNIST,linear,5,32,1,15.0,2592202,-1,-1,17,133,6375,0.9726999998092651
EMNIST,linear,5,32,1,15.0,2592202,-1,-1,18,138,6750,0.9728999733924866
EMNIST,linear,5,32,1,15.0,2592202,-1,-1,19,144,7125,0.9718999862670898
EMNIST,linear,5,32,1,15.0,2592202,-1,-1,20,151,7500,0.972599983215332
EMNIST,linear,5,32,1,15.0,2592202,-1,-1,21,157,7875,0.9728999733924866
EMNIST,linear,5,32,1,15.0,2592202,-1,-1,22,164,8250,0.9724000096321106
EMNIST,linear,5,32,1,15.0,2592202,-1,-1,23,171,8625,0.9750999808311462
EMNIST,linear,5,32,1,15.0,2592202,-1,-1,24,178,9000,0.972100019454956
EMNIST,linear,5,32,1,15.0,2592202,-1,-1,25,185,9375,0.9735999703407288
EMNIST,sketch,5,32,1,15.0,2592202,500,7,1,14,375,0.9129999876022339
EMNIST,sketch,5,32,1,15.0,2592202,500,7,2,24,750,0.954800009727478
EMNIST,sketch,5,32,1,15.0,2592202,500,7,3,31,1125,0.9620000123977661
EMNIST,sketch,5,32,1,15.0,2592202,500,7,4,39,1500,0.9653000235557556
EMNIST,sketch,5,32,1,15.0,2592202,500,7,5,45,1875,0.9681000113487244
EMNIST,sketch,5,32,1,15.0,2592202,500,7,6,53,2250,0.967199981212616
EMNIST,sketch,5,32,1,15.0,2592202,500,7,7,57,2625,0.9678999781608582
EMNIST,sketch,5,32,1,15.0,2592202,500,7,8,62,3000,0.9686999917030334
