dataset_name,fda_name,num_clients,batch_size,num_steps_until_rtc_check,theta,nn_num_weights,sketch_width,sketch_depth,epoch,total_rounds,total_fda_steps,accuracy
EMNIST,synchronous,35,256,1,0.0,61706,-1,-1,1,7,7,0.3797000050544739
EMNIST,synchronous,35,256,1,0.0,61706,-1,-1,2,14,14,0.579800009727478
EMNIST,synchronous,35,256,1,0.0,61706,-1,-1,3,21,21,0.4921000003814697
EMNIST,synchronous,35,256,1,0.0,61706,-1,-1,4,27,27,0.5724999904632568
EMNIST,synchronous,35,256,1,0.0,61706,-1,-1,5,34,34,0.6080999970436096
EMNIST,synchronous,35,256,1,0.0,61706,-1,-1,6,41,41,0.6456000208854675
EMNIST,synchronous,35,256,1,0.0,61706,-1,-1,7,47,47,0.6765999794006348
EMNIST,synchronous,35,256,1,0.0,61706,-1,-1,8,54,54,0.7193999886512756
EMNIST,synchronous,35,256,1,0.0,61706,-1,-1,9,61,61,0.7519999742507935
EMNIST,synchronous,35,256,1,0.0,61706,-1,-1,10,67,67,0.771399974822998
EMNIST,synchronous,35,256,1,0.0,61706,-1,-1,11,74,74,0.7950999736785889
EMNIST,synchronous,35,256,1,0.0,61706,-1,-1,12,81,81,0.8126000165939331
EMNIST,synchronous,35,256,1,0.0,61706,-1,-1,13,88,88,0.8264999985694885
EMNIST,synchronous,35,256,1,0.0,61706,-1,-1,14,94,94,0.8389999866485596
EMNIST,synchronous,35,256,1,0.0,61706,-1,-1,15,101,101,0.8528000116348267
EMNIST,synchronous,35,256,1,0.0,61706,-1,-1,16,108,108,0.8623999953269958
EMNIST,synchronous,35,256,1,0.0,61706,-1,-1,17,114,114,0.871999979019165
EMNIST,synchronous,35,256,1,0.0,61706,-1,-1,18,121,121,0.8794999718666077
EMNIST,synchronous,35,256,1,0.0,61706,-1,-1,19,128,128,0.885200023651123
EMNIST,synchronous,35,256,1,0.0,61706,-1,-1,20,134,134,0.8898000121116638
EMNIST,synchronous,35,256,1,0.0,61706,-1,-1,21,141,141,0.8944000005722046
EMNIST,synchronous,35,256,1,0.0,61706,-1,-1,22,148,148,0.8978000283241272
EMNIST,synchronous,35,256,1,0.0,61706,-1,-1,23,155,155,0.901199996471405
EMNIST,synchronous,35,256,1,0.0,61706,-1,-1,24,161,161,0.9050999879837036
EMNIST,synchronous,35,256,1,0.0,61706,-1,-1,25,168,168,0.9079999923706055
EMNIST,synchronous,35,256,1,0.0,61706,-1,-1,26,175,175,0.910099983215332
EMNIST,synchronous,35,256,1,0.0,61706,-1,-1,27,181,181,0.9132000207901001
EMNIST,synchronous,35,256,1,0.0,61706,-1,-1,28,188,188,0.916100025177002
EMNIST,synchronous,35,256,1,0.0,61706,-1,-1,29,195,195,0.9189000129699707
EMNIST,synchronous,35,256,1,0.0,61706,-1,-1,30,201,201,0.9200000166893005
EMNIST,synchronous,35,256,1,0.0,61706,-1,-1,31,208,208,0.9229000210762024
EMNIST,synchronous,35,256,1,0.0,61706,-1,-1,32,215,215,0.9251999855041504
EMNIST,synchronous,35,256,1,0.0,61706,-1,-1,33,221,221,0.9279000163078308
EMNIST,synchronous,35,256,1,0.0,61706,-1,-1,34,228,228,0.9312000274658203
EMNIST,synchronous,35,256,1,0.0,61706,-1,-1,35,235,235,0.9330999851226807
EMNIST,synchronous,35,256,1,0.0,61706,-1,-1,36,242,242,0.9337000250816345
EMNIST,synchronous,35,256,1,0.0,61706,-1,-1,37,248,248,0.9355000257492065
EMNIST,synchronous,35,256,1,0.0,61706,-1,-1,38,255,255,0.9372000098228455
EMNIST,synchronous,35,256,1,0.0,61706,-1,-1,39,262,262,0.9384999871253967
EMNIST,synchronous,35,256,1,0.0,61706,-1,-1,40,268,268,0.939300000667572
EMNIST,synchronous,35,256,1,0.0,61706,-1,-1,41,275,275,0.9415000081062317
EMNIST,synchronous,35,256,1,0.0,61706,-1,-1,42,282,282,0.9420999884605408
EMNIST,synchronous,35,256,1,0.0,61706,-1,-1,43,288,288,0.9430000185966492
EMNIST,synchronous,35,256,1,0.0,61706,-1,-1,44,295,295,0.9440000057220459
EMNIST,synchronous,35,256,1,0.0,61706,-1,-1,45,302,302,0.9452000260353088
EMNIST,synchronous,35,256,1,0.0,61706,-1,-1,46,309,309,0.9469000101089478
EMNIST,synchronous,35,256,1,0.0,61706,-1,-1,47,315,315,0.9465000033378601
EMNIST,synchronous,35,256,1,0.0,61706,-1,-1,48,322,322,0.9484000205993652
EMNIST,synchronous,35,256,1,0.0,61706,-1,-1,49,329,329,0.949400007724762
EMNIST,synchronous,35,256,1,0.0,61706,-1,-1,50,335,335,0.9502999782562256
