dataset_name,bias,aggr_scheme,fda_name,num_clients,batch_size,num_steps_until_rtc_check,theta,nn_name,nn_num_weights,sketch_width,sketch_depth,epoch,total_rounds,total_fda_steps,accuracy,train_accuracy
CIFAR10,,avg,sketch,20,32,1,250.0,DenseNet121,6964106,250,5,1,8,79,0.2639000117778778,0.2609375
CIFAR10,,avg,sketch,20,32,1,250.0,DenseNet121,6964106,250,5,2,10,157,0.3928999900817871,0.3359375
CIFAR10,,avg,sketch,20,32,1,250.0,DenseNet121,6964106,250,5,3,11,235,0.4203000068664551,0.375
CIFAR10,,avg,sketch,20,32,1,250.0,DenseNet121,6964106,250,5,4,12,313,0.42820000648498535,0.36875
CIFAR10,,avg,sketch,20,32,1,250.0,DenseNet121,6964106,250,5,5,12,391,0.43459999561309814,0.4078125
CIFAR10,,avg,sketch,20,32,1,250.0,DenseNet121,6964106,250,5,6,13,469,0.44920000433921814,0.421875
CIFAR10,,avg,sketch,20,32,1,250.0,DenseNet121,6964106,250,5,7,13,547,0.4577000141143799,0.4171875
CIFAR10,,avg,sketch,20,32,1,250.0,DenseNet121,6964106,250,5,8,14,625,0.48080000281333923,0.4546875
CIFAR10,,avg,sketch,20,32,1,250.0,DenseNet121,6964106,250,5,9,15,704,0.474700003862381,0.4625
CIFAR10,,avg,sketch,20,32,1,250.0,DenseNet121,6964106,250,5,10,16,782,0.5157999992370605,0.5046875
CIFAR10,,avg,sketch,20,32,1,250.0,DenseNet121,6964106,250,5,11,16,860,0.5253999829292297,0.521875
CIFAR10,,avg,sketch,20,32,1,250.0,DenseNet121,6964106,250,5,12,17,938,0.5504999756813049,0.5203125
CIFAR10,,avg,sketch,20,32,1,250.0,DenseNet121,6964106,250,5,13,18,1016,0.5515999794006348,0.5375
CIFAR10,,avg,sketch,20,32,1,250.0,DenseNet121,6964106,250,5,14,18,1094,0.5723999738693237,0.5546875
CIFAR10,,avg,sketch,20,32,1,250.0,DenseNet121,6964106,250,5,15,19,1172,0.5763999819755554,0.5609375
CIFAR10,,avg,sketch,20,32,1,250.0,DenseNet121,6964106,250,5,16,19,1250,0.5867000222206116,0.5609375
CIFAR10,,avg,sketch,20,32,1,250.0,DenseNet121,6964106,250,5,17,20,1329,0.5943999886512756,0.5546875
CIFAR10,,avg,sketch,20,32,1,250.0,DenseNet121,6964106,250,5,18,21,1407,0.6028000116348267,0.5796875
CIFAR10,,avg,sketch,20,32,1,250.0,DenseNet121,6964106,250,5,19,21,1485,0.6033999919891357,0.621875
CIFAR10,,avg,sketch,20,32,1,250.0,DenseNet121,6964106,250,5,20,22,1563,0.6093999743461609,0.584375
CIFAR10,,avg,sketch,20,32,1,250.0,DenseNet121,6964106,250,5,21,22,1641,0.6079999804496765,0.621875
CIFAR10,,avg,sketch,20,32,1,250.0,DenseNet121,6964106,250,5,22,23,1719,0.6316999793052673,0.625
CIFAR10,,avg,sketch,20,32,1,250.0,DenseNet121,6964106,250,5,23,24,1797,0.6342999935150146,0.64375
CIFAR10,,avg,sketch,20,32,1,250.0,DenseNet121,6964106,250,5,24,24,1875,0.6315000057220459,0.6328125
CIFAR10,,avg,sketch,20,32,1,250.0,DenseNet121,6964106,250,5,25,25,1954,0.6211000084877014,0.621875
CIFAR10,,avg,sketch,20,32,1,250.0,DenseNet121,6964106,250,5,26,26,2032,0.6292999982833862,0.5890625
CIFAR10,,avg,sketch,20,32,1,250.0,DenseNet121,6964106,250,5,27,27,2110,0.6545000076293945,0.640625
CIFAR10,,avg,sketch,20,32,1,250.0,DenseNet121,6964106,250,5,28,27,2188,0.6665999889373779,0.675
CIFAR10,,avg,sketch,20,32,1,250.0,DenseNet121,6964106,250,5,29,28,2266,0.680899977684021,0.6515625
CIFAR10,,avg,sketch,20,32,1,250.0,DenseNet121,6964106,250,5,30,29,2344,0.6854000091552734,0.63125
CIFAR10,,avg,sketch,20,32,1,250.0,DenseNet121,6964106,250,5,31,30,2422,0.6827999949455261,0.684375
CIFAR10,,avg,sketch,20,32,1,250.0,DenseNet121,6964106,250,5,32,30,2500,0.6793000102043152,0.6890625
CIFAR10,,avg,sketch,20,32,1,250.0,DenseNet121,6964106,250,5,33,31,2579,0.6970999836921692,0.6828125
CIFAR10,,avg,sketch,20,32,1,250.0,DenseNet121,6964106,250,5,34,32,2657,0.6995999813079834,0.6890625
CIFAR10,,avg,sketch,20,32,1,250.0,DenseNet121,6964106,250,5,35,32,2735,0.7050999999046326,0.7015625
CIFAR10,,avg,sketch,20,32,1,250.0,DenseNet121,6964106,250,5,36,33,2813,0.7156000137329102,0.6828125
CIFAR10,,avg,sketch,20,32,1,250.0,DenseNet121,6964106,250,5,37,34,2891,0.7102000117301941,0.6875
CIFAR10,,avg,sketch,20,32,1,250.0,DenseNet121,6964106,250,5,38,34,2969,0.7193999886512756,0.7234375
CIFAR10,,avg,sketch,20,32,1,250.0,DenseNet121,6964106,250,5,39,35,3047,0.7242000102996826,0.6890625
CIFAR10,,avg,sketch,20,32,1,250.0,DenseNet121,6964106,250,5,40,36,3125,0.7282999753952026,0.73125
CIFAR10,,avg,sketch,20,32,1,250.0,DenseNet121,6964106,250,5,41,36,3204,0.7240999937057495,0.725
CIFAR10,,avg,sketch,20,32,1,250.0,DenseNet121,6964106,250,5,42,37,3282,0.7335000038146973,0.753125
CIFAR10,,avg,sketch,20,32,1,250.0,DenseNet121,6964106,250,5,43,38,3360,0.7368000149726868,0.778125
CIFAR10,,avg,sketch,20,32,1,250.0,DenseNet121,6964106,250,5,44,38,3438,0.73580002784729,0.73125
CIFAR10,,avg,sketch,20,32,1,250.0,DenseNet121,6964106,250,5,45,39,3516,0.7426999807357788,0.775
CIFAR10,,avg,sketch,20,32,1,250.0,DenseNet121,6964106,250,5,46,40,3594,0.739300012588501,0.6953125
CIFAR10,,avg,sketch,20,32,1,250.0,DenseNet121,6964106,250,5,47,41,3672,0.7487000226974487,0.771875
CIFAR10,,avg,sketch,20,32,1,250.0,DenseNet121,6964106,250,5,48,41,3750,0.7530999779701233,0.7546875
CIFAR10,,avg,sketch,20,32,1,250.0,DenseNet121,6964106,250,5,49,42,3829,0.7569000124931335,0.75
CIFAR10,,avg,sketch,20,32,1,250.0,DenseNet121,6964106,250,5,50,43,3907,0.7555999755859375,0.775
CIFAR10,,avg,sketch,20,32,1,250.0,DenseNet121,6964106,250,5,51,43,3985,0.7549999952316284,0.7984375
CIFAR10,,avg,sketch,20,32,1,250.0,DenseNet121,6964106,250,5,52,44,4063,0.7595000267028809,0.7453125
CIFAR10,,avg,sketch,20,32,1,250.0,DenseNet121,6964106,250,5,53,45,4141,0.760200023651123,0.7875
CIFAR10,,avg,sketch,20,32,1,250.0,DenseNet121,6964106,250,5,54,46,4219,0.7620000243186951,0.78125
CIFAR10,,avg,sketch,20,32,1,250.0,DenseNet121,6964106,250,5,55,46,4297,0.7569000124931335,0.75625
CIFAR10,,avg,sketch,20,32,1,250.0,DenseNet121,6964106,250,5,56,47,4375,0.7663000226020813,0.7734375
CIFAR10,,avg,sketch,20,32,1,250.0,DenseNet121,6964106,250,5,57,48,4454,0.7692999839782715,0.7703125
CIFAR10,,avg,sketch,20,32,1,250.0,DenseNet121,6964106,250,5,58,49,4532,0.7638000249862671,0.815625
CIFAR10,,avg,sketch,20,32,1,250.0,DenseNet121,6964106,250,5,59,49,4610,0.7753000259399414,0.8203125
CIFAR10,,avg,sketch,20,32,1,250.0,DenseNet121,6964106,250,5,60,50,4688,0.7712000012397766,0.76875
CIFAR10,,avg,sketch,20,32,1,250.0,DenseNet121,6964106,250,5,61,51,4766,0.7706999778747559,0.759375
CIFAR10,,avg,sketch,20,32,1,250.0,DenseNet121,6964106,250,5,62,52,4844,0.7688999772071838,0.8265625
CIFAR10,,avg,sketch,20,32,1,250.0,DenseNet121,6964106,250,5,63,52,4922,0.7754999995231628,0.7984375
CIFAR10,,avg,sketch,20,32,1,250.0,DenseNet121,6964106,250,5,64,53,5000,0.7767999768257141,0.815625
CIFAR10,,avg,sketch,20,32,1,250.0,DenseNet121,6964106,250,5,65,54,5079,0.7814000248908997,0.8109375
CIFAR10,,avg,sketch,20,32,1,250.0,DenseNet121,6964106,250,5,66,55,5157,0.7800999879837036,0.7796875
CIFAR10,,avg,sketch,20,32,1,250.0,DenseNet121,6964106,250,5,67,55,5235,0.7756999731063843,0.796875
CIFAR10,,avg,sketch,20,32,1,250.0,DenseNet121,6964106,250,5,68,56,5313,0.7827000021934509,0.7921875
CIFAR10,,avg,sketch,20,32,1,250.0,DenseNet121,6964106,250,5,69,57,5391,0.7825999855995178,0.7734375
CIFAR10,,avg,sketch,20,32,1,250.0,DenseNet121,6964106,250,5,70,58,5469,0.7896999716758728,0.803125
CIFAR10,,avg,sketch,20,32,1,250.0,DenseNet121,6964106,250,5,71,59,5547,0.781499981880188,0.8359375
