dataset_name,fda_name,num_clients,batch_size,num_steps_until_rtc_check,theta,nn_num_weights,sketch_width,sketch_depth,epoch,round,total_fda_steps,est_var,actual_var
EMNIST,naive,20,32,1,10.0,2592202,-1,-1,1,1,47,10.122859001159668,9.335479736328125
EMNIST,naive,20,32,1,10.0,2592202,-1,-1,1,2,80,10.202465057373047,9.359588623046875
EMNIST,naive,20,32,1,10.0,2592202,-1,-1,2,3,99,10.488166809082031,9.749800682067871
EMNIST,naive,20,32,1,10.0,2592202,-1,-1,2,4,120,10.16417121887207,9.66853141784668
EMNIST,naive,20,32,1,10.0,2592202,-1,-1,2,5,148,10.057148933410645,9.294350624084473
EMNIST,naive,20,32,1,10.0,2592202,-1,-1,3,6,188,10.027124404907227,9.30001449584961
EMNIST,naive,20,32,1,10.0,2592202,-1,-1,3,7,275,10.098176956176758,9.015931129455566
EMNIST,naive,20,32,1,10.0,2592202,-1,-1,7,8,622,10.001794815063477,8.20683765411377
EMNIST,naive,20,32,1,10.0,2592202,-1,-1,26,9,2344,7.864987373352051,7.2421875
EMNIST,linear,20,32,1,10.0,2592202,-1,-1,1,1,50,10.13351058959961,9.270474433898926
EMNIST,linear,20,32,1,10.0,2592202,-1,-1,1,2,87,10.136090278625488,9.247194290161133
EMNIST,linear,20,32,1,10.0,2592202,-1,-1,2,3,107,10.272546768188477,9.694160461425781
EMNIST,linear,20,32,1,10.0,2592202,-1,-1,2,4,130,10.325766563415527,9.825953483581543
EMNIST,linear,20,32,1,10.0,2592202,-1,-1,2,5,160,10.176509857177734,9.60885238647461
EMNIST,linear,20,32,1,10.0,2592202,-1,-1,3,6,205,10.019832611083984,9.130342483520508
EMNIST,linear,20,32,1,10.0,2592202,-1,-1,4,7,324,10.017383575439453,9.106931686401367
EMNIST,linear,20,32,1,10.0,2592202,-1,-1,6,8,557,10.023843765258789,9.162912368774414
EMNIST,linear,20,32,1,10.0,2592202,-1,-1,17,9,1574,10.00057601928711,9.294158935546875
EMNIST,linear,20,32,1,10.0,2592202,-1,-1,26,10,2344,3.2017481327056885,3.043358087539673
EMNIST,sketch,20,32,1,10.0,2592202,500,7,1,1,43,10.246355056762695,10.21116828918457
EMNIST,sketch,20,32,1,10.0,2592202,500,7,1,2,75,10.045953750610352,10.013017654418945
EMNIST,sketch,20,32,1,10.0,2592202,500,7,2,3,97,10.254585266113281,10.235074043273926
EMNIST,sketch,20,32,1,10.0,2592202,500,7,2,4,120,10.164421081542969,10.160139083862305
EMNIST,sketch,20,32,1,10.0,2592202,500,7,2,5,150,10.043773651123047,10.009211540222168
EMNIST,sketch,20,32,1,10.0,2592202,500,7,3,6,201,10.075420379638672,10.04651927947998
EMNIST,sketch,20,32,1,10.0,2592202,500,7,4,7,290,10.032437324523926,9.982966423034668
EMNIST,sketch,20,32,1,10.0,2592202,500,7,9,8,829,10.002813339233398,9.967975616455078
EMNIST,sketch,20,32,1,10.0,2592202,500,7,26,9,2344,5.540909290313721,5.516254425048828
