dataset_name,bias,fda_name,num_clients,batch_size,num_steps_until_rtc_check,theta,nn_name,nn_num_weights,sketch_width,sketch_depth,epoch,total_rounds,total_fda_steps,accuracy
MNIST,,gm,10,32,1,50.0,AdvancedCNN,2592202,,,1,8,188,0.9621999859809875
MNIST,,gm,10,32,1,50.0,AdvancedCNN,2592202,,,2,12,375,0.9805999994277954
MNIST,,gm,10,32,1,50.0,AdvancedCNN,2592202,,,3,15,563,0.9876000285148621
MNIST,,gm,10,32,1,50.0,AdvancedCNN,2592202,,,4,18,750,0.9907000064849854
MNIST,,gm,10,32,1,50.0,AdvancedCNN,2592202,,,5,21,938,0.9915000200271606
MNIST,,gm,10,32,1,50.0,AdvancedCNN,2592202,,,6,24,1125,0.9923999905586243
MNIST,,gm,10,32,1,50.0,AdvancedCNN,2592202,,,7,27,1313,0.9926000237464905
MNIST,,gm,10,32,1,50.0,AdvancedCNN,2592202,,,8,31,1500,0.9932000041007996
MNIST,,gm,10,32,1,50.0,AdvancedCNN,2592202,,,9,34,1688,0.9933000206947327
MNIST,,gm,10,32,1,50.0,AdvancedCNN,2592202,,,10,38,1875,0.9937000274658203
MNIST,,gm,10,32,1,50.0,AdvancedCNN,2592202,,,11,42,2063,0.9937000274658203
MNIST,,gm,10,32,1,50.0,AdvancedCNN,2592202,,,12,45,2250,0.9939000010490417
MNIST,,gm,10,32,1,50.0,AdvancedCNN,2592202,,,13,49,2438,0.9943000078201294
MNIST,,gm,10,32,1,50.0,AdvancedCNN,2592202,,,14,54,2625,0.9944999814033508
MNIST,,gm,10,32,1,50.0,AdvancedCNN,2592202,,,15,58,2813,0.994700014591217
MNIST,,gm,10,32,1,50.0,AdvancedCNN,2592202,,,16,62,3000,0.9955999851226807
MNIST,,gm,10,32,1,50.0,AdvancedCNN,2592202,,,17,66,3188,0.9957000017166138
MNIST,,gm,10,32,1,50.0,AdvancedCNN,2592202,,,18,71,3375,0.9947999715805054
MNIST,,gm,10,32,1,50.0,AdvancedCNN,2592202,,,19,76,3563,0.9951000213623047
