dataset_name,bias,fda_name,num_clients,batch_size,num_steps_until_rtc_check,theta,nn_name,nn_num_weights,sketch_width,sketch_depth,epoch,total_rounds,total_fda_steps,accuracy
MNIST,-1.0,gm,5,32,1,15.0,AdvancedCNN,2592202,,,1,22,375,0.9847000241279602
MNIST,-1.0,gm,5,32,1,15.0,AdvancedCNN,2592202,,,2,40,750,0.9901000261306763
MNIST,-1.0,gm,5,32,1,15.0,AdvancedCNN,2592202,,,3,57,1125,0.9927999973297119
MNIST,-1.0,gm,5,32,1,15.0,AdvancedCNN,2592202,,,4,76,1500,0.992900013923645
MNIST,-1.0,gm,5,32,1,15.0,AdvancedCNN,2592202,,,5,95,1875,0.9943000078201294
MNIST,-1.0,gm,5,32,1,15.0,AdvancedCNN,2592202,,,6,114,2250,0.9939000010490417
MNIST,-1.0,gm,5,32,1,15.0,AdvancedCNN,2592202,,,7,136,2625,0.9944999814033508
MNIST,-1.0,gm,5,32,1,15.0,AdvancedCNN,2592202,,,8,159,3000,0.9940999746322632
MNIST,-1.0,gm,5,32,1,15.0,AdvancedCNN,2592202,,,9,179,3375,0.9943000078201294
MNIST,-1.0,gm,5,32,1,15.0,AdvancedCNN,2592202,,,10,198,3750,0.9950000047683716
MNIST,-1.0,gm,5,32,1,15.0,AdvancedCNN,2592202,,,11,217,4125,0.994700014591217
MNIST,-1.0,gm,5,32,1,15.0,AdvancedCNN,2592202,,,12,239,4500,0.995199978351593
MNIST,-1.0,gm,5,32,1,15.0,AdvancedCNN,2592202,,,13,261,4875,0.9958999752998352
MNIST,-1.0,gm,5,32,1,15.0,AdvancedCNN,2592202,,,14,286,5250,0.9940999746322632
MNIST,-1.0,gm,5,32,1,15.0,AdvancedCNN,2592202,,,15,309,5625,0.9952999949455261
MNIST,-1.0,gm,5,32,1,15.0,AdvancedCNN,2592202,,,16,335,6000,0.9940999746322632
MNIST,-1.0,gm,5,32,1,15.0,AdvancedCNN,2592202,,,17,358,6375,0.994700014591217
MNIST,-1.0,gm,5,32,1,15.0,AdvancedCNN,2592202,,,18,381,6750,0.9948999881744385
MNIST,-1.0,gm,5,32,1,15.0,AdvancedCNN,2592202,,,19,399,7125,0.9948999881744385
MNIST,-1.0,gm,5,32,1,15.0,AdvancedCNN,2592202,,,20,425,7500,0.992900013923645
MNIST,-1.0,gm,5,32,1,15.0,AdvancedCNN,2592202,,,21,450,7875,0.9940000176429749
MNIST,-1.0,gm,5,32,1,15.0,AdvancedCNN,2592202,,,22,479,8250,0.9940999746322632
MNIST,-1.0,gm,5,32,1,15.0,AdvancedCNN,2592202,,,23,501,8625,0.9947999715805054
