dataset_name,fda_name,num_clients,batch_size,num_steps_until_rtc_check,theta,nn_name,nn_num_weights,sketch_width,sketch_depth,epoch,total_rounds,total_fda_steps,accuracy
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,1,5,8,0.6952999830245972
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,2,7,16,0.8539999723434448
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,3,10,24,0.9320999979972839
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,4,12,32,0.9549000263214111
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,5,13,40,0.9659000039100647
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,6,15,47,0.9721999764442444
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,7,16,55,0.9757999777793884
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,8,18,63,0.9794999957084656
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,9,20,71,0.9811999797821045
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,10,21,79,0.9842000007629395
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,11,23,86,0.9860000014305115
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,12,24,94,0.987500011920929
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,13,26,102,0.9882000088691711
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,14,27,110,0.988099992275238
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,15,29,118,0.9891999959945679
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,16,30,125,0.9890999794006348
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,17,32,133,0.9901000261306763
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,18,34,141,0.9904000163078308
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,19,35,149,0.9907000064849854
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,20,37,157,0.9908000230789185
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,21,38,165,0.991100013256073
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,22,40,172,0.9911999702453613
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,23,41,180,0.9919999837875366
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,24,43,188,0.9914000034332275
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,25,45,196,0.9922999739646912
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,26,46,204,0.9922999739646912
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,27,48,211,0.9927999973297119
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,28,49,219,0.9925000071525574
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,29,51,227,0.992900013923645
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,30,52,235,0.992900013923645
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,31,54,243,0.9926999807357788
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,32,55,250,0.9929999709129333
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,33,57,258,0.9930999875068665
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,34,59,266,0.9927999973297119
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,35,60,274,0.9933000206947327
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,36,62,282,0.9930999875068665
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,37,63,290,0.9933000206947327
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,38,65,297,0.9930999875068665
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,39,66,305,0.9936000108718872
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,40,68,313,0.993399977684021
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,41,69,321,0.993399977684021
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,42,71,329,0.9936000108718872
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,43,72,336,0.9934999942779541
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,44,74,344,0.9933000206947327
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,45,75,352,0.9940999746322632
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,46,76,360,0.9936000108718872
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,47,78,368,0.9934999942779541
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,48,79,375,0.9934999942779541
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,49,81,383,0.9939000010490417
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,50,82,391,0.9937000274658203
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,51,83,399,0.9940999746322632
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,52,85,407,0.9937999844551086
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,53,86,415,0.9944000244140625
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,54,87,422,0.9943000078201294
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,55,89,430,0.9940999746322632
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,56,90,438,0.9939000010490417
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,57,91,446,0.9937999844551086
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,58,93,454,0.9936000108718872
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,59,94,461,0.9940000176429749
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,60,95,469,0.9943000078201294
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,61,97,477,0.9943000078201294
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,62,98,485,0.9939000010490417
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,63,99,493,0.9940999746322632
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,64,100,500,0.9940000176429749
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,65,102,508,0.9941999912261963
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,66,103,516,0.9934999942779541
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,67,104,524,0.9941999912261963
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,68,106,532,0.9940999746322632
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,69,107,540,0.9944999814033508
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,70,108,547,0.9940999746322632
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,71,109,555,0.9940000176429749
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,72,111,563,0.9944999814033508
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,73,112,571,0.9940999746322632
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,74,113,579,0.9944000244140625
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,75,114,586,0.9940999746322632
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,76,116,594,0.9944999814033508
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,77,117,602,0.9944000244140625
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,78,118,610,0.9940000176429749
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,79,119,618,0.9944999814033508
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,80,120,625,0.9941999912261963
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,81,122,633,0.9944999814033508
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,82,123,641,0.9941999912261963
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,83,124,649,0.9943000078201294
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,84,125,657,0.9944000244140625
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,85,127,665,0.9944000244140625
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,86,128,672,0.9943000078201294
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,87,129,680,0.9941999912261963
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,88,130,688,0.9947999715805054
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,89,132,696,0.9941999912261963
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,90,133,704,0.9940000176429749
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,91,134,711,0.9941999912261963
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,92,135,719,0.9941999912261963
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,93,136,727,0.9944000244140625
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,94,137,735,0.9944000244140625
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,95,139,743,0.9943000078201294
MNIST,linear,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,96,140,750,0.9940999746322632
