dataset_name,bias,aggr_scheme,fda_name,num_clients,batch_size,num_steps_until_rtc_check,theta,nn_name,nn_num_weights,sketch_width,sketch_depth,epoch,total_rounds,total_fda_steps,accuracy,train_accuracy
MNIST,-2.0,avg,linear,40,32,1,90.0,AdvancedCNN,2592202,,,1,2,47,0.11349999904632568,0.1234375
MNIST,-2.0,avg,linear,40,32,1,90.0,AdvancedCNN,2592202,,,2,3,94,0.8191999793052673,0.7765625
MNIST,-2.0,avg,linear,40,32,1,90.0,AdvancedCNN,2592202,,,3,4,141,0.8636000156402588,0.92265624
MNIST,-2.0,avg,linear,40,32,1,90.0,AdvancedCNN,2592202,,,4,4,188,0.8705000281333923,0.959375
MNIST,-2.0,avg,linear,40,32,1,90.0,AdvancedCNN,2592202,,,5,5,235,0.8791999816894531,0.9703125
MNIST,-2.0,avg,linear,40,32,1,90.0,AdvancedCNN,2592202,,,6,5,282,0.8779000043869019,0.9765625
MNIST,-2.0,avg,linear,40,32,1,90.0,AdvancedCNN,2592202,,,7,6,329,0.9301999807357788,0.9734375
MNIST,-2.0,avg,linear,40,32,1,90.0,AdvancedCNN,2592202,,,8,6,375,0.9028000235557556,0.9640625
MNIST,-2.0,avg,linear,40,32,1,90.0,AdvancedCNN,2592202,,,9,6,422,0.8917999863624573,0.9820312
MNIST,-2.0,avg,linear,40,32,1,90.0,AdvancedCNN,2592202,,,10,7,469,0.949999988079071,0.98046875
MNIST,-2.0,avg,linear,40,32,1,90.0,AdvancedCNN,2592202,,,11,7,516,0.9265999794006348,0.9890625
MNIST,-2.0,avg,linear,40,32,1,90.0,AdvancedCNN,2592202,,,12,8,563,0.9473999738693237,0.97578126
MNIST,-2.0,avg,linear,40,32,1,90.0,AdvancedCNN,2592202,,,13,8,610,0.9524000287055969,0.98125
MNIST,-2.0,avg,linear,40,32,1,90.0,AdvancedCNN,2592202,,,14,8,657,0.930400013923645,0.9859375
MNIST,-2.0,avg,linear,40,32,1,90.0,AdvancedCNN,2592202,,,15,9,704,0.9688000082969666,0.9867188
MNIST,-2.0,avg,linear,40,32,1,90.0,AdvancedCNN,2592202,,,16,9,750,0.9580000042915344,0.9890625
MNIST,-2.0,avg,linear,40,32,1,90.0,AdvancedCNN,2592202,,,17,9,797,0.9426000118255615,0.9859375
MNIST,-2.0,avg,linear,40,32,1,90.0,AdvancedCNN,2592202,,,18,10,844,0.9735999703407288,0.9890625
MNIST,-2.0,avg,linear,40,32,1,90.0,AdvancedCNN,2592202,,,19,10,891,0.9628000259399414,0.9890625
MNIST,-2.0,avg,linear,40,32,1,90.0,AdvancedCNN,2592202,,,20,10,938,0.9473999738693237,0.990625
