dataset_name,bias,aggr_scheme,fda_name,num_clients,batch_size,num_steps_until_rtc_check,theta,nn_name,nn_num_weights,sketch_width,sketch_depth,epoch,total_rounds,total_fda_steps,accuracy,train_accuracy
MNIST,,avg,linear,60,32,1,90.0,AdvancedCNN,2592202,,,1,1,32,0.11349999904632568,0.1546875
MNIST,,avg,linear,60,32,1,90.0,AdvancedCNN,2592202,,,2,2,63,0.11349999904632568,0.11875
MNIST,,avg,linear,60,32,1,90.0,AdvancedCNN,2592202,,,3,2,94,0.11349999904632568,0.29739583
MNIST,,avg,linear,60,32,1,90.0,AdvancedCNN,2592202,,,4,3,125,0.11349999904632568,0.1078125
MNIST,,avg,linear,60,32,1,90.0,AdvancedCNN,2592202,,,5,3,157,0.7488999962806702,0.6322917
MNIST,,avg,linear,60,32,1,90.0,AdvancedCNN,2592202,,,6,4,188,0.8471999764442444,0.7729167
MNIST,,avg,linear,60,32,1,90.0,AdvancedCNN,2592202,,,7,5,219,0.907800018787384,0.85572916
MNIST,,avg,linear,60,32,1,90.0,AdvancedCNN,2592202,,,8,5,250,0.926800012588501,0.9
MNIST,,avg,linear,60,32,1,90.0,AdvancedCNN,2592202,,,9,6,282,0.9380999803543091,0.9302083
MNIST,,avg,linear,60,32,1,90.0,AdvancedCNN,2592202,,,10,6,313,0.9538000226020813,0.94375
MNIST,,avg,linear,60,32,1,90.0,AdvancedCNN,2592202,,,11,6,344,0.9592000246047974,0.9578125
MNIST,,avg,linear,60,32,1,90.0,AdvancedCNN,2592202,,,12,6,375,0.9616000056266785,0.9609375
MNIST,,avg,linear,60,32,1,90.0,AdvancedCNN,2592202,,,13,7,407,0.9690999984741211,0.9583333
MNIST,,avg,linear,60,32,1,90.0,AdvancedCNN,2592202,,,14,7,438,0.9732000231742859,0.9692708
MNIST,,avg,linear,60,32,1,90.0,AdvancedCNN,2592202,,,15,7,469,0.9742000102996826,0.96510416
MNIST,,avg,linear,60,32,1,90.0,AdvancedCNN,2592202,,,16,7,500,0.9757999777793884,0.9838542
MNIST,,avg,linear,60,32,1,90.0,AdvancedCNN,2592202,,,17,7,532,0.9771000146865845,0.98854166
MNIST,,avg,linear,60,32,1,90.0,AdvancedCNN,2592202,,,18,8,563,0.9799000024795532,0.975
MNIST,,avg,linear,60,32,1,90.0,AdvancedCNN,2592202,,,19,8,594,0.9810000061988831,0.96770835
MNIST,,avg,linear,60,32,1,90.0,AdvancedCNN,2592202,,,20,8,625,0.9818999767303467,0.984375
MNIST,,avg,linear,60,32,1,90.0,AdvancedCNN,2592202,,,21,8,657,0.9818999767303467,0.98333335
MNIST,,avg,linear,60,32,1,90.0,AdvancedCNN,2592202,,,22,8,688,0.9814000129699707,0.98854166
MNIST,,avg,linear,60,32,1,90.0,AdvancedCNN,2592202,,,23,9,719,0.9824000000953674,0.97447914
MNIST,,avg,linear,60,32,1,90.0,AdvancedCNN,2592202,,,24,9,750,0.9840999841690063,0.98229164
MNIST,,avg,linear,60,32,1,90.0,AdvancedCNN,2592202,,,25,9,782,0.9840999841690063,0.9927083
MNIST,,avg,linear,60,32,1,90.0,AdvancedCNN,2592202,,,26,9,813,0.9853000044822693,0.9916667
MNIST,,avg,linear,60,32,1,90.0,AdvancedCNN,2592202,,,27,9,844,0.9851999878883362,0.9890625
MNIST,,avg,linear,60,32,1,90.0,AdvancedCNN,2592202,,,28,9,875,0.9846000075340271,0.9921875
MNIST,,avg,linear,60,32,1,90.0,AdvancedCNN,2592202,,,29,10,907,0.984499990940094,0.9828125
MNIST,,avg,linear,60,32,1,90.0,AdvancedCNN,2592202,,,30,10,938,0.986299991607666,0.9838542
MNIST,,avg,linear,60,32,1,90.0,AdvancedCNN,2592202,,,31,10,969,0.9868000149726868,0.98802084
MNIST,,avg,linear,60,32,1,90.0,AdvancedCNN,2592202,,,32,10,1000,0.9868000149726868,0.99010414
MNIST,,avg,linear,60,32,1,90.0,AdvancedCNN,2592202,,,33,10,1032,0.9865999817848206,0.99375
MNIST,,avg,linear,60,32,1,90.0,AdvancedCNN,2592202,,,34,10,1063,0.9860000014305115,0.9921875
MNIST,,avg,linear,60,32,1,90.0,AdvancedCNN,2592202,,,35,10,1094,0.9865000247955322,0.99114585
MNIST,,avg,linear,60,32,1,90.0,AdvancedCNN,2592202,,,36,11,1125,0.9871000051498413,0.9859375
MNIST,,avg,linear,60,32,1,90.0,AdvancedCNN,2592202,,,37,11,1157,0.987500011920929,0.9921875
MNIST,,avg,linear,60,32,1,90.0,AdvancedCNN,2592202,,,38,11,1188,0.9882000088691711,0.99010414
MNIST,,avg,linear,60,32,1,90.0,AdvancedCNN,2592202,,,39,11,1219,0.9883000254631042,0.99114585
MNIST,,avg,linear,60,32,1,90.0,AdvancedCNN,2592202,,,40,11,1250,0.9878000020980835,0.99322915
MNIST,,avg,linear,60,32,1,90.0,AdvancedCNN,2592202,,,41,11,1282,0.987500011920929,0.9973958
MNIST,,avg,linear,60,32,1,90.0,AdvancedCNN,2592202,,,42,12,1313,0.9886000156402588,0.98645836
MNIST,,avg,linear,60,32,1,90.0,AdvancedCNN,2592202,,,43,12,1344,0.989300012588501,0.98645836
MNIST,,avg,linear,60,32,1,90.0,AdvancedCNN,2592202,,,44,12,1375,0.9891999959945679,0.99375
MNIST,,avg,linear,60,32,1,90.0,AdvancedCNN,2592202,,,45,12,1407,0.9891999959945679,0.9927083
MNIST,,avg,linear,60,32,1,90.0,AdvancedCNN,2592202,,,46,12,1438,0.9890999794006348,0.9947917
MNIST,,avg,linear,60,32,1,90.0,AdvancedCNN,2592202,,,47,12,1469,0.989300012588501,0.9869792
MNIST,,avg,linear,60,32,1,90.0,AdvancedCNN,2592202,,,48,13,1500,0.9894999861717224,0.9848958
MNIST,,avg,linear,60,32,1,90.0,AdvancedCNN,2592202,,,49,13,1532,0.9902999997138977,0.9869792
MNIST,,avg,linear,60,32,1,90.0,AdvancedCNN,2592202,,,50,13,1563,0.9901999831199646,0.9916667
MNIST,,avg,linear,60,32,1,90.0,AdvancedCNN,2592202,,,51,13,1594,0.9898999929428101,0.9921875
MNIST,,avg,linear,60,32,1,90.0,AdvancedCNN,2592202,,,52,13,1625,0.9898999929428101,0.99583334
MNIST,,avg,linear,60,32,1,90.0,AdvancedCNN,2592202,,,53,13,1657,0.9904000163078308,0.9947917
MNIST,,avg,linear,60,32,1,90.0,AdvancedCNN,2592202,,,54,14,1688,0.9904000163078308,0.98854166
MNIST,,avg,linear,60,32,1,90.0,AdvancedCNN,2592202,,,55,14,1719,0.9909999966621399,0.98854166
MNIST,,avg,linear,60,32,1,90.0,AdvancedCNN,2592202,,,56,14,1750,0.9908999800682068,0.9921875
MNIST,,avg,linear,60,32,1,90.0,AdvancedCNN,2592202,,,57,14,1782,0.9907000064849854,0.99322915
MNIST,,avg,linear,60,32,1,90.0,AdvancedCNN,2592202,,,58,14,1813,0.9904999732971191,0.990625
MNIST,,avg,linear,60,32,1,90.0,AdvancedCNN,2592202,,,59,14,1844,0.9907000064849854,0.99635416
MNIST,,avg,linear,60,32,1,90.0,AdvancedCNN,2592202,,,60,14,1875,0.9900000095367432,0.99583334
MNIST,,avg,linear,60,32,1,90.0,AdvancedCNN,2592202,,,61,15,1907,0.991599977016449,0.984375
MNIST,,avg,linear,60,32,1,90.0,AdvancedCNN,2592202,,,62,15,1938,0.9912999868392944,0.9916667
MNIST,,avg,linear,60,32,1,90.0,AdvancedCNN,2592202,,,63,15,1969,0.9909999966621399,0.99427086
MNIST,,avg,linear,60,32,1,90.0,AdvancedCNN,2592202,,,64,15,2000,0.9911999702453613,0.99375
MNIST,,avg,linear,60,32,1,90.0,AdvancedCNN,2592202,,,65,15,2032,0.9911999702453613,0.9947917
MNIST,,avg,linear,60,32,1,90.0,AdvancedCNN,2592202,,,66,15,2063,0.991100013256073,0.9953125
MNIST,,avg,linear,60,32,1,90.0,AdvancedCNN,2592202,,,67,16,2094,0.9919000267982483,0.9895833
MNIST,,avg,linear,60,32,1,90.0,AdvancedCNN,2592202,,,68,16,2125,0.9914000034332275,0.99010414
MNIST,,avg,linear,60,32,1,90.0,AdvancedCNN,2592202,,,69,16,2157,0.9922000169754028,0.99583334
MNIST,,avg,linear,60,32,1,90.0,AdvancedCNN,2592202,,,70,16,2188,0.9922000169754028,0.99635416
MNIST,,avg,linear,60,32,1,90.0,AdvancedCNN,2592202,,,71,16,2219,0.9916999936103821,0.99427086
MNIST,,avg,linear,60,32,1,90.0,AdvancedCNN,2592202,,,72,16,2250,0.9918000102043152,0.99375
MNIST,,avg,linear,60,32,1,90.0,AdvancedCNN,2592202,,,73,17,2282,0.9923999905586243,0.99375
MNIST,,avg,linear,60,32,1,90.0,AdvancedCNN,2592202,,,74,17,2313,0.9922000169754028,0.99375
MNIST,,avg,linear,60,32,1,90.0,AdvancedCNN,2592202,,,75,17,2344,0.9926000237464905,0.99427086
MNIST,,avg,linear,60,32,1,90.0,AdvancedCNN,2592202,,,76,17,2375,0.9922000169754028,0.99375
MNIST,,avg,linear,60,32,1,90.0,AdvancedCNN,2592202,,,77,17,2407,0.9916999936103821,0.996875
MNIST,,avg,linear,60,32,1,90.0,AdvancedCNN,2592202,,,78,18,2438,0.9926000237464905,0.99114585
MNIST,,avg,linear,60,32,1,90.0,AdvancedCNN,2592202,,,79,18,2469,0.9926999807357788,0.9953125
MNIST,,avg,linear,60,32,1,90.0,AdvancedCNN,2592202,,,80,18,2500,0.992900013923645,0.99791664
MNIST,,avg,linear,60,32,1,90.0,AdvancedCNN,2592202,,,81,18,2532,0.9926000237464905,0.9953125
MNIST,,avg,linear,60,32,1,90.0,AdvancedCNN,2592202,,,82,18,2563,0.991599977016449,0.996875
MNIST,,avg,linear,60,32,1,90.0,AdvancedCNN,2592202,,,83,18,2594,0.9922999739646912,0.9973958
