dataset_name,fda_name,num_clients,batch_size,num_steps_until_rtc_check,theta,nn_name,nn_num_weights,sketch_width,sketch_depth,epoch,total_rounds,total_fda_steps,accuracy
MNIST,naive,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,1,5,8,0.7699000239372253
MNIST,naive,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,2,8,16,0.8479999899864197
MNIST,naive,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,3,11,24,0.9265999794006348
MNIST,naive,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,4,13,32,0.9496999979019165
MNIST,naive,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,5,15,40,0.9610999822616577
MNIST,naive,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,6,17,47,0.9678000211715698
MNIST,naive,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,7,19,55,0.9749000072479248
MNIST,naive,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,8,21,63,0.9768999814987183
MNIST,naive,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,9,22,71,0.9801999926567078
MNIST,naive,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,10,24,79,0.9825000166893005
MNIST,naive,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,11,25,86,0.984499990940094
MNIST,naive,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,12,27,94,0.9861000180244446
MNIST,naive,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,13,29,102,0.9871000051498413
MNIST,naive,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,14,30,110,0.9879999756813049
MNIST,naive,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,15,32,118,0.9883999824523926
MNIST,naive,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,16,33,125,0.9891999959945679
MNIST,naive,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,17,35,133,0.9894000291824341
MNIST,naive,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,18,36,141,0.9896000027656555
MNIST,naive,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,19,38,149,0.9904999732971191
MNIST,naive,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,20,40,157,0.9902999997138977
MNIST,naive,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,21,41,165,0.9904000163078308
MNIST,naive,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,22,43,172,0.9915000200271606
MNIST,naive,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,23,44,180,0.9912999868392944
MNIST,naive,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,24,46,188,0.9919000267982483
MNIST,naive,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,25,47,196,0.9919999837875366
MNIST,naive,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,26,49,204,0.9919999837875366
MNIST,naive,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,27,50,211,0.9919999837875366
MNIST,naive,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,28,52,219,0.9925000071525574
MNIST,naive,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,29,54,227,0.9921000003814697
MNIST,naive,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,30,55,235,0.9927999973297119
MNIST,naive,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,31,57,243,0.992900013923645
MNIST,naive,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,32,58,250,0.9926000237464905
MNIST,naive,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,33,60,258,0.9933000206947327
MNIST,naive,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,34,61,266,0.9926999807357788
MNIST,naive,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,35,63,274,0.9933000206947327
MNIST,naive,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,36,65,282,0.992900013923645
MNIST,naive,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,37,66,290,0.992900013923645
MNIST,naive,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,38,68,297,0.993399977684021
MNIST,naive,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,39,69,305,0.9934999942779541
MNIST,naive,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,40,71,313,0.9936000108718872
MNIST,naive,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,41,72,321,0.9933000206947327
MNIST,naive,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,42,74,329,0.9936000108718872
MNIST,naive,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,43,75,336,0.9937999844551086
MNIST,naive,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,44,77,344,0.9937999844551086
MNIST,naive,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,45,78,352,0.9934999942779541
MNIST,naive,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,46,80,360,0.9940000176429749
MNIST,naive,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,47,81,368,0.9937000274658203
MNIST,naive,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,48,82,375,0.9939000010490417
MNIST,naive,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,49,84,383,0.9937999844551086
MNIST,naive,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,50,85,391,0.9937999844551086
MNIST,naive,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,51,87,399,0.9937999844551086
MNIST,naive,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,52,88,407,0.9939000010490417
MNIST,naive,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,53,89,415,0.9940999746322632
MNIST,naive,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,54,90,422,0.9940000176429749
MNIST,naive,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,55,92,430,0.9941999912261963
MNIST,naive,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,56,93,438,0.9937999844551086
MNIST,naive,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,57,94,446,0.9940999746322632
MNIST,naive,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,58,96,454,0.9940999746322632
MNIST,naive,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,59,97,461,0.9941999912261963
MNIST,naive,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,60,98,469,0.9939000010490417
MNIST,naive,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,61,100,477,0.9944999814033508
MNIST,naive,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,62,101,485,0.9944000244140625
MNIST,naive,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,63,102,493,0.9944999814033508
MNIST,naive,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,64,103,500,0.9940000176429749
MNIST,naive,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,65,105,508,0.994700014591217
MNIST,naive,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,66,106,516,0.9944000244140625
MNIST,naive,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,67,107,524,0.9940000176429749
MNIST,naive,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,68,109,532,0.9944000244140625
MNIST,naive,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,69,110,540,0.9941999912261963
MNIST,naive,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,70,111,547,0.9941999912261963
MNIST,naive,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,71,112,555,0.9940000176429749
MNIST,naive,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,72,114,563,0.9941999912261963
MNIST,naive,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,73,115,571,0.9945999979972839
MNIST,naive,30,256,1,1.0,AdvancedCNN,2592202,-1,-1,74,116,579,0.9941999912261963
