dataset_name,bias,aggr_scheme,fda_name,num_clients,batch_size,num_steps_until_rtc_check,theta,nn_name,nn_num_weights,sketch_width,sketch_depth,epoch,total_rounds,total_fda_steps,accuracy
MNIST,,avg,naive,10,32,1,15.0,AdvancedCNN,2592202,,,1,"[16, 16, 15, 15, 16, 15, 12, 14, 17]",188,0.9778000116348267
MNIST,,avg,naive,10,32,1,15.0,AdvancedCNN,2592202,,,2,"[22, 24, 24, 26, 26, 24, 19, 22, 23]",375,0.9871000051498413
MNIST,,avg,naive,10,32,1,15.0,AdvancedCNN,2592202,,,3,"[29, 33, 33, 36, 36, 33, 26, 30, 29]",563,0.9897000193595886
MNIST,,avg,naive,10,32,1,15.0,AdvancedCNN,2592202,,,4,"[35, 41, 42, 46, 46, 42, 33, 37, 35]",750,0.992900013923645
MNIST,,avg,naive,10,32,1,15.0,AdvancedCNN,2592202,,,5,"[42, 50, 51, 56, 56, 50, 39, 45, 41]",938,0.9934999942779541
MNIST,,avg,naive,10,32,1,15.0,AdvancedCNN,2592202,,,6,"[50, 59, 60, 65, 66, 60, 47, 54, 47]",1125,0.9940999746322632
MNIST,,avg,naive,10,32,1,15.0,AdvancedCNN,2592202,,,7,"[57, 68, 69, 75, 77, 68, 54, 62, 52]",1313,0.9940999746322632
MNIST,,avg,naive,10,32,1,15.0,AdvancedCNN,2592202,,,8,"[65, 77, 78, 85, 87, 77, 61, 69, 58]",1500,0.9950000047683716
MNIST,,avg,naive,10,32,1,15.0,AdvancedCNN,2592202,,,9,"[73, 87, 87, 95, 97, 84, 67, 76, 63]",1688,0.9952999949455261
MNIST,,avg,naive,10,32,1,15.0,AdvancedCNN,2592202,,,10,"[82, 96, 96, 105, 106, 93, 73, 83, 69]",1875,0.9945999979972839
MNIST,,avg,naive,10,32,1,15.0,AdvancedCNN,2592202,,,11,"[89, 104, 105, 115, 116, 102, 81, 91, 74]",2063,0.9955999851226807
MNIST,,avg,naive,10,32,1,15.0,AdvancedCNN,2592202,,,12,"[96, 112, 113, 124, 126, 109, 86, 96, 80]",2250,0.9943000078201294
MNIST,,avg,naive,10,32,1,15.0,AdvancedCNN,2592202,,,13,"[104, 120, 122, 133, 135, 117, 92, 103, 85]",2438,0.9955000281333923
MNIST,,avg,naive,10,32,1,15.0,AdvancedCNN,2592202,,,14,"[112, 130, 132, 144, 146, 126, 98, 110, 91]",2625,0.9952999949455261
MNIST,,avg,naive,10,32,1,15.0,AdvancedCNN,2592202,,,15,"[122, 139, 141, 153, 156, 134, 104, 116, 97]",2813,0.9947999715805054
MNIST,,avg,naive,10,32,1,15.0,AdvancedCNN,2592202,,,16,"[130, 148, 151, 163, 166, 142, 110, 123, 104]",3000,0.9951000213623047
MNIST,,avg,naive,10,32,1,15.0,AdvancedCNN,2592202,,,17,"[139, 158, 160, 173, 175, 150, 116, 130, 110]",3188,0.9952999949455261
MNIST,,avg,naive,10,32,1,15.0,AdvancedCNN,2592202,,,18,"[148, 167, 170, 183, 186, 158, 123, 137, 116]",3375,0.9952999949455261
MNIST,,avg,naive,10,32,1,15.0,AdvancedCNN,2592202,,,19,"[157, 175, 178, 193, 195, 166, 128, 144, 122]",3563,0.9954000115394592
MNIST,,avg,naive,10,32,1,15.0,AdvancedCNN,2592202,,,20,"[165, 183, 187, 201, 204, 173, 133, 150, 128]",3750,0.9957000017166138
MNIST,,avg,naive,10,32,1,15.0,AdvancedCNN,2592202,,,21,"[173, 191, 195, 210, 214, 181, 139, 156, 134]",3938,0.9958999752998352
MNIST,,avg,naive,10,32,1,15.0,AdvancedCNN,2592202,,,22,"[183, 201, 206, 222, 225, 190, 145, 163, 142]",4125,0.9951000213623047
