dataset_name,bias,aggr_scheme,fda_name,num_clients,batch_size,num_steps_until_rtc_check,theta,nn_name,nn_num_weights,sketch_width,sketch_depth,epoch,total_rounds,total_fda_steps,accuracy,train_accuracy
MNIST,,avg,naive,10,32,1,90.0,AdvancedCNN,2592202,,,1,5,188,0.9567000269889832,0.934375
MNIST,,avg,naive,10,32,1,90.0,AdvancedCNN,2592202,,,2,6,375,0.9778000116348267,0.9375
MNIST,,avg,naive,10,32,1,90.0,AdvancedCNN,2592202,,,3,8,563,0.9865999817848206,0.96875
MNIST,,avg,naive,10,32,1,90.0,AdvancedCNN,2592202,,,4,9,750,0.9878000020980835,0.96875
MNIST,,avg,naive,10,32,1,90.0,AdvancedCNN,2592202,,,5,10,938,0.9901999831199646,0.96875
MNIST,,avg,naive,10,32,1,90.0,AdvancedCNN,2592202,,,6,12,1125,0.9902999997138977,0.9875
MNIST,,avg,naive,10,32,1,90.0,AdvancedCNN,2592202,,,7,13,1313,0.9922999739646912,0.98125
MNIST,,avg,naive,10,32,1,90.0,AdvancedCNN,2592202,,,8,14,1500,0.9919000267982483,0.99375
MNIST,,avg,naive,10,32,1,90.0,AdvancedCNN,2592202,,,9,15,1688,0.9926999807357788,0.978125
MNIST,,avg,naive,10,32,1,90.0,AdvancedCNN,2592202,,,10,16,1875,0.993399977684021,0.990625
MNIST,,avg,naive,10,32,1,90.0,AdvancedCNN,2592202,,,11,18,2063,0.993399977684021,0.99375
MNIST,,avg,naive,10,32,1,90.0,AdvancedCNN,2592202,,,12,19,2250,0.9944999814033508,0.99375
MNIST,,avg,naive,10,32,1,90.0,AdvancedCNN,2592202,,,13,20,2438,0.9944999814033508,0.9875
MNIST,,avg,naive,10,32,1,90.0,AdvancedCNN,2592202,,,14,21,2625,0.9944999814033508,0.984375
MNIST,,avg,naive,10,32,1,90.0,AdvancedCNN,2592202,,,15,23,2813,0.9940000176429749,1.0
MNIST,,avg,naive,10,32,1,90.0,AdvancedCNN,2592202,,,16,24,3000,0.9951000213623047,0.990625
MNIST,,avg,naive,10,32,1,90.0,AdvancedCNN,2592202,,,17,25,3188,0.9951000213623047,0.99375
MNIST,,avg,naive,10,32,1,90.0,AdvancedCNN,2592202,,,18,27,3375,0.995199978351593,1.0
