dataset_name,bias,aggr_scheme,fda_name,num_clients,batch_size,num_steps_until_rtc_check,theta,nn_name,nn_num_weights,sketch_width,sketch_depth,epoch,total_rounds,total_fda_steps,accuracy
MNIST,-1.0,avg,naive,25,32,1,30.0,AdvancedCNN,2592202,,,1,"[6, 5, 5, 5, 5, 5, 4, 5, 8]",75,0.7857000231742859
MNIST,-1.0,avg,naive,25,32,1,30.0,AdvancedCNN,2592202,,,2,"[8, 9, 8, 9, 9, 9, 7, 8, 12]",150,0.8791000247001648
MNIST,-1.0,avg,naive,25,32,1,30.0,AdvancedCNN,2592202,,,3,"[10, 11, 11, 11, 12, 11, 9, 11, 14]",225,0.9430000185966492
MNIST,-1.0,avg,naive,25,32,1,30.0,AdvancedCNN,2592202,,,4,"[12, 13, 14, 14, 14, 13, 11, 13, 16]",300,0.9692999720573425
MNIST,-1.0,avg,naive,25,32,1,30.0,AdvancedCNN,2592202,,,5,"[13, 15, 16, 16, 16, 15, 13, 15, 17]",375,0.9584000110626221
MNIST,-1.0,avg,naive,25,32,1,30.0,AdvancedCNN,2592202,,,6,"[14, 17, 18, 19, 19, 17, 14, 17, 19]",450,0.9771000146865845
MNIST,-1.0,avg,naive,25,32,1,30.0,AdvancedCNN,2592202,,,7,"[16, 19, 20, 21, 21, 19, 16, 19, 21]",525,0.9855999946594238
MNIST,-1.0,avg,naive,25,32,1,30.0,AdvancedCNN,2592202,,,8,"[17, 21, 23, 24, 23, 21, 17, 21, 23]",600,0.9785000085830688
MNIST,-1.0,avg,naive,25,32,1,30.0,AdvancedCNN,2592202,,,9,"[19, 23, 25, 26, 25, 23, 19, 22, 24]",675,0.9865000247955322
MNIST,-1.0,avg,naive,25,32,1,30.0,AdvancedCNN,2592202,,,10,"[20, 25, 27, 29, 28, 25, 21, 24, 26]",750,0.9835000038146973
MNIST,-1.0,avg,naive,25,32,1,30.0,AdvancedCNN,2592202,,,11,"[21, 27, 29, 31, 30, 27, 22, 26, 27]",825,0.9864000082015991
MNIST,-1.0,avg,naive,25,32,1,30.0,AdvancedCNN,2592202,,,12,"[23, 29, 31, 33, 32, 29, 24, 28, 29]",900,0.9909999966621399
MNIST,-1.0,avg,naive,25,32,1,30.0,AdvancedCNN,2592202,,,13,"[24, 31, 33, 36, 34, 31, 26, 30, 30]",975,0.989300012588501
MNIST,-1.0,avg,naive,25,32,1,30.0,AdvancedCNN,2592202,,,14,"[26, 32, 35, 38, 37, 33, 27, 31, 32]",1050,0.9898999929428101
MNIST,-1.0,avg,naive,25,32,1,30.0,AdvancedCNN,2592202,,,15,"[27, 34, 38, 40, 39, 35, 29, 33, 33]",1125,0.9921000003814697
MNIST,-1.0,avg,naive,25,32,1,30.0,AdvancedCNN,2592202,,,16,"[29, 36, 40, 43, 42, 37, 31, 35, 35]",1200,0.9916999936103821
MNIST,-1.0,avg,naive,25,32,1,30.0,AdvancedCNN,2592202,,,17,"[31, 38, 42, 45, 44, 40, 32, 37, 36]",1275,0.9912999868392944
MNIST,-1.0,avg,naive,25,32,1,30.0,AdvancedCNN,2592202,,,18,"[32, 40, 44, 47, 46, 42, 34, 38, 38]",1350,0.9921000003814697
MNIST,-1.0,avg,naive,25,32,1,30.0,AdvancedCNN,2592202,,,19,"[34, 42, 46, 50, 49, 44, 36, 40, 39]",1425,0.9923999905586243
MNIST,-1.0,avg,naive,25,32,1,30.0,AdvancedCNN,2592202,,,20,"[35, 43, 48, 52, 51, 45, 37, 42, 41]",1500,0.9925000071525574
MNIST,-1.0,avg,naive,25,32,1,30.0,AdvancedCNN,2592202,,,21,"[36, 45, 50, 54, 53, 47, 39, 44, 42]",1575,0.9932000041007996
MNIST,-1.0,avg,naive,25,32,1,30.0,AdvancedCNN,2592202,,,22,"[38, 47, 52, 56, 55, 49, 40, 45, 43]",1650,0.9926000237464905
MNIST,-1.0,avg,naive,25,32,1,30.0,AdvancedCNN,2592202,,,23,"[40, 49, 54, 59, 58, 52, 42, 47, 45]",1725,0.9944999814033508
MNIST,-1.0,avg,naive,25,32,1,30.0,AdvancedCNN,2592202,,,24,"[41, 51, 56, 61, 60, 53, 43, 48, 46]",1800,0.9943000078201294
MNIST,-1.0,avg,naive,25,32,1,30.0,AdvancedCNN,2592202,,,25,"[43, 53, 58, 63, 63, 55, 45, 50, 47]",1875,0.9937000274658203
MNIST,-1.0,avg,naive,25,32,1,30.0,AdvancedCNN,2592202,,,26,"[44, 55, 60, 66, 66, 57, 46, 52, 49]",1950,0.9940999746322632
MNIST,-1.0,avg,naive,25,32,1,30.0,AdvancedCNN,2592202,,,27,"[46, 56, 62, 68, 68, 60, 48, 53, 50]",2025,0.9933000206947327
MNIST,-1.0,avg,naive,25,32,1,30.0,AdvancedCNN,2592202,,,28,"[48, 58, 64, 70, 70, 62, 49, 55, 52]",2100,0.9941999912261963
MNIST,-1.0,avg,naive,25,32,1,30.0,AdvancedCNN,2592202,,,29,"[49, 60, 66, 73, 73, 64, 51, 57, 53]",2175,0.9947999715805054
MNIST,-1.0,avg,naive,25,32,1,30.0,AdvancedCNN,2592202,,,30,"[51, 62, 68, 75, 75, 65, 52, 58, 54]",2250,0.9950000047683716
MNIST,-1.0,avg,naive,25,32,1,30.0,AdvancedCNN,2592202,,,31,"[53, 64, 70, 77, 78, 67, 54, 60, 56]",2325,0.9945999979972839
MNIST,-1.0,avg,naive,25,32,1,30.0,AdvancedCNN,2592202,,,32,"[54, 66, 72, 80, 80, 69, 55, 61, 57]",2400,0.9941999912261963
MNIST,-1.0,avg,naive,25,32,1,30.0,AdvancedCNN,2592202,,,33,"[56, 67, 74, 82, 82, 71, 56, 63, 58]",2475,0.9947999715805054
MNIST,-1.0,avg,naive,25,32,1,30.0,AdvancedCNN,2592202,,,34,"[58, 69, 76, 84, 85, 73, 58, 64, 59]",2550,0.9943000078201294
MNIST,-1.0,avg,naive,25,32,1,30.0,AdvancedCNN,2592202,,,35,"[59, 70, 78, 86, 87, 75, 59, 66, 61]",2625,0.9945999979972839
