dataset_name,bias,fda_name,num_clients,batch_size,num_steps_until_rtc_check,theta,nn_name,nn_num_weights,sketch_width,sketch_depth,epoch,total_rounds,total_fda_steps,accuracy
MNIST,0.9,naive,55,32,1,30.0,AdvancedCNN,2592202,,,1,2,35,0.10689999908208847
MNIST,0.9,naive,55,32,1,30.0,AdvancedCNN,2592202,,,2,3,69,0.10350000113248825
MNIST,0.9,naive,55,32,1,30.0,AdvancedCNN,2592202,,,3,4,103,0.11349999904632568
MNIST,0.9,naive,55,32,1,30.0,AdvancedCNN,2592202,,,4,5,137,0.21089999377727509
MNIST,0.9,naive,55,32,1,30.0,AdvancedCNN,2592202,,,5,6,171,0.10320000350475311
MNIST,0.9,naive,55,32,1,30.0,AdvancedCNN,2592202,,,6,7,205,0.10320000350475311
MNIST,0.9,naive,55,32,1,30.0,AdvancedCNN,2592202,,,7,8,239,0.0982000008225441
MNIST,0.9,naive,55,32,1,30.0,AdvancedCNN,2592202,,,8,9,273,0.0982000008225441
MNIST,0.9,naive,55,32,1,30.0,AdvancedCNN,2592202,,,9,11,307,0.1808999925851822
MNIST,0.9,naive,55,32,1,30.0,AdvancedCNN,2592202,,,10,13,341,0.32179999351501465
MNIST,0.9,naive,55,32,1,30.0,AdvancedCNN,2592202,,,11,15,376,0.5922999978065491
MNIST,0.9,naive,55,32,1,30.0,AdvancedCNN,2592202,,,12,19,410,0.7437999844551086
MNIST,0.9,naive,55,32,1,30.0,AdvancedCNN,2592202,,,13,21,444,0.821399986743927
MNIST,0.9,naive,55,32,1,30.0,AdvancedCNN,2592202,,,14,23,478,0.8779000043869019
MNIST,0.9,naive,55,32,1,30.0,AdvancedCNN,2592202,,,15,24,512,0.8996000289916992
MNIST,0.9,naive,55,32,1,30.0,AdvancedCNN,2592202,,,16,26,546,0.921999990940094
MNIST,0.9,naive,55,32,1,30.0,AdvancedCNN,2592202,,,17,27,580,0.9334999918937683
MNIST,0.9,naive,55,32,1,30.0,AdvancedCNN,2592202,,,18,29,614,0.9406999945640564
MNIST,0.9,naive,55,32,1,30.0,AdvancedCNN,2592202,,,19,30,648,0.9465000033378601
MNIST,0.9,naive,55,32,1,30.0,AdvancedCNN,2592202,,,20,31,682,0.9506000280380249
MNIST,0.9,naive,55,32,1,30.0,AdvancedCNN,2592202,,,21,33,716,0.9546999931335449
MNIST,0.9,naive,55,32,1,30.0,AdvancedCNN,2592202,,,22,34,751,0.9603000283241272
MNIST,0.9,naive,55,32,1,30.0,AdvancedCNN,2592202,,,23,35,785,0.9621999859809875
MNIST,0.9,naive,55,32,1,30.0,AdvancedCNN,2592202,,,24,36,819,0.9642999768257141
MNIST,0.9,naive,55,32,1,30.0,AdvancedCNN,2592202,,,25,37,853,0.9653000235557556
MNIST,0.9,naive,55,32,1,30.0,AdvancedCNN,2592202,,,26,38,887,0.9679999947547913
MNIST,0.9,naive,55,32,1,30.0,AdvancedCNN,2592202,,,27,39,921,0.9697999954223633
MNIST,0.9,naive,55,32,1,30.0,AdvancedCNN,2592202,,,28,40,955,0.9721999764442444
MNIST,0.9,naive,55,32,1,30.0,AdvancedCNN,2592202,,,29,42,989,0.9718999862670898
MNIST,0.9,naive,55,32,1,30.0,AdvancedCNN,2592202,,,30,43,1023,0.9732000231742859
