dataset_name,bias,aggr_scheme,fda_name,num_clients,batch_size,num_steps_until_rtc_check,theta,nn_name,nn_num_weights,sketch_width,sketch_depth,epoch,total_rounds,total_fda_steps,accuracy,train_accuracy
MNIST,-1.0,avg,naive,5,32,1,25.0,AdvancedCNN,2592202,,,1,15,375,0.9815999865531921,0.96875
MNIST,-1.0,avg,naive,5,32,1,25.0,AdvancedCNN,2592202,,,2,25,750,0.9886999726295471,0.98125
MNIST,-1.0,avg,naive,5,32,1,25.0,AdvancedCNN,2592202,,,3,34,1125,0.9904000163078308,0.98125
MNIST,-1.0,avg,naive,5,32,1,25.0,AdvancedCNN,2592202,,,4,43,1500,0.9926999807357788,0.975
MNIST,-1.0,avg,naive,5,32,1,25.0,AdvancedCNN,2592202,,,5,53,1875,0.9933000206947327,0.975
MNIST,-1.0,avg,naive,5,32,1,25.0,AdvancedCNN,2592202,,,6,62,2250,0.9944000244140625,1.0
MNIST,-1.0,avg,naive,5,32,1,25.0,AdvancedCNN,2592202,,,7,71,2625,0.9944999814033508,0.9875
MNIST,-1.0,avg,naive,5,32,1,25.0,AdvancedCNN,2592202,,,8,80,3000,0.9926999807357788,1.0
MNIST,-1.0,avg,naive,5,32,1,25.0,AdvancedCNN,2592202,,,9,89,3375,0.9944999814033508,0.99375
MNIST,-1.0,avg,naive,5,32,1,25.0,AdvancedCNN,2592202,,,10,98,3750,0.9937999844551086,0.9875
MNIST,-1.0,avg,naive,5,32,1,25.0,AdvancedCNN,2592202,,,11,107,4125,0.995199978351593,1.0
MNIST,-1.0,avg,naive,5,32,1,25.0,AdvancedCNN,2592202,,,12,117,4500,0.9950000047683716,1.0
MNIST,-1.0,avg,naive,5,32,1,25.0,AdvancedCNN,2592202,,,13,127,4875,0.9947999715805054,0.99375
MNIST,-1.0,avg,naive,5,32,1,25.0,AdvancedCNN,2592202,,,14,137,5250,0.9943000078201294,1.0
MNIST,-1.0,avg,naive,5,32,1,25.0,AdvancedCNN,2592202,,,15,145,5625,0.9941999912261963,1.0
MNIST,-1.0,avg,naive,5,32,1,25.0,AdvancedCNN,2592202,,,16,154,6000,0.9944000244140625,0.99375
MNIST,-1.0,avg,naive,5,32,1,25.0,AdvancedCNN,2592202,,,17,164,6375,0.9943000078201294,1.0
MNIST,-1.0,avg,naive,5,32,1,25.0,AdvancedCNN,2592202,,,18,172,6750,0.9947999715805054,0.99375
MNIST,-1.0,avg,naive,5,32,1,25.0,AdvancedCNN,2592202,,,19,183,7125,0.9947999715805054,1.0
MNIST,-1.0,avg,naive,5,32,1,25.0,AdvancedCNN,2592202,,,20,192,7500,0.9951000213623047,1.0
MNIST,-1.0,avg,naive,5,32,1,25.0,AdvancedCNN,2592202,,,21,202,7875,0.9952999949455261,1.0
MNIST,-1.0,avg,naive,5,32,1,25.0,AdvancedCNN,2592202,,,22,209,8250,0.9951000213623047,0.99375
MNIST,-1.0,avg,naive,5,32,1,25.0,AdvancedCNN,2592202,,,23,220,8625,0.9943000078201294,1.0
MNIST,-1.0,avg,naive,5,32,1,25.0,AdvancedCNN,2592202,,,24,229,9000,0.9934999942779541,1.0
MNIST,-1.0,avg,naive,5,32,1,25.0,AdvancedCNN,2592202,,,25,238,9375,0.9945999979972839,1.0
MNIST,-1.0,avg,naive,5,32,1,25.0,AdvancedCNN,2592202,,,26,246,9750,0.9947999715805054,1.0
MNIST,-1.0,avg,naive,5,32,1,25.0,AdvancedCNN,2592202,,,27,256,10125,0.9950000047683716,1.0
MNIST,-1.0,avg,naive,5,32,1,25.0,AdvancedCNN,2592202,,,28,265,10500,0.9951000213623047,1.0
MNIST,-1.0,avg,naive,5,32,1,25.0,AdvancedCNN,2592202,,,29,275,10875,0.995199978351593,1.0
MNIST,-1.0,avg,naive,5,32,1,25.0,AdvancedCNN,2592202,,,30,282,11250,0.9951000213623047,1.0
MNIST,-1.0,avg,naive,5,32,1,25.0,AdvancedCNN,2592202,,,31,290,11625,0.995199978351593,1.0
MNIST,-1.0,avg,naive,5,32,1,25.0,AdvancedCNN,2592202,,,32,295,12000,0.9948999881744385,0.99375
MNIST,-1.0,avg,naive,5,32,1,25.0,AdvancedCNN,2592202,,,33,305,12375,0.9950000047683716,1.0
MNIST,-1.0,avg,naive,5,32,1,25.0,AdvancedCNN,2592202,,,34,314,12750,0.9954000115394592,0.99375
MNIST,-1.0,avg,naive,5,32,1,25.0,AdvancedCNN,2592202,,,35,323,13125,0.9958999752998352,0.99375
MNIST,-1.0,avg,naive,5,32,1,25.0,AdvancedCNN,2592202,,,36,330,13500,0.9940999746322632,1.0
MNIST,-1.0,avg,naive,5,32,1,25.0,AdvancedCNN,2592202,,,37,340,13875,0.9940999746322632,1.0
