dataset_name,fda_name,num_clients,batch_size,num_steps_until_rtc_check,theta,nn_name,nn_num_weights,sketch_width,sketch_depth,epoch,total_rounds,total_fda_steps,accuracy
MNIST,sketch,40,128,1,0.5,AdvancedCNN,2592202,250,5,1,8,12,0.833899974822998
MNIST,sketch,40,128,1,0.5,AdvancedCNN,2592202,250,5,2,13,24,0.9381999969482422
MNIST,sketch,40,128,1,0.5,AdvancedCNN,2592202,250,5,3,17,36,0.9587000012397766
MNIST,sketch,40,128,1,0.5,AdvancedCNN,2592202,250,5,4,21,47,0.9674000144004822
MNIST,sketch,40,128,1,0.5,AdvancedCNN,2592202,250,5,5,25,59,0.9757000207901001
MNIST,sketch,40,128,1,0.5,AdvancedCNN,2592202,250,5,6,29,71,0.9799000024795532
MNIST,sketch,40,128,1,0.5,AdvancedCNN,2592202,250,5,7,33,83,0.9818000197410583
MNIST,sketch,40,128,1,0.5,AdvancedCNN,2592202,250,5,8,37,94,0.9843000173568726
MNIST,sketch,40,128,1,0.5,AdvancedCNN,2592202,250,5,9,41,106,0.9865999817848206
MNIST,sketch,40,128,1,0.5,AdvancedCNN,2592202,250,5,10,45,118,0.9872999787330627
MNIST,sketch,40,128,1,0.5,AdvancedCNN,2592202,250,5,11,48,129,0.9883000254631042
MNIST,sketch,40,128,1,0.5,AdvancedCNN,2592202,250,5,12,52,141,0.989799976348877
MNIST,sketch,40,128,1,0.5,AdvancedCNN,2592202,250,5,13,56,153,0.9901000261306763
MNIST,sketch,40,128,1,0.5,AdvancedCNN,2592202,250,5,14,60,165,0.9909999966621399
MNIST,sketch,40,128,1,0.5,AdvancedCNN,2592202,250,5,15,64,176,0.9915000200271606
MNIST,sketch,40,128,1,0.5,AdvancedCNN,2592202,250,5,16,68,188,0.9916999936103821
MNIST,sketch,40,128,1,0.5,AdvancedCNN,2592202,250,5,17,72,200,0.9922999739646912
MNIST,sketch,40,128,1,0.5,AdvancedCNN,2592202,250,5,18,75,211,0.991599977016449
MNIST,sketch,40,128,1,0.5,AdvancedCNN,2592202,250,5,19,78,223,0.9922999739646912
MNIST,sketch,40,128,1,0.5,AdvancedCNN,2592202,250,5,20,82,235,0.9925000071525574
MNIST,sketch,40,128,1,0.5,AdvancedCNN,2592202,250,5,21,85,247,0.9922999739646912
MNIST,sketch,40,128,1,0.5,AdvancedCNN,2592202,250,5,22,88,258,0.9926000237464905
MNIST,sketch,40,128,1,0.5,AdvancedCNN,2592202,250,5,23,91,270,0.9926000237464905
MNIST,sketch,40,128,1,0.5,AdvancedCNN,2592202,250,5,24,94,282,0.9927999973297119
MNIST,sketch,40,128,1,0.5,AdvancedCNN,2592202,250,5,25,97,293,0.9926999807357788
MNIST,sketch,40,128,1,0.5,AdvancedCNN,2592202,250,5,26,100,305,0.9929999709129333
MNIST,sketch,40,128,1,0.5,AdvancedCNN,2592202,250,5,27,103,317,0.9926000237464905
MNIST,sketch,40,128,1,0.5,AdvancedCNN,2592202,250,5,28,106,329,0.9933000206947327
MNIST,sketch,40,128,1,0.5,AdvancedCNN,2592202,250,5,29,109,340,0.992900013923645
MNIST,sketch,40,128,1,0.5,AdvancedCNN,2592202,250,5,30,112,352,0.993399977684021
MNIST,sketch,40,128,1,0.5,AdvancedCNN,2592202,250,5,31,115,364,0.9932000041007996
MNIST,sketch,40,128,1,0.5,AdvancedCNN,2592202,250,5,32,117,375,0.9930999875068665
MNIST,sketch,40,128,1,0.5,AdvancedCNN,2592202,250,5,33,120,387,0.9933000206947327
MNIST,sketch,40,128,1,0.5,AdvancedCNN,2592202,250,5,34,123,399,0.993399977684021
MNIST,sketch,40,128,1,0.5,AdvancedCNN,2592202,250,5,35,126,411,0.9932000041007996
MNIST,sketch,40,128,1,0.5,AdvancedCNN,2592202,250,5,36,129,422,0.993399977684021
MNIST,sketch,40,128,1,0.5,AdvancedCNN,2592202,250,5,37,132,434,0.9936000108718872
MNIST,sketch,40,128,1,0.5,AdvancedCNN,2592202,250,5,38,135,446,0.9937000274658203
MNIST,sketch,40,128,1,0.5,AdvancedCNN,2592202,250,5,39,138,458,0.9932000041007996
MNIST,sketch,40,128,1,0.5,AdvancedCNN,2592202,250,5,40,141,469,0.993399977684021
MNIST,sketch,40,128,1,0.5,AdvancedCNN,2592202,250,5,41,144,481,0.993399977684021
MNIST,sketch,40,128,1,0.5,AdvancedCNN,2592202,250,5,42,147,493,0.9932000041007996
MNIST,sketch,40,128,1,0.5,AdvancedCNN,2592202,250,5,43,150,504,0.9941999912261963
MNIST,sketch,40,128,1,0.5,AdvancedCNN,2592202,250,5,44,153,516,0.9936000108718872
MNIST,sketch,40,128,1,0.5,AdvancedCNN,2592202,250,5,45,156,528,0.9939000010490417
MNIST,sketch,40,128,1,0.5,AdvancedCNN,2592202,250,5,46,159,540,0.9937000274658203
MNIST,sketch,40,128,1,0.5,AdvancedCNN,2592202,250,5,47,161,551,0.9940000176429749
