dataset_name,bias,aggr_scheme,fda_name,num_clients,batch_size,num_steps_until_rtc_check,theta,nn_name,nn_num_weights,sketch_width,sketch_depth,epoch,total_rounds,total_fda_steps,accuracy,train_accuracy
MNIST,-2.0,avg,sketch,35,32,1,25.0,AdvancedCNN,2592202,250,5,1,4,54,0.691100001335144,0.625
MNIST,-2.0,avg,sketch,35,32,1,25.0,AdvancedCNN,2592202,250,5,2,6,108,0.8697999715805054,0.91964287
MNIST,-2.0,avg,sketch,35,32,1,25.0,AdvancedCNN,2592202,250,5,3,8,161,0.9248999953269958,0.9482143
MNIST,-2.0,avg,sketch,35,32,1,25.0,AdvancedCNN,2592202,250,5,4,10,215,0.9502999782562256,0.9696429
MNIST,-2.0,avg,sketch,35,32,1,25.0,AdvancedCNN,2592202,250,5,5,11,268,0.9524000287055969,0.98125
MNIST,-2.0,avg,sketch,35,32,1,25.0,AdvancedCNN,2592202,250,5,6,13,322,0.9695000052452087,0.98125
MNIST,-2.0,avg,sketch,35,32,1,25.0,AdvancedCNN,2592202,250,5,7,14,375,0.9661999940872192,0.97321427
MNIST,-2.0,avg,sketch,35,32,1,25.0,AdvancedCNN,2592202,250,5,8,16,429,0.9782999753952026,0.98125
MNIST,-2.0,avg,sketch,35,32,1,25.0,AdvancedCNN,2592202,250,5,9,17,483,0.9682999849319458,0.9767857
MNIST,-2.0,avg,sketch,35,32,1,25.0,AdvancedCNN,2592202,250,5,10,19,536,0.9782999753952026,0.98214287
MNIST,-2.0,avg,sketch,35,32,1,25.0,AdvancedCNN,2592202,250,5,11,21,590,0.9829000234603882,0.98660713
MNIST,-2.0,avg,sketch,35,32,1,25.0,AdvancedCNN,2592202,250,5,12,22,643,0.9832000136375427,0.98303574
MNIST,-2.0,avg,sketch,35,32,1,25.0,AdvancedCNN,2592202,250,5,13,24,697,0.9853000044822693,0.98214287
MNIST,-2.0,avg,sketch,35,32,1,25.0,AdvancedCNN,2592202,250,5,14,25,750,0.9815999865531921,0.98035717
MNIST,-2.0,avg,sketch,35,32,1,25.0,AdvancedCNN,2592202,250,5,15,27,804,0.9861999750137329,0.9901786
MNIST,-2.0,avg,sketch,35,32,1,25.0,AdvancedCNN,2592202,250,5,16,29,858,0.9884999990463257,0.98571426
MNIST,-2.0,avg,sketch,35,32,1,25.0,AdvancedCNN,2592202,250,5,17,30,911,0.9864000082015991,0.98392856
MNIST,-2.0,avg,sketch,35,32,1,25.0,AdvancedCNN,2592202,250,5,18,32,965,0.9891999959945679,0.9910714
MNIST,-2.0,avg,sketch,35,32,1,25.0,AdvancedCNN,2592202,250,5,19,34,1018,0.9901000261306763,0.9910714
MNIST,-2.0,avg,sketch,35,32,1,25.0,AdvancedCNN,2592202,250,5,20,35,1072,0.9879000186920166,0.9892857
MNIST,-2.0,avg,sketch,35,32,1,25.0,AdvancedCNN,2592202,250,5,21,37,1125,0.9904000163078308,0.9901786
MNIST,-2.0,avg,sketch,35,32,1,25.0,AdvancedCNN,2592202,250,5,22,39,1179,0.9898999929428101,0.96160716
MNIST,-2.0,avg,sketch,35,32,1,25.0,AdvancedCNN,2592202,250,5,23,40,1233,0.9909999966621399,0.9892857
MNIST,-2.0,avg,sketch,35,32,1,25.0,AdvancedCNN,2592202,250,5,24,42,1286,0.9915000200271606,0.9901786
MNIST,-2.0,avg,sketch,35,32,1,25.0,AdvancedCNN,2592202,250,5,25,43,1340,0.9891999959945679,0.98660713
MNIST,-2.0,avg,sketch,35,32,1,25.0,AdvancedCNN,2592202,250,5,26,45,1393,0.9919999837875366,0.99464285
MNIST,-2.0,avg,sketch,35,32,1,25.0,AdvancedCNN,2592202,250,5,27,47,1447,0.9912999868392944,0.9901786
MNIST,-2.0,avg,sketch,35,32,1,25.0,AdvancedCNN,2592202,250,5,28,48,1500,0.9914000034332275,0.99553573
MNIST,-2.0,avg,sketch,35,32,1,25.0,AdvancedCNN,2592202,250,5,29,50,1554,0.9922999739646912,0.99464285
MNIST,-2.0,avg,sketch,35,32,1,25.0,AdvancedCNN,2592202,250,5,30,52,1608,0.9930999875068665,0.96339285
MNIST,-2.0,avg,sketch,35,32,1,25.0,AdvancedCNN,2592202,250,5,31,53,1661,0.9926999807357788,0.9973214
MNIST,-2.0,avg,sketch,35,32,1,25.0,AdvancedCNN,2592202,250,5,32,55,1715,0.9930999875068665,0.9991071
MNIST,-2.0,avg,sketch,35,32,1,25.0,AdvancedCNN,2592202,250,5,33,56,1768,0.9934999942779541,0.9973214
MNIST,-2.0,avg,sketch,35,32,1,25.0,AdvancedCNN,2592202,250,5,34,58,1822,0.9937999844551086,0.99642855
