dataset_name,bias,aggr_scheme,fda_name,num_clients,batch_size,num_steps_until_rtc_check,theta,nn_name,nn_num_weights,sketch_width,sketch_depth,epoch,total_rounds,total_fda_steps,accuracy
MNIST,,wavg_drifts,sketch,40,32,1,30.0,AdvancedCNN,2592202,250,5,1,2,47,0.11349999904632568
MNIST,,wavg_drifts,sketch,40,32,1,30.0,AdvancedCNN,2592202,250,5,2,3,94,0.11349999904632568
MNIST,,wavg_drifts,sketch,40,32,1,30.0,AdvancedCNN,2592202,250,5,3,5,141,0.8611000180244446
MNIST,,wavg_drifts,sketch,40,32,1,30.0,AdvancedCNN,2592202,250,5,4,8,188,0.9559000134468079
MNIST,,wavg_drifts,sketch,40,32,1,30.0,AdvancedCNN,2592202,250,5,5,10,235,0.9692999720573425
MNIST,,wavg_drifts,sketch,40,32,1,30.0,AdvancedCNN,2592202,250,5,6,12,282,0.9768000245094299
MNIST,,wavg_drifts,sketch,40,32,1,30.0,AdvancedCNN,2592202,250,5,7,13,329,0.9815000295639038
MNIST,,wavg_drifts,sketch,40,32,1,30.0,AdvancedCNN,2592202,250,5,8,15,375,0.9839000105857849
MNIST,,wavg_drifts,sketch,40,32,1,30.0,AdvancedCNN,2592202,250,5,9,16,422,0.9854999780654907
MNIST,,wavg_drifts,sketch,40,32,1,30.0,AdvancedCNN,2592202,250,5,10,18,469,0.986299991607666
MNIST,,wavg_drifts,sketch,40,32,1,30.0,AdvancedCNN,2592202,250,5,11,19,516,0.9873999953269958
MNIST,,wavg_drifts,sketch,40,32,1,30.0,AdvancedCNN,2592202,250,5,12,20,563,0.9883999824523926
MNIST,,wavg_drifts,sketch,40,32,1,30.0,AdvancedCNN,2592202,250,5,13,21,610,0.9894000291824341
MNIST,,wavg_drifts,sketch,40,32,1,30.0,AdvancedCNN,2592202,250,5,14,23,657,0.989799976348877
MNIST,,wavg_drifts,sketch,40,32,1,30.0,AdvancedCNN,2592202,250,5,15,24,704,0.9902999997138977
MNIST,,wavg_drifts,sketch,40,32,1,30.0,AdvancedCNN,2592202,250,5,16,25,750,0.9904999732971191
MNIST,,wavg_drifts,sketch,40,32,1,30.0,AdvancedCNN,2592202,250,5,17,27,797,0.9902999997138977
MNIST,,wavg_drifts,sketch,40,32,1,30.0,AdvancedCNN,2592202,250,5,18,28,844,0.9914000034332275
MNIST,,wavg_drifts,sketch,40,32,1,30.0,AdvancedCNN,2592202,250,5,19,29,891,0.9922000169754028
MNIST,,wavg_drifts,sketch,40,32,1,30.0,AdvancedCNN,2592202,250,5,20,31,938,0.9922999739646912
MNIST,,wavg_drifts,sketch,40,32,1,30.0,AdvancedCNN,2592202,250,5,21,32,985,0.9925000071525574
MNIST,,wavg_drifts,sketch,40,32,1,30.0,AdvancedCNN,2592202,250,5,22,34,1032,0.9927999973297119
MNIST,,wavg_drifts,sketch,40,32,1,30.0,AdvancedCNN,2592202,250,5,23,35,1079,0.9927999973297119
MNIST,,wavg_drifts,sketch,40,32,1,30.0,AdvancedCNN,2592202,250,5,24,36,1125,0.9930999875068665
MNIST,,wavg_drifts,sketch,40,32,1,30.0,AdvancedCNN,2592202,250,5,25,38,1172,0.9937000274658203
MNIST,,wavg_drifts,sketch,40,32,1,30.0,AdvancedCNN,2592202,250,5,26,40,1219,0.9940000176429749
MNIST,,wavg_drifts,sketch,40,32,1,30.0,AdvancedCNN,2592202,250,5,27,42,1266,0.9940000176429749
MNIST,,wavg_drifts,sketch,40,32,1,30.0,AdvancedCNN,2592202,250,5,28,43,1313,0.9937999844551086
MNIST,,wavg_drifts,sketch,40,32,1,30.0,AdvancedCNN,2592202,250,5,29,45,1360,0.9934999942779541
MNIST,,wavg_drifts,sketch,40,32,1,30.0,AdvancedCNN,2592202,250,5,30,46,1407,0.9933000206947327
MNIST,,wavg_drifts,sketch,40,32,1,30.0,AdvancedCNN,2592202,250,5,31,47,1454,0.9937999844551086
MNIST,,wavg_drifts,sketch,40,32,1,30.0,AdvancedCNN,2592202,250,5,32,49,1500,0.9937999844551086
MNIST,,wavg_drifts,sketch,40,32,1,30.0,AdvancedCNN,2592202,250,5,33,50,1547,0.9937999844551086
MNIST,,wavg_drifts,sketch,40,32,1,30.0,AdvancedCNN,2592202,250,5,34,51,1594,0.9940000176429749
MNIST,,wavg_drifts,sketch,40,32,1,30.0,AdvancedCNN,2592202,250,5,35,53,1641,0.9944000244140625
MNIST,,wavg_drifts,sketch,40,32,1,30.0,AdvancedCNN,2592202,250,5,36,54,1688,0.9944999814033508
MNIST,,wavg_drifts,sketch,40,32,1,30.0,AdvancedCNN,2592202,250,5,37,55,1735,0.9944000244140625
MNIST,,wavg_drifts,sketch,40,32,1,30.0,AdvancedCNN,2592202,250,5,38,56,1782,0.9937000274658203
MNIST,,wavg_drifts,sketch,40,32,1,30.0,AdvancedCNN,2592202,250,5,39,58,1829,0.9945999979972839
MNIST,,wavg_drifts,sketch,40,32,1,30.0,AdvancedCNN,2592202,250,5,40,59,1875,0.9939000010490417
MNIST,,wavg_drifts,sketch,40,32,1,30.0,AdvancedCNN,2592202,250,5,41,61,1922,0.994700014591217
MNIST,,wavg_drifts,sketch,40,32,1,30.0,AdvancedCNN,2592202,250,5,42,62,1969,0.9945999979972839
MNIST,,wavg_drifts,sketch,40,32,1,30.0,AdvancedCNN,2592202,250,5,43,63,2016,0.9947999715805054
MNIST,,wavg_drifts,sketch,40,32,1,30.0,AdvancedCNN,2592202,250,5,44,65,2063,0.9950000047683716
MNIST,,wavg_drifts,sketch,40,32,1,30.0,AdvancedCNN,2592202,250,5,45,66,2110,0.9947999715805054
MNIST,,wavg_drifts,sketch,40,32,1,30.0,AdvancedCNN,2592202,250,5,46,67,2157,0.9948999881744385
MNIST,,wavg_drifts,sketch,40,32,1,30.0,AdvancedCNN,2592202,250,5,47,68,2204,0.9945999979972839
MNIST,,wavg_drifts,sketch,40,32,1,30.0,AdvancedCNN,2592202,250,5,48,70,2250,0.9944000244140625
MNIST,,wavg_drifts,sketch,40,32,1,30.0,AdvancedCNN,2592202,250,5,49,71,2297,0.9945999979972839
MNIST,,wavg_drifts,sketch,40,32,1,30.0,AdvancedCNN,2592202,250,5,50,72,2344,0.9948999881744385
MNIST,,wavg_drifts,sketch,40,32,1,30.0,AdvancedCNN,2592202,250,5,51,74,2391,0.9951000213623047
MNIST,,wavg_drifts,sketch,40,32,1,30.0,AdvancedCNN,2592202,250,5,52,75,2438,0.995199978351593
MNIST,,wavg_drifts,sketch,40,32,1,30.0,AdvancedCNN,2592202,250,5,53,76,2485,0.994700014591217
MNIST,,wavg_drifts,sketch,40,32,1,30.0,AdvancedCNN,2592202,250,5,54,77,2532,0.9955000281333923
MNIST,,wavg_drifts,sketch,40,32,1,30.0,AdvancedCNN,2592202,250,5,55,79,2579,0.9948999881744385
MNIST,,wavg_drifts,sketch,40,32,1,30.0,AdvancedCNN,2592202,250,5,56,80,2625,0.9948999881744385
MNIST,,wavg_drifts,sketch,40,32,1,30.0,AdvancedCNN,2592202,250,5,57,81,2672,0.9954000115394592
MNIST,,wavg_drifts,sketch,40,32,1,30.0,AdvancedCNN,2592202,250,5,58,82,2719,0.9954000115394592
MNIST,,wavg_drifts,sketch,40,32,1,30.0,AdvancedCNN,2592202,250,5,59,83,2766,0.9959999918937683
MNIST,,wavg_drifts,sketch,40,32,1,30.0,AdvancedCNN,2592202,250,5,60,84,2813,0.995199978351593
MNIST,,wavg_drifts,sketch,40,32,1,30.0,AdvancedCNN,2592202,250,5,61,86,2860,0.9950000047683716
MNIST,,wavg_drifts,sketch,40,32,1,30.0,AdvancedCNN,2592202,250,5,62,87,2907,0.9950000047683716
MNIST,,wavg_drifts,sketch,40,32,1,30.0,AdvancedCNN,2592202,250,5,63,88,2954,0.995199978351593
MNIST,,wavg_drifts,sketch,40,32,1,30.0,AdvancedCNN,2592202,250,5,64,89,3000,0.9951000213623047
MNIST,,wavg_drifts,sketch,40,32,1,30.0,AdvancedCNN,2592202,250,5,65,90,3047,0.9948999881744385
MNIST,,wavg_drifts,sketch,40,32,1,30.0,AdvancedCNN,2592202,250,5,66,91,3094,0.9951000213623047
