dataset_name,bias,fda_name,num_clients,batch_size,num_steps_until_rtc_check,theta,nn_name,nn_num_weights,sketch_width,sketch_depth,epoch,total_rounds,total_fda_steps,accuracy
MNIST,,sketch,5,32,1,50.0,AdvancedCNN,2592202,250,5,1,7,375,0.972000002861023
MNIST,,sketch,5,32,1,50.0,AdvancedCNN,2592202,250,5,2,11,750,0.9865999817848206
MNIST,,sketch,5,32,1,50.0,AdvancedCNN,2592202,250,5,3,14,1125,0.9901000261306763
MNIST,,sketch,5,32,1,50.0,AdvancedCNN,2592202,250,5,4,17,1500,0.9909999966621399
MNIST,,sketch,5,32,1,50.0,AdvancedCNN,2592202,250,5,5,20,1875,0.9927999973297119
MNIST,,sketch,5,32,1,50.0,AdvancedCNN,2592202,250,5,6,23,2250,0.9934999942779541
MNIST,,sketch,5,32,1,50.0,AdvancedCNN,2592202,250,5,7,27,2625,0.9941999912261963
MNIST,,sketch,5,32,1,50.0,AdvancedCNN,2592202,250,5,8,31,3000,0.9941999912261963
MNIST,,sketch,5,32,1,50.0,AdvancedCNN,2592202,250,5,9,34,3375,0.994700014591217
MNIST,,sketch,5,32,1,50.0,AdvancedCNN,2592202,250,5,10,37,3750,0.9940000176429749
MNIST,,sketch,5,32,1,50.0,AdvancedCNN,2592202,250,5,11,41,4125,0.9945999979972839
MNIST,,sketch,5,32,1,50.0,AdvancedCNN,2592202,250,5,12,45,4500,0.9947999715805054
MNIST,,sketch,5,32,1,50.0,AdvancedCNN,2592202,250,5,13,48,4875,0.9944000244140625
MNIST,,sketch,5,32,1,50.0,AdvancedCNN,2592202,250,5,14,52,5250,0.9948999881744385
MNIST,,sketch,5,32,1,50.0,AdvancedCNN,2592202,250,5,15,55,5625,0.9950000047683716
MNIST,,sketch,5,32,1,50.0,AdvancedCNN,2592202,250,5,16,59,6000,0.9940999746322632
MNIST,,sketch,5,32,1,50.0,AdvancedCNN,2592202,250,5,17,63,6375,0.9947999715805054
MNIST,,sketch,5,32,1,50.0,AdvancedCNN,2592202,250,5,18,66,6750,0.9945999979972839
MNIST,,sketch,5,32,1,50.0,AdvancedCNN,2592202,250,5,19,70,7125,0.994700014591217
MNIST,,sketch,5,32,1,50.0,AdvancedCNN,2592202,250,5,20,74,7500,0.9950000047683716
MNIST,,sketch,5,32,1,50.0,AdvancedCNN,2592202,250,5,21,78,7875,0.994700014591217
MNIST,,sketch,5,32,1,50.0,AdvancedCNN,2592202,250,5,22,81,8250,0.9944000244140625
MNIST,,sketch,5,32,1,50.0,AdvancedCNN,2592202,250,5,23,85,8625,0.995199978351593
