dataset_name,bias,fda_name,num_clients,batch_size,num_steps_until_rtc_check,theta,nn_name,nn_num_weights,sketch_width,sketch_depth,epoch,total_rounds,total_fda_steps,accuracy
MNIST,-1.0,sketch,60,32,1,100.0,AdvancedCNN,2592202,250,5,1,1,32,0.11349999904632568
MNIST,-1.0,sketch,60,32,1,100.0,AdvancedCNN,2592202,250,5,2,2,63,0.1941000074148178
MNIST,-1.0,sketch,60,32,1,100.0,AdvancedCNN,2592202,250,5,3,2,94,0.7246000170707703
MNIST,-1.0,sketch,60,32,1,100.0,AdvancedCNN,2592202,250,5,4,3,125,0.8039000034332275
MNIST,-1.0,sketch,60,32,1,100.0,AdvancedCNN,2592202,250,5,5,3,157,0.8227999806404114
MNIST,-1.0,sketch,60,32,1,100.0,AdvancedCNN,2592202,250,5,6,4,188,0.8277999758720398
MNIST,-1.0,sketch,60,32,1,100.0,AdvancedCNN,2592202,250,5,7,4,219,0.8370000123977661
MNIST,-1.0,sketch,60,32,1,100.0,AdvancedCNN,2592202,250,5,8,5,250,0.8603000044822693
MNIST,-1.0,sketch,60,32,1,100.0,AdvancedCNN,2592202,250,5,9,5,282,0.9014000296592712
MNIST,-1.0,sketch,60,32,1,100.0,AdvancedCNN,2592202,250,5,10,5,313,0.8894000053405762
MNIST,-1.0,sketch,60,32,1,100.0,AdvancedCNN,2592202,250,5,11,5,344,0.8795999884605408
MNIST,-1.0,sketch,60,32,1,100.0,AdvancedCNN,2592202,250,5,12,6,375,0.897599995136261
MNIST,-1.0,sketch,60,32,1,100.0,AdvancedCNN,2592202,250,5,13,6,407,0.930899977684021
MNIST,-1.0,sketch,60,32,1,100.0,AdvancedCNN,2592202,250,5,14,6,438,0.9169999957084656
MNIST,-1.0,sketch,60,32,1,100.0,AdvancedCNN,2592202,250,5,15,6,469,0.90829998254776
MNIST,-1.0,sketch,60,32,1,100.0,AdvancedCNN,2592202,250,5,16,6,500,0.90420001745224
MNIST,-1.0,sketch,60,32,1,100.0,AdvancedCNN,2592202,250,5,17,7,532,0.9599000215530396
MNIST,-1.0,sketch,60,32,1,100.0,AdvancedCNN,2592202,250,5,18,7,563,0.9639000296592712
MNIST,-1.0,sketch,60,32,1,100.0,AdvancedCNN,2592202,250,5,19,7,594,0.9501000046730042
MNIST,-1.0,sketch,60,32,1,100.0,AdvancedCNN,2592202,250,5,20,7,625,0.9394000172615051
MNIST,-1.0,sketch,60,32,1,100.0,AdvancedCNN,2592202,250,5,21,7,657,0.9318000078201294
MNIST,-1.0,sketch,60,32,1,100.0,AdvancedCNN,2592202,250,5,22,8,688,0.9724000096321106
