dataset_name,fda_name,num_clients,batch_size,num_steps_until_rtc_check,theta,nn_name,nn_num_weights,sketch_width,sketch_depth,epoch,total_rounds,total_fda_steps,accuracy
MNIST,synchronous,50,128,1,0.0,AdvancedCNN,2592202,-1,-1,1,10,10,0.6176000237464905
MNIST,synchronous,50,128,1,0.0,AdvancedCNN,2592202,-1,-1,2,19,19,0.8770999908447266
MNIST,synchronous,50,128,1,0.0,AdvancedCNN,2592202,-1,-1,3,29,29,0.9383000135421753
MNIST,synchronous,50,128,1,0.0,AdvancedCNN,2592202,-1,-1,4,38,38,0.9588000178337097
MNIST,synchronous,50,128,1,0.0,AdvancedCNN,2592202,-1,-1,5,47,47,0.9690999984741211
MNIST,synchronous,50,128,1,0.0,AdvancedCNN,2592202,-1,-1,6,57,57,0.9764000177383423
MNIST,synchronous,50,128,1,0.0,AdvancedCNN,2592202,-1,-1,7,66,66,0.9789999723434448
MNIST,synchronous,50,128,1,0.0,AdvancedCNN,2592202,-1,-1,8,75,75,0.9814000129699707
MNIST,synchronous,50,128,1,0.0,AdvancedCNN,2592202,-1,-1,9,85,85,0.9847000241279602
MNIST,synchronous,50,128,1,0.0,AdvancedCNN,2592202,-1,-1,10,94,94,0.9868999719619751
MNIST,synchronous,50,128,1,0.0,AdvancedCNN,2592202,-1,-1,11,104,104,0.9876000285148621
MNIST,synchronous,50,128,1,0.0,AdvancedCNN,2592202,-1,-1,12,113,113,0.9886000156402588
MNIST,synchronous,50,128,1,0.0,AdvancedCNN,2592202,-1,-1,13,122,122,0.9889000058174133
MNIST,synchronous,50,128,1,0.0,AdvancedCNN,2592202,-1,-1,14,132,132,0.9890999794006348
MNIST,synchronous,50,128,1,0.0,AdvancedCNN,2592202,-1,-1,15,141,141,0.9905999898910522
MNIST,synchronous,50,128,1,0.0,AdvancedCNN,2592202,-1,-1,16,150,150,0.9904999732971191
MNIST,synchronous,50,128,1,0.0,AdvancedCNN,2592202,-1,-1,17,160,160,0.9907000064849854
MNIST,synchronous,50,128,1,0.0,AdvancedCNN,2592202,-1,-1,18,169,169,0.9919999837875366
MNIST,synchronous,50,128,1,0.0,AdvancedCNN,2592202,-1,-1,19,179,179,0.9919999837875366
