dataset_name,bias,aggr_scheme,fda_name,num_clients,batch_size,num_steps_until_rtc_check,theta,nn_name,nn_num_weights,sketch_width,sketch_depth,epoch,total_rounds,total_fda_steps,accuracy,train_accuracy
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,1,10,157,0.33180001378059387,0.35625
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,2,11,313,0.38769999146461487,0.3875
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,3,12,469,0.4189000129699707,0.45
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,4,13,625,0.44200000166893005,0.459375
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,5,13,782,0.4571000039577484,0.46875
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,6,14,938,0.4537999927997589,0.484375
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,7,15,1094,0.47540000081062317,0.5375
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,8,15,1250,0.5310999751091003,0.5125
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,9,16,1407,0.5548999905586243,0.55625
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,10,17,1563,0.5651999711990356,0.55
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,11,17,1719,0.5705000162124634,0.578125
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,12,18,1875,0.5939000248908997,0.5875
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,13,19,2032,0.6039999723434448,0.578125
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,14,20,2188,0.6201000213623047,0.68125
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,15,20,2344,0.6255999803543091,0.634375
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,16,21,2500,0.6349999904632568,0.615625
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,17,22,2657,0.6456999778747559,0.675
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,18,23,2813,0.6567000150680542,0.625
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,19,24,2969,0.677299976348877,0.665625
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,20,24,3125,0.6819999814033508,0.69375
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,21,25,3282,0.6987000107765198,0.721875
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,22,26,3438,0.695900022983551,0.696875
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,23,27,3594,0.7077000141143799,0.70625
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,24,28,3750,0.7160999774932861,0.69375
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,25,29,3907,0.7128000259399414,0.753125
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,26,30,4063,0.715399980545044,0.728125
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,27,31,4219,0.7178999781608582,0.675
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,28,31,4375,0.7261999845504761,0.7125
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,29,32,4532,0.7343999743461609,0.75
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,30,33,4688,0.745199978351593,0.746875
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,31,34,4844,0.7426999807357788,0.828125
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,32,35,5000,0.7465999722480774,0.71875
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,33,36,5157,0.7486000061035156,0.75
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,34,37,5313,0.742900013923645,0.73125
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,35,38,5469,0.7497000098228455,0.740625
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,36,39,5625,0.7567999958992004,0.759375
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,37,40,5782,0.7581999897956848,0.734375
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,38,41,5938,0.7540000081062317,0.7625
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,39,42,6094,0.7597000002861023,0.78125
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,40,44,6250,0.7689999938011169,0.7875
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,41,45,6407,0.7663000226020813,0.759375
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,42,46,6563,0.7714999914169312,0.7375
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,43,47,6719,0.7717999815940857,0.8
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,44,48,6875,0.7757999897003174,0.775
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,45,49,7032,0.7767000198364258,0.784375
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,46,50,7188,0.7804999947547913,0.75625
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,47,52,7344,0.7753999829292297,0.775
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,48,53,7500,0.781000018119812,0.759375
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,49,54,7657,0.7767000198364258,0.815625
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,50,55,7813,0.7829999923706055,0.803125
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,51,56,7969,0.7813000082969666,0.80625
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,52,58,8125,0.7814000248908997,0.79375
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,53,59,8282,0.791100025177002,0.790625
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,54,60,8438,0.786300003528595,0.784375
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,55,61,8594,0.7839000225067139,0.796875
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,56,63,8750,0.7846999764442444,0.80625
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,57,64,8907,0.7854999899864197,0.85
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,58,65,9063,0.7879999876022339,0.80625
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,59,67,9219,0.7901999950408936,0.853125
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,60,68,9375,0.7964000105857849,0.80625
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,61,69,9532,0.7943000197410583,0.828125
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,62,71,9688,0.7976999878883362,0.840625
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,63,72,9844,0.7937999963760376,0.825
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,64,73,10000,0.7842000126838684,0.825
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,65,75,10157,0.7993000149726868,0.803125
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,66,76,10313,0.7944999933242798,0.80625
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,67,78,10469,0.7996000051498413,0.809375
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,68,79,10625,0.7980999946594238,0.7875
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,69,81,10782,0.7997999787330627,0.859375
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,70,82,10938,0.8033000230789185,0.825
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,71,83,11094,0.7932999730110168,0.821875
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,72,85,11250,0.7975999712944031,0.815625
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,73,87,11407,0.8079000115394592,0.853125
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,74,88,11563,0.7993000149726868,0.815625
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,75,90,11719,0.8065000176429749,0.80625
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,76,91,11875,0.8073999881744385,0.809375
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,77,93,12032,0.8019999861717224,0.8375
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,78,94,12188,0.798799991607666,0.815625
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,79,96,12344,0.8040000200271606,0.81875
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,80,98,12500,0.8047000169754028,0.86875
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,81,99,12657,0.8054999709129333,0.840625
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,82,101,12813,0.8066999912261963,0.86875
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,83,103,12969,0.8082000017166138,0.875
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,84,104,13125,0.801800012588501,0.828125
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,85,106,13282,0.8064000010490417,0.853125
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,86,108,13438,0.8119000196456909,0.85625
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,87,110,13594,0.8077999949455261,0.875
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,88,111,13750,0.807699978351593,0.8375
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,89,113,13907,0.8101999759674072,0.815625
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,90,115,14063,0.808899998664856,0.834375
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,91,117,14219,0.8159000277519226,0.875
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,92,119,14375,0.8090000152587891,0.8875
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,93,121,14532,0.8041999936103821,0.86875
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,94,122,14688,0.8040000200271606,0.83125
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,95,124,14844,0.8127999901771545,0.853125
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,96,126,15000,0.8091999888420105,0.8625
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,97,128,15157,0.8108999729156494,0.803125
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,98,130,15313,0.8127999901771545,0.834375
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,99,132,15469,0.8169000148773193,0.853125
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,100,134,15625,0.815500020980835,0.86875
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,101,136,15782,0.8184999823570251,0.878125
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,102,138,15938,0.8082000017166138,0.846875
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,103,140,16094,0.8126999735832214,0.871875
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,104,142,16250,0.8137999773025513,0.878125
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,105,144,16407,0.8118000030517578,0.878125
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,106,146,16563,0.8205999732017517,0.890625
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,107,148,16719,0.8126000165939331,0.85
CIFAR10,0.2,avg,linear,10,32,1,275.0,DenseNet121,6964106,,,108,150,16875,0.8141000270843506,0.85625
