dataset_name,bias,aggr_scheme,fda_name,num_clients,batch_size,num_steps_until_rtc_check,theta,nn_name,nn_num_weights,sketch_width,sketch_depth,epoch,total_rounds,total_fda_steps,accuracy,train_accuracy
CIFAR10,-1.0,avg,linear,15,32,1,300.0,DenseNet121,6964106,,,1,8,105,0.27970001101493835,0.3375
CIFAR10,-1.0,avg,linear,15,32,1,300.0,DenseNet121,6964106,,,2,10,209,0.3596000075340271,0.38125
CIFAR10,-1.0,avg,linear,15,32,1,300.0,DenseNet121,6964106,,,3,11,313,0.37610000371932983,0.39791667
CIFAR10,-1.0,avg,linear,15,32,1,300.0,DenseNet121,6964106,,,4,11,417,0.3817000091075897,0.44791666
CIFAR10,-1.0,avg,linear,15,32,1,300.0,DenseNet121,6964106,,,5,12,521,0.4147000014781952,0.49166667
CIFAR10,-1.0,avg,linear,15,32,1,300.0,DenseNet121,6964106,,,6,12,626,0.42250001430511475,0.45833334
CIFAR10,-1.0,avg,linear,15,32,1,300.0,DenseNet121,6964106,,,7,13,730,0.44200000166893005,0.5395833
CIFAR10,-1.0,avg,linear,15,32,1,300.0,DenseNet121,6964106,,,8,13,834,0.4438999891281128,0.49791667
CIFAR10,-1.0,avg,linear,15,32,1,300.0,DenseNet121,6964106,,,9,14,938,0.4571000039577484,0.5416667
CIFAR10,-1.0,avg,linear,15,32,1,300.0,DenseNet121,6964106,,,10,14,1042,0.46939998865127563,0.5375
CIFAR10,-1.0,avg,linear,15,32,1,300.0,DenseNet121,6964106,,,11,15,1146,0.4814000129699707,0.5520833
CIFAR10,-1.0,avg,linear,15,32,1,300.0,DenseNet121,6964106,,,12,15,1251,0.4885999858379364,0.55833334
CIFAR10,-1.0,avg,linear,15,32,1,300.0,DenseNet121,6964106,,,13,16,1355,0.49380001425743103,0.5625
CIFAR10,-1.0,avg,linear,15,32,1,300.0,DenseNet121,6964106,,,14,16,1459,0.4952000081539154,0.5833333
CIFAR10,-1.0,avg,linear,15,32,1,300.0,DenseNet121,6964106,,,15,17,1563,0.524399995803833,0.53333336
CIFAR10,-1.0,avg,linear,15,32,1,300.0,DenseNet121,6964106,,,16,17,1667,0.5169000029563904,0.6166667
CIFAR10,-1.0,avg,linear,15,32,1,300.0,DenseNet121,6964106,,,17,18,1771,0.5507000088691711,0.60833335
CIFAR10,-1.0,avg,linear,15,32,1,300.0,DenseNet121,6964106,,,18,18,1876,0.5595999956130981,0.59166664
CIFAR10,-1.0,avg,linear,15,32,1,300.0,DenseNet121,6964106,,,19,19,1980,0.5101000070571899,0.64375
CIFAR10,-1.0,avg,linear,15,32,1,300.0,DenseNet121,6964106,,,20,20,2084,0.545799970626831,0.6666667
CIFAR10,-1.0,avg,linear,15,32,1,300.0,DenseNet121,6964106,,,21,20,2188,0.5728999972343445,0.65208334
CIFAR10,-1.0,avg,linear,15,32,1,300.0,DenseNet121,6964106,,,22,21,2292,0.5738000273704529,0.64375
CIFAR10,-1.0,avg,linear,15,32,1,300.0,DenseNet121,6964106,,,23,22,2396,0.5795000195503235,0.68125
CIFAR10,-1.0,avg,linear,15,32,1,300.0,DenseNet121,6964106,,,24,22,2501,0.6004999876022339,0.6666667
CIFAR10,-1.0,avg,linear,15,32,1,300.0,DenseNet121,6964106,,,25,23,2605,0.5803999900817871,0.6875
CIFAR10,-1.0,avg,linear,15,32,1,300.0,DenseNet121,6964106,,,26,23,2709,0.5892000198364258,0.68541664
CIFAR10,-1.0,avg,linear,15,32,1,300.0,DenseNet121,6964106,,,27,24,2813,0.6103000044822693,0.7083333
CIFAR10,-1.0,avg,linear,15,32,1,300.0,DenseNet121,6964106,,,28,25,2917,0.6190999746322632,0.6645833
CIFAR10,-1.0,avg,linear,15,32,1,300.0,DenseNet121,6964106,,,29,25,3021,0.6323000192642212,0.68333334
CIFAR10,-1.0,avg,linear,15,32,1,300.0,DenseNet121,6964106,,,30,26,3126,0.6380000114440918,0.7083333
CIFAR10,-1.0,avg,linear,15,32,1,300.0,DenseNet121,6964106,,,31,26,3230,0.6359999775886536,0.7104167
CIFAR10,-1.0,avg,linear,15,32,1,300.0,DenseNet121,6964106,,,32,27,3334,0.6388000249862671,0.7083333
CIFAR10,-1.0,avg,linear,15,32,1,300.0,DenseNet121,6964106,,,33,28,3438,0.6523000001907349,0.76875
CIFAR10,-1.0,avg,linear,15,32,1,300.0,DenseNet121,6964106,,,34,28,3542,0.646399974822998,0.75
CIFAR10,-1.0,avg,linear,15,32,1,300.0,DenseNet121,6964106,,,35,29,3646,0.6410999894142151,0.7291667
CIFAR10,-1.0,avg,linear,15,32,1,300.0,DenseNet121,6964106,,,36,29,3751,0.6416000127792358,0.76666665
CIFAR10,-1.0,avg,linear,15,32,1,300.0,DenseNet121,6964106,,,37,30,3855,0.6532999873161316,0.76875
CIFAR10,-1.0,avg,linear,15,32,1,300.0,DenseNet121,6964106,,,38,31,3959,0.6632000207901001,0.74583334
CIFAR10,-1.0,avg,linear,15,32,1,300.0,DenseNet121,6964106,,,39,31,4063,0.6636999845504761,0.78125
