dataset_name,bias,aggr_scheme,fda_name,num_clients,batch_size,num_steps_until_rtc_check,theta,nn_name,nn_num_weights,sketch_width,sketch_depth,epoch,total_rounds,total_fda_steps,accuracy,train_accuracy
CIFAR10,,avg,linear,20,32,1,275.0,DenseNet121,6964106,,,1,8,79,0.275299996137619,0.2296875
CIFAR10,,avg,linear,20,32,1,275.0,DenseNet121,6964106,,,2,10,157,0.33959999680519104,0.3234375
CIFAR10,,avg,linear,20,32,1,275.0,DenseNet121,6964106,,,3,11,235,0.4032000005245209,0.3703125
CIFAR10,,avg,linear,20,32,1,275.0,DenseNet121,6964106,,,4,12,313,0.41819998621940613,0.415625
CIFAR10,,avg,linear,20,32,1,275.0,DenseNet121,6964106,,,5,12,391,0.4345000088214874,0.4140625
CIFAR10,,avg,linear,20,32,1,275.0,DenseNet121,6964106,,,6,13,469,0.4717999994754791,0.44375
CIFAR10,,avg,linear,20,32,1,275.0,DenseNet121,6964106,,,7,13,547,0.4819999933242798,0.4296875
CIFAR10,,avg,linear,20,32,1,275.0,DenseNet121,6964106,,,8,14,625,0.5044000148773193,0.4546875
CIFAR10,,avg,linear,20,32,1,275.0,DenseNet121,6964106,,,9,14,704,0.508400022983551,0.48125
CIFAR10,,avg,linear,20,32,1,275.0,DenseNet121,6964106,,,10,15,782,0.5296000242233276,0.515625
CIFAR10,,avg,linear,20,32,1,275.0,DenseNet121,6964106,,,11,15,860,0.5310999751091003,0.4953125
CIFAR10,,avg,linear,20,32,1,275.0,DenseNet121,6964106,,,12,16,938,0.5299000144004822,0.4765625
CIFAR10,,avg,linear,20,32,1,275.0,DenseNet121,6964106,,,13,16,1016,0.5263000130653381,0.5453125
CIFAR10,,avg,linear,20,32,1,275.0,DenseNet121,6964106,,,14,17,1094,0.5569000244140625,0.54375
CIFAR10,,avg,linear,20,32,1,275.0,DenseNet121,6964106,,,15,17,1172,0.5644000172615051,0.528125
CIFAR10,,avg,linear,20,32,1,275.0,DenseNet121,6964106,,,16,18,1250,0.5723999738693237,0.521875
CIFAR10,,avg,linear,20,32,1,275.0,DenseNet121,6964106,,,17,19,1329,0.5867000222206116,0.5875
