dataset_name,bias,aggr_scheme,fda_name,num_clients,batch_size,num_steps_until_rtc_check,theta,nn_name,nn_num_weights,sketch_width,sketch_depth,epoch,total_rounds,total_fda_steps,accuracy,train_accuracy
CIFAR10,,avg,sketch,20,32,1,200.0,DenseNet121,6964106,250,5,1,9,79,0.1754000037908554,0.2765625
CIFAR10,,avg,sketch,20,32,1,200.0,DenseNet121,6964106,250,5,2,11,157,0.39570000767707825,0.35625
CIFAR10,,avg,sketch,20,32,1,200.0,DenseNet121,6964106,250,5,3,12,235,0.4214000105857849,0.3796875
CIFAR10,,avg,sketch,20,32,1,200.0,DenseNet121,6964106,250,5,4,13,313,0.4339999854564667,0.390625
CIFAR10,,avg,sketch,20,32,1,200.0,DenseNet121,6964106,250,5,5,14,391,0.4595000147819519,0.4421875
CIFAR10,,avg,sketch,20,32,1,200.0,DenseNet121,6964106,250,5,6,15,469,0.4846999943256378,0.41875
CIFAR10,,avg,sketch,20,32,1,200.0,DenseNet121,6964106,250,5,7,15,547,0.4830999970436096,0.434375
CIFAR10,,avg,sketch,20,32,1,200.0,DenseNet121,6964106,250,5,8,16,625,0.49540001153945923,0.4390625
CIFAR10,,avg,sketch,20,32,1,200.0,DenseNet121,6964106,250,5,9,17,704,0.4961000084877014,0.484375
CIFAR10,,avg,sketch,20,32,1,200.0,DenseNet121,6964106,250,5,10,18,782,0.5238000154495239,0.5
CIFAR10,,avg,sketch,20,32,1,200.0,DenseNet121,6964106,250,5,11,18,860,0.5175999999046326,0.5078125
CIFAR10,,avg,sketch,20,32,1,200.0,DenseNet121,6964106,250,5,12,19,938,0.5259000062942505,0.4921875
CIFAR10,,avg,sketch,20,32,1,200.0,DenseNet121,6964106,250,5,13,20,1016,0.5564000010490417,0.5625
CIFAR10,,avg,sketch,20,32,1,200.0,DenseNet121,6964106,250,5,14,21,1094,0.5622000098228455,0.5203125
CIFAR10,,avg,sketch,20,32,1,200.0,DenseNet121,6964106,250,5,15,22,1172,0.5755000114440918,0.5515625
CIFAR10,,avg,sketch,20,32,1,200.0,DenseNet121,6964106,250,5,16,23,1250,0.5935999751091003,0.5625
CIFAR10,,avg,sketch,20,32,1,200.0,DenseNet121,6964106,250,5,17,24,1329,0.5947999954223633,0.575
CIFAR10,,avg,sketch,20,32,1,200.0,DenseNet121,6964106,250,5,18,25,1407,0.5295000076293945,0.565625
CIFAR10,,avg,sketch,20,32,1,200.0,DenseNet121,6964106,250,5,19,27,1485,0.5824000239372253,0.5765625
CIFAR10,,avg,sketch,20,32,1,200.0,DenseNet121,6964106,250,5,20,28,1563,0.6060000061988831,0.5546875
