dataset_name,bias,aggr_scheme,fda_name,num_clients,batch_size,num_steps_until_rtc_check,theta,nn_name,nn_num_weights,sketch_width,sketch_depth,epoch,total_rounds,total_fda_steps,accuracy,train_accuracy
CIFAR10,0.5,avg,synchronous,20,32,1,0.0,DenseNet121,6964106,,,1,79,79,0.2418999969959259,0.290625
CIFAR10,0.5,avg,synchronous,20,32,1,0.0,DenseNet121,6964106,,,2,157,157,0.4081999957561493,0.3453125
CIFAR10,0.5,avg,synchronous,20,32,1,0.0,DenseNet121,6964106,,,3,235,235,0.3896999955177307,0.4046875
CIFAR10,0.5,avg,synchronous,20,32,1,0.0,DenseNet121,6964106,,,4,313,313,0.4871000051498413,0.4921875
CIFAR10,0.5,avg,synchronous,20,32,1,0.0,DenseNet121,6964106,,,5,391,391,0.47110000252723694,0.584375
CIFAR10,0.5,avg,synchronous,20,32,1,0.0,DenseNet121,6964106,,,6,469,469,0.49900001287460327,0.5875
CIFAR10,0.5,avg,synchronous,20,32,1,0.0,DenseNet121,6964106,,,7,547,547,0.5719000101089478,0.65
CIFAR10,0.5,avg,synchronous,20,32,1,0.0,DenseNet121,6964106,,,8,625,625,0.539900004863739,0.6546875
CIFAR10,0.5,avg,synchronous,20,32,1,0.0,DenseNet121,6964106,,,9,704,704,0.5551000237464905,0.68125
CIFAR10,0.5,avg,synchronous,20,32,1,0.0,DenseNet121,6964106,,,10,782,782,0.5367000102996826,0.703125
CIFAR10,0.5,avg,synchronous,20,32,1,0.0,DenseNet121,6964106,,,11,860,860,0.6338000297546387,0.7390625
CIFAR10,0.5,avg,synchronous,20,32,1,0.0,DenseNet121,6964106,,,12,938,938,0.5511000156402588,0.7515625
CIFAR10,0.5,avg,synchronous,20,32,1,0.0,DenseNet121,6964106,,,13,1016,1016,0.588699996471405,0.7515625
CIFAR10,0.5,avg,synchronous,20,32,1,0.0,DenseNet121,6964106,,,14,1094,1094,0.6503000259399414,0.778125
CIFAR10,0.5,avg,synchronous,20,32,1,0.0,DenseNet121,6964106,,,15,1172,1172,0.6675999760627747,0.78125
CIFAR10,0.5,avg,synchronous,20,32,1,0.0,DenseNet121,6964106,,,16,1250,1250,0.6629999876022339,0.7796875
CIFAR10,0.5,avg,synchronous,20,32,1,0.0,DenseNet121,6964106,,,17,1329,1329,0.6830999851226807,0.7921875
CIFAR10,0.5,avg,synchronous,20,32,1,0.0,DenseNet121,6964106,,,18,1407,1407,0.667900025844574,0.8078125
CIFAR10,0.5,avg,synchronous,20,32,1,0.0,DenseNet121,6964106,,,19,1485,1485,0.7032999992370605,0.821875
