dataset_name,bias,aggr_scheme,fda_name,num_clients,batch_size,num_steps_until_rtc_check,theta,nn_name,nn_num_weights,sketch_width,sketch_depth,epoch,total_rounds,total_fda_steps,accuracy,train_accuracy
CIFAR10,,avg,naive,20,32,1,900.0,DenseNet201,18112138,,,1,9,79,0.10300000011920929,0.184375
CIFAR10,,avg,naive,20,32,1,900.0,DenseNet201,18112138,,,2,11,157,0.2732999920845032,0.2328125
CIFAR10,,avg,naive,20,32,1,900.0,DenseNet201,18112138,,,3,12,235,0.3052999973297119,0.3
CIFAR10,,avg,naive,20,32,1,900.0,DenseNet201,18112138,,,4,12,313,0.34689998626708984,0.275
CIFAR10,,avg,naive,20,32,1,900.0,DenseNet201,18112138,,,5,12,391,0.3562000095844269,0.3296875
CIFAR10,,avg,naive,20,32,1,900.0,DenseNet201,18112138,,,6,12,469,0.3650999963283539,0.3859375
CIFAR10,,avg,naive,20,32,1,900.0,DenseNet201,18112138,,,7,13,547,0.35269999504089355,0.359375
CIFAR10,,avg,naive,20,32,1,900.0,DenseNet201,18112138,,,8,13,625,0.39309999346733093,0.3984375
CIFAR10,,avg,naive,20,32,1,900.0,DenseNet201,18112138,,,9,13,704,0.41499999165534973,0.4078125
CIFAR10,,avg,naive,20,32,1,900.0,DenseNet201,18112138,,,10,13,782,0.4180000126361847,0.4
CIFAR10,,avg,naive,20,32,1,900.0,DenseNet201,18112138,,,11,13,860,0.4228000044822693,0.4265625
CIFAR10,,avg,naive,20,32,1,900.0,DenseNet201,18112138,,,12,13,938,0.42340001463890076,0.4625
CIFAR10,,avg,naive,20,32,1,900.0,DenseNet201,18112138,,,13,14,1016,0.45410001277923584,0.40625
CIFAR10,,avg,naive,20,32,1,900.0,DenseNet201,18112138,,,14,14,1094,0.4652000069618225,0.4296875
CIFAR10,,avg,naive,20,32,1,900.0,DenseNet201,18112138,,,15,14,1172,0.4641000032424927,0.4234375
CIFAR10,,avg,naive,20,32,1,900.0,DenseNet201,18112138,,,16,14,1250,0.4535999894142151,0.521875
CIFAR10,,avg,naive,20,32,1,900.0,DenseNet201,18112138,,,17,14,1329,0.4560999870300293,0.4921875
CIFAR10,,avg,naive,20,32,1,900.0,DenseNet201,18112138,,,18,14,1407,0.45879998803138733,0.5453125
CIFAR10,,avg,naive,20,32,1,900.0,DenseNet201,18112138,,,19,15,1485,0.4851999878883362,0.5171875
CIFAR10,,avg,naive,20,32,1,900.0,DenseNet201,18112138,,,20,15,1563,0.5098999738693237,0.49375
CIFAR10,,avg,naive,20,32,1,900.0,DenseNet201,18112138,,,21,15,1641,0.5339999794960022,0.5421875
CIFAR10,,avg,naive,20,32,1,900.0,DenseNet201,18112138,,,22,15,1719,0.5354999899864197,0.546875
CIFAR10,,avg,naive,20,32,1,900.0,DenseNet201,18112138,,,23,15,1797,0.506600022315979,0.5984375
CIFAR10,,avg,naive,20,32,1,900.0,DenseNet201,18112138,,,24,15,1875,0.49559998512268066,0.56875
CIFAR10,,avg,naive,20,32,1,900.0,DenseNet201,18112138,,,25,16,1954,0.5052000284194946,0.46875
CIFAR10,,avg,naive,20,32,1,900.0,DenseNet201,18112138,,,26,16,2032,0.4964999854564667,0.5171875
CIFAR10,,avg,naive,20,32,1,900.0,DenseNet201,18112138,,,27,16,2110,0.4950000047683716,0.5984375
CIFAR10,,avg,naive,20,32,1,900.0,DenseNet201,18112138,,,28,16,2188,0.49549999833106995,0.5859375
CIFAR10,,avg,naive,20,32,1,900.0,DenseNet201,18112138,,,29,16,2266,0.4916999936103821,0.5859375
CIFAR10,,avg,naive,20,32,1,900.0,DenseNet201,18112138,,,30,16,2344,0.48260000348091125,0.590625
CIFAR10,,avg,naive,20,32,1,900.0,DenseNet201,18112138,,,31,17,2422,0.5092999935150146,0.609375
CIFAR10,,avg,naive,20,32,1,900.0,DenseNet201,18112138,,,32,17,2500,0.5740000009536743,0.56875
