dataset_name,bias,aggr_scheme,fda_name,num_clients,batch_size,num_steps_until_rtc_check,theta,nn_name,nn_num_weights,sketch_width,sketch_depth,epoch,total_rounds,total_fda_steps,accuracy,train_accuracy
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,1,4,54,0.7757999897003174,0.80714285
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,2,5,108,0.8044000267982483,0.9053571
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,3,6,161,0.8183000087738037,0.90178573
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,4,7,215,0.8337000012397766,0.92053574
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,5,8,268,0.8485000133514404,0.93125
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,6,9,322,0.8633000254631042,0.93125
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,7,10,375,0.878000020980835,0.95178574
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,8,11,429,0.8884999752044678,0.93392855
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,9,12,483,0.9050999879837036,0.9392857
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,10,13,536,0.9124000072479248,0.93303573
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,11,14,590,0.9262999892234802,0.9455357
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,12,15,643,0.9296000003814697,0.94107145
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,13,16,697,0.9336000084877014,0.9678571
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,14,17,750,0.9390000104904175,0.9482143
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,15,18,804,0.941100001335144,0.94196427
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,16,19,858,0.9376000165939331,0.94107145
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,17,19,911,0.9380000233650208,0.96517855
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,18,20,965,0.9463000297546387,0.9705357
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,19,21,1018,0.9490000009536743,0.97321427
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,20,22,1072,0.9514999985694885,0.9776786
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,21,23,1125,0.9562000036239624,0.97410715
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,22,24,1179,0.9573000073432922,0.9625
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,23,25,1233,0.9609000086784363,0.9785714
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,24,26,1286,0.9606999754905701,0.97410715
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,25,27,1340,0.9611999988555908,0.9785714
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,26,27,1393,0.9592000246047974,0.98660713
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,27,28,1447,0.9598000049591064,0.9785714
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,28,29,1500,0.9638000130653381,0.9714286
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,29,30,1554,0.965399980545044,0.98125
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,30,31,1608,0.9671000242233276,0.98125
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,31,32,1661,0.9678000211715698,0.97410715
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,32,33,1715,0.9668999910354614,0.97321427
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,33,33,1768,0.9661999940872192,0.98392856
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,34,34,1822,0.9674999713897705,0.98660713
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,35,35,1875,0.9685999751091003,0.98125
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,36,36,1929,0.9708999991416931,0.98571426
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,37,37,1983,0.9717000126838684,0.97589284
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,38,38,2036,0.9713000059127808,0.97321427
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,39,38,2090,0.970300018787384,0.98660713
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,40,39,2143,0.9710000157356262,0.98482144
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,41,40,2197,0.9715999960899353,0.98303574
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,42,41,2250,0.9732999801635742,0.9785714
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,43,42,2304,0.9739000201225281,0.9776786
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,44,43,2358,0.9750000238418579,0.98035717
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,45,44,2411,0.9729999899864197,0.97589284
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,46,44,2465,0.972599983215332,0.9901786
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,47,45,2518,0.9743000268936157,0.98482144
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,48,46,2572,0.9757000207901001,0.9875
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,49,47,2625,0.9769999980926514,0.98392856
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,50,48,2679,0.9769999980926514,0.98660713
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,51,49,2733,0.9750000238418579,0.97410715
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,52,49,2786,0.9761999845504761,0.9892857
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,53,50,2840,0.9775000214576721,0.9892857
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,54,51,2893,0.9783999919891357,0.98660713
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,55,52,2947,0.9796000123023987,0.98839283
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,56,53,3000,0.9787999987602234,0.98660713
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,57,54,3054,0.9776999950408936,0.98392856
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,58,54,3108,0.9779000282287598,0.9919643
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,59,55,3161,0.9789000153541565,0.98303574
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,60,56,3215,0.9790999889373779,0.9875
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,61,57,3268,0.9793999791145325,0.9892857
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,62,58,3322,0.9797999858856201,0.98839283
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,63,58,3375,0.9789999723434448,0.99553573
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,64,59,3429,0.9783999919891357,0.99375
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,65,60,3483,0.9799000024795532,0.9901786
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,66,61,3536,0.980400025844574,0.99375
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,67,62,3590,0.9807999730110168,0.9919643
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,68,63,3643,0.9810000061988831,0.9892857
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,69,64,3697,0.9804999828338623,0.98839283
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,70,64,3750,0.9796000123023987,0.99553573
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,71,65,3804,0.9811000227928162,0.9901786
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,72,66,3858,0.9818999767303467,0.99285716
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,73,67,3911,0.9825000166893005,0.9910714
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,74,68,3965,0.9825000166893005,0.98839283
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,75,68,4018,0.9815000295639038,0.99285716
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,76,69,4072,0.9818000197410583,0.99464285
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,77,70,4125,0.9825000166893005,0.99464285
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,78,71,4179,0.9825999736785889,0.99375
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,79,72,4233,0.9835000038146973,0.9875
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,80,73,4286,0.9830999970436096,0.9901786
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,81,74,4340,0.9829999804496765,0.98571426
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,82,74,4393,0.9822999835014343,0.98660713
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,83,75,4447,0.9836000204086304,0.99375
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,84,76,4500,0.983299970626831,0.99642855
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,85,77,4554,0.983299970626831,0.98660713
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,86,78,4608,0.9833999872207642,0.98839283
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,87,79,4661,0.9832000136375427,0.98839283
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,88,80,4715,0.9828000068664551,0.9919643
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,89,80,4768,0.982200026512146,0.9973214
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,90,81,4822,0.9836000204086304,0.9919643
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,91,82,4875,0.9833999872207642,0.9919643
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,92,83,4929,0.9832000136375427,0.99642855
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,93,84,4983,0.9836999773979187,0.99464285
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,94,85,5036,0.9837999939918518,0.9973214
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,95,86,5090,0.9836000204086304,0.99375
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,96,87,5143,0.9843000173568726,0.99464285
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,97,88,5197,0.9835000038146973,0.98571426
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,98,88,5250,0.984000027179718,0.99553573
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,99,89,5304,0.9843999743461609,0.9910714
MNIST,-1.0,avg,linear,35,32,1,2.0,LeNet-5,61706,,,100,90,5358,0.9842000007629395,0.99375
