dataset_name,bias,aggr_scheme,fda_name,num_clients,batch_size,num_steps_until_rtc_check,theta,nn_name,nn_num_weights,sketch_width,sketch_depth,epoch,total_rounds,total_fda_steps,accuracy,train_accuracy
MNIST,0.6,avg,linear,50,32,1,1.0,LeNet-5,61706,,,1,5,38,0.7631000280380249,0.734375
MNIST,0.6,avg,linear,50,32,1,1.0,LeNet-5,61706,,,2,7,75,0.8416000008583069,0.893125
MNIST,0.6,avg,linear,50,32,1,1.0,LeNet-5,61706,,,3,9,113,0.873199999332428,0.880625
MNIST,0.6,avg,linear,50,32,1,1.0,LeNet-5,61706,,,4,10,150,0.890999972820282,0.906875
MNIST,0.6,avg,linear,50,32,1,1.0,LeNet-5,61706,,,5,11,188,0.8967000246047974,0.939375
MNIST,0.6,avg,linear,50,32,1,1.0,LeNet-5,61706,,,6,13,225,0.9039000272750854,0.9325
MNIST,0.6,avg,linear,50,32,1,1.0,LeNet-5,61706,,,7,14,263,0.910099983215332,0.9275
MNIST,0.6,avg,linear,50,32,1,1.0,LeNet-5,61706,,,8,15,300,0.9147999882698059,0.945
MNIST,0.6,avg,linear,50,32,1,1.0,LeNet-5,61706,,,9,17,338,0.919700026512146,0.945
MNIST,0.6,avg,linear,50,32,1,1.0,LeNet-5,61706,,,10,18,375,0.9228000044822693,0.94375
MNIST,0.6,avg,linear,50,32,1,1.0,LeNet-5,61706,,,11,19,413,0.9254999756813049,0.95
MNIST,0.6,avg,linear,50,32,1,1.0,LeNet-5,61706,,,12,21,450,0.9294000267982483,0.946875
MNIST,0.6,avg,linear,50,32,1,1.0,LeNet-5,61706,,,13,22,488,0.930899977684021,0.95375
MNIST,0.6,avg,linear,50,32,1,1.0,LeNet-5,61706,,,14,24,525,0.9337999820709229,0.930625
MNIST,0.6,avg,linear,50,32,1,1.0,LeNet-5,61706,,,15,25,563,0.9365000128746033,0.950625
MNIST,0.6,avg,linear,50,32,1,1.0,LeNet-5,61706,,,16,26,600,0.9391000270843506,0.96
MNIST,0.6,avg,linear,50,32,1,1.0,LeNet-5,61706,,,17,28,638,0.9409000277519226,0.953125
MNIST,0.6,avg,linear,50,32,1,1.0,LeNet-5,61706,,,18,29,675,0.9431999921798706,0.95875
MNIST,0.6,avg,linear,50,32,1,1.0,LeNet-5,61706,,,19,30,713,0.9452999830245972,0.963125
MNIST,0.6,avg,linear,50,32,1,1.0,LeNet-5,61706,,,20,32,750,0.9462000131607056,0.968125
MNIST,0.6,avg,linear,50,32,1,1.0,LeNet-5,61706,,,21,33,788,0.9488000273704529,0.97
