dataset_name,bias,aggr_scheme,fda_name,num_clients,batch_size,num_steps_until_rtc_check,theta,nn_name,nn_num_weights,sketch_width,sketch_depth,epoch,total_rounds,total_fda_steps,accuracy,train_accuracy
MNIST,0.6,avg,naive,25,32,1,1.0,LeNet-5,61706,,,1,8,75,0.8414999842643738,0.85875
MNIST,0.6,avg,naive,25,32,1,1.0,LeNet-5,61706,,,2,11,150,0.8880000114440918,0.915
MNIST,0.6,avg,naive,25,32,1,1.0,LeNet-5,61706,,,3,14,225,0.90420001745224,0.92625
MNIST,0.6,avg,naive,25,32,1,1.0,LeNet-5,61706,,,4,16,300,0.9111999869346619,0.9475
MNIST,0.6,avg,naive,25,32,1,1.0,LeNet-5,61706,,,5,18,375,0.9182999730110168,0.9325
MNIST,0.6,avg,naive,25,32,1,1.0,LeNet-5,61706,,,6,21,450,0.9254999756813049,0.945
MNIST,0.6,avg,naive,25,32,1,1.0,LeNet-5,61706,,,7,23,525,0.930400013923645,0.95125
MNIST,0.6,avg,naive,25,32,1,1.0,LeNet-5,61706,,,8,25,600,0.9344000220298767,0.96
MNIST,0.6,avg,naive,25,32,1,1.0,LeNet-5,61706,,,9,28,675,0.9399999976158142,0.95625
MNIST,0.6,avg,naive,25,32,1,1.0,LeNet-5,61706,,,10,30,750,0.9440000057220459,0.95125
MNIST,0.6,avg,naive,25,32,1,1.0,LeNet-5,61706,,,11,33,825,0.9455000162124634,0.9425
MNIST,0.6,avg,naive,25,32,1,1.0,LeNet-5,61706,,,12,35,900,0.9508000016212463,0.97125
MNIST,0.6,avg,naive,25,32,1,1.0,LeNet-5,61706,,,13,37,975,0.953000009059906,0.97
MNIST,0.6,avg,naive,25,32,1,1.0,LeNet-5,61706,,,14,39,1050,0.9556999802589417,0.97125
MNIST,0.6,avg,naive,25,32,1,1.0,LeNet-5,61706,,,15,42,1125,0.9574000239372253,0.965
MNIST,0.6,avg,naive,25,32,1,1.0,LeNet-5,61706,,,16,44,1200,0.9592000246047974,0.97875
MNIST,0.6,avg,naive,25,32,1,1.0,LeNet-5,61706,,,17,46,1275,0.9617999792098999,0.97875
MNIST,0.6,avg,naive,25,32,1,1.0,LeNet-5,61706,,,18,49,1350,0.9625999927520752,0.96
MNIST,0.6,avg,naive,25,32,1,1.0,LeNet-5,61706,,,19,51,1425,0.9639000296592712,0.975
MNIST,0.6,avg,naive,25,32,1,1.0,LeNet-5,61706,,,20,53,1500,0.9657999873161316,0.99
MNIST,0.6,avg,naive,25,32,1,1.0,LeNet-5,61706,,,21,55,1575,0.9668999910354614,0.9825
MNIST,0.6,avg,naive,25,32,1,1.0,LeNet-5,61706,,,22,58,1650,0.9678000211715698,0.9825
MNIST,0.6,avg,naive,25,32,1,1.0,LeNet-5,61706,,,23,60,1725,0.9688000082969666,0.975
MNIST,0.6,avg,naive,25,32,1,1.0,LeNet-5,61706,,,24,62,1800,0.968500018119812,0.99
MNIST,0.6,avg,naive,25,32,1,1.0,LeNet-5,61706,,,25,65,1875,0.9697999954223633,0.96625
MNIST,0.6,avg,naive,25,32,1,1.0,LeNet-5,61706,,,26,67,1950,0.9702000021934509,0.9825
MNIST,0.6,avg,naive,25,32,1,1.0,LeNet-5,61706,,,27,69,2025,0.9714000225067139,0.9775
MNIST,0.6,avg,naive,25,32,1,1.0,LeNet-5,61706,,,28,71,2100,0.9714999794960022,0.9775
MNIST,0.6,avg,naive,25,32,1,1.0,LeNet-5,61706,,,29,74,2175,0.9722999930381775,0.99125
MNIST,0.6,avg,naive,25,32,1,1.0,LeNet-5,61706,,,30,76,2250,0.9729999899864197,0.98125
MNIST,0.6,avg,naive,25,32,1,1.0,LeNet-5,61706,,,31,78,2325,0.9728999733924866,0.98375
MNIST,0.6,avg,naive,25,32,1,1.0,LeNet-5,61706,,,32,81,2400,0.9735000133514404,0.98375
MNIST,0.6,avg,naive,25,32,1,1.0,LeNet-5,61706,,,33,83,2475,0.9747999906539917,0.98875
MNIST,0.6,avg,naive,25,32,1,1.0,LeNet-5,61706,,,34,85,2550,0.9753999710083008,0.99
MNIST,0.6,avg,naive,25,32,1,1.0,LeNet-5,61706,,,35,87,2625,0.9761000275611877,0.99125
MNIST,0.6,avg,naive,25,32,1,1.0,LeNet-5,61706,,,36,90,2700,0.9767000079154968,0.9825
MNIST,0.6,avg,naive,25,32,1,1.0,LeNet-5,61706,,,37,92,2775,0.9768000245094299,0.9925
MNIST,0.6,avg,naive,25,32,1,1.0,LeNet-5,61706,,,38,94,2850,0.9772999882698059,0.99
MNIST,0.6,avg,naive,25,32,1,1.0,LeNet-5,61706,,,39,96,2925,0.9764999747276306,0.99
MNIST,0.6,avg,naive,25,32,1,1.0,LeNet-5,61706,,,40,99,3000,0.9771000146865845,0.99125
