dataset_name,bias,aggr_scheme,fda_name,num_clients,batch_size,num_steps_until_rtc_check,theta,nn_name,nn_num_weights,sketch_width,sketch_depth,epoch,total_rounds,total_fda_steps,accuracy,train_accuracy
MNIST,-1.0,avg,naive,45,32,1,2.0,LeNet-5,61706,,,1,4,42,0.739799976348877,0.8090278
MNIST,-1.0,avg,naive,45,32,1,2.0,LeNet-5,61706,,,2,6,84,0.7904999852180481,0.775
MNIST,-1.0,avg,naive,45,32,1,2.0,LeNet-5,61706,,,3,7,125,0.8109999895095825,0.90208334
MNIST,-1.0,avg,naive,45,32,1,2.0,LeNet-5,61706,,,4,8,167,0.8314999938011169,0.90902776
MNIST,-1.0,avg,naive,45,32,1,2.0,LeNet-5,61706,,,5,9,209,0.8482999801635742,0.9152778
MNIST,-1.0,avg,naive,45,32,1,2.0,LeNet-5,61706,,,6,10,250,0.8648999929428101,0.91180557
MNIST,-1.0,avg,naive,45,32,1,2.0,LeNet-5,61706,,,7,11,292,0.8747000098228455,0.93194443
MNIST,-1.0,avg,naive,45,32,1,2.0,LeNet-5,61706,,,8,12,334,0.879800021648407,0.9138889
MNIST,-1.0,avg,naive,45,32,1,2.0,LeNet-5,61706,,,9,13,375,0.8794000148773193,0.88611114
MNIST,-1.0,avg,naive,45,32,1,2.0,LeNet-5,61706,,,10,13,417,0.8812999725341797,0.94722223
MNIST,-1.0,avg,naive,45,32,1,2.0,LeNet-5,61706,,,11,14,459,0.8942000269889832,0.93819445
MNIST,-1.0,avg,naive,45,32,1,2.0,LeNet-5,61706,,,12,15,500,0.9068999886512756,0.93958336
MNIST,-1.0,avg,naive,45,32,1,2.0,LeNet-5,61706,,,13,16,542,0.9165999889373779,0.9583333
MNIST,-1.0,avg,naive,45,32,1,2.0,LeNet-5,61706,,,14,17,584,0.9269000291824341,0.9534722
MNIST,-1.0,avg,naive,45,32,1,2.0,LeNet-5,61706,,,15,18,625,0.9309999942779541,0.9597222
MNIST,-1.0,avg,naive,45,32,1,2.0,LeNet-5,61706,,,16,19,667,0.9294000267982483,0.95208335
MNIST,-1.0,avg,naive,45,32,1,2.0,LeNet-5,61706,,,17,19,709,0.9266999959945679,0.9673611
MNIST,-1.0,avg,naive,45,32,1,2.0,LeNet-5,61706,,,18,20,750,0.9334999918937683,0.9611111
MNIST,-1.0,avg,naive,45,32,1,2.0,LeNet-5,61706,,,19,21,792,0.9430000185966492,0.9673611
MNIST,-1.0,avg,naive,45,32,1,2.0,LeNet-5,61706,,,20,22,834,0.948199987411499,0.9513889
MNIST,-1.0,avg,naive,45,32,1,2.0,LeNet-5,61706,,,21,23,875,0.9501000046730042,0.9583333
MNIST,-1.0,avg,naive,45,32,1,2.0,LeNet-5,61706,,,22,23,917,0.944100022315979,0.97847223
MNIST,-1.0,avg,naive,45,32,1,2.0,LeNet-5,61706,,,23,24,959,0.9473999738693237,0.96944445
MNIST,-1.0,avg,naive,45,32,1,2.0,LeNet-5,61706,,,24,25,1000,0.9539999961853027,0.9701389
MNIST,-1.0,avg,naive,45,32,1,2.0,LeNet-5,61706,,,25,26,1042,0.9569000005722046,0.9701389
MNIST,-1.0,avg,naive,45,32,1,2.0,LeNet-5,61706,,,26,27,1084,0.9514999985694885,0.94305557
