dataset_name,bias,fda_name,num_clients,batch_size,num_steps_until_rtc_check,theta,nn_name,nn_num_weights,sketch_width,sketch_depth,epoch,total_rounds,total_fda_steps,accuracy
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,1,1,35,0.8284000158309937
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,2,2,69,0.8855999708175659
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,3,2,103,0.8991000056266785
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,4,2,137,0.9067000150680542
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,5,2,171,0.9118000268936157
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,6,3,205,0.9180999994277954
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,7,3,239,0.923799991607666
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,8,3,273,0.926800012588501
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,9,3,307,0.9280999898910522
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,10,3,341,0.9315999746322632
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,11,3,376,0.9337000250816345
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,12,3,410,0.9337000250816345
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,13,4,444,0.9370999932289124
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,14,4,478,0.9398999810218811
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,15,4,512,0.9416999816894531
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,16,4,546,0.9435999989509583
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,17,4,580,0.944100022315979
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,18,4,614,0.9455999732017517
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,19,4,648,0.946399986743927
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,20,4,682,0.9465000033378601
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,21,5,716,0.9473000168800354
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,22,5,751,0.9514999985694885
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,23,5,785,0.9526000022888184
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,24,5,819,0.9538000226020813
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,25,5,853,0.9541000127792358
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,26,5,887,0.9539999961853027
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,27,5,921,0.9545999765396118
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,28,5,955,0.954800009727478
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,29,5,989,0.9550999999046326
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,30,5,1023,0.9553999900817871
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,31,5,1057,0.9555000066757202
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,32,5,1091,0.9555000066757202
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,33,5,1126,0.955299973487854
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,34,6,1160,0.9585000276565552
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,35,6,1194,0.9603000283241272
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,36,6,1228,0.9603999853134155
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,37,6,1262,0.9603000283241272
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,38,6,1296,0.9610000252723694
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,39,6,1330,0.9616000056266785
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,40,6,1364,0.9611999988555908
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,41,6,1398,0.9616000056266785
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,42,6,1432,0.9620000123977661
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,43,6,1466,0.9621000289916992
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,44,6,1501,0.9624999761581421
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,45,6,1535,0.9623000025749207
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,46,6,1569,0.9621000289916992
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,47,6,1603,0.9623000025749207
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,48,6,1637,0.9623000025749207
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,49,6,1671,0.9623000025749207
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,50,6,1705,0.9621999859809875
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,51,6,1739,0.9624000191688538
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,52,6,1773,0.9623000025749207
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,53,7,1807,0.9639000296592712
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,54,7,1841,0.9653000235557556
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,55,7,1876,0.964900016784668
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,56,7,1910,0.965399980545044
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,57,7,1944,0.9653000235557556
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,58,7,1978,0.9656000137329102
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,59,7,2012,0.9653000235557556
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,60,7,2046,0.9656000137329102
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,61,7,2080,0.965399980545044
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,62,7,2114,0.9650999903678894
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,63,7,2148,0.9650999903678894
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,64,7,2182,0.9650999903678894
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,65,7,2216,0.965399980545044
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,66,7,2251,0.965399980545044
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,67,7,2285,0.9652000069618225
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,68,7,2319,0.9656000137329102
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,69,7,2353,0.965399980545044
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,70,7,2387,0.9653000235557556
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,71,8,2421,0.9677000045776367
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,72,8,2455,0.9675999879837036
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,73,8,2489,0.9688000082969666
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,74,8,2523,0.9684000015258789
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,75,8,2557,0.9692000150680542
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,76,8,2591,0.9690999984741211
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,77,8,2626,0.9689000248908997
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,78,8,2660,0.9686999917030334
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,79,8,2694,0.9689000248908997
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,80,8,2728,0.9685999751091003
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,81,9,2762,0.9696000218391418
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,82,9,2796,0.9707000255584717
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,83,9,2830,0.9710000157356262
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,84,9,2864,0.9710999727249146
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,85,9,2898,0.9711999893188477
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,86,9,2932,0.9707000255584717
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,87,9,2966,0.9710999727249146
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,88,9,3001,0.9711999893188477
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,89,9,3035,0.9714000225067139
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,90,9,3069,0.9714000225067139
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,91,9,3103,0.9714000225067139
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,92,9,3137,0.9714000225067139
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,93,9,3171,0.9711999893188477
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,94,9,3205,0.9715999960899353
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,95,9,3239,0.9714999794960022
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,96,9,3273,0.9714999794960022
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,97,9,3307,0.9714999794960022
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,98,9,3341,0.9714999794960022
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,99,9,3376,0.9714999794960022
MNIST,,naive,55,32,1,15.0,LeNet-5,61706,,,100,9,3410,0.9714999794960022
