dataset_name,bias,aggr_scheme,fda_name,num_clients,batch_size,num_steps_until_rtc_check,theta,nn_name,nn_num_weights,sketch_width,sketch_depth,epoch,total_rounds,total_fda_steps,accuracy,train_accuracy
MNIST,,avg,sketch,30,32,1,5.0,LeNet-5,61706,250,5,1,1,63,0.8622000217437744,0.8489583
MNIST,,avg,sketch,30,32,1,5.0,LeNet-5,61706,250,5,2,2,125,0.8956999778747559,0.88958335
MNIST,,avg,sketch,30,32,1,5.0,LeNet-5,61706,250,5,3,2,188,0.9103000164031982,0.8989583
MNIST,,avg,sketch,30,32,1,5.0,LeNet-5,61706,250,5,4,2,250,0.9186999797821045,0.92083335
MNIST,,avg,sketch,30,32,1,5.0,LeNet-5,61706,250,5,5,3,313,0.9240000247955322,0.909375
MNIST,,avg,sketch,30,32,1,5.0,LeNet-5,61706,250,5,6,3,375,0.9307000041007996,0.9302083
MNIST,,avg,sketch,30,32,1,5.0,LeNet-5,61706,250,5,7,3,438,0.9369000196456909,0.934375
MNIST,,avg,sketch,30,32,1,5.0,LeNet-5,61706,250,5,8,4,500,0.9402999877929688,0.93645835
MNIST,,avg,sketch,30,32,1,5.0,LeNet-5,61706,250,5,9,4,563,0.9434999823570251,0.95729166
MNIST,,avg,sketch,30,32,1,5.0,LeNet-5,61706,250,5,10,5,625,0.9476000070571899,0.946875
MNIST,,avg,sketch,30,32,1,5.0,LeNet-5,61706,250,5,11,5,688,0.9509000182151794,0.9583333
MNIST,,avg,sketch,30,32,1,5.0,LeNet-5,61706,250,5,12,5,750,0.95169997215271,0.96770835
MNIST,,avg,sketch,30,32,1,5.0,LeNet-5,61706,250,5,13,6,813,0.9560999870300293,0.94166666
MNIST,,avg,sketch,30,32,1,5.0,LeNet-5,61706,250,5,14,6,875,0.9564999938011169,0.975
MNIST,,avg,sketch,30,32,1,5.0,LeNet-5,61706,250,5,15,6,938,0.9574000239372253,0.98020834
MNIST,,avg,sketch,30,32,1,5.0,LeNet-5,61706,250,5,16,7,1000,0.9603000283241272,0.971875
MNIST,,avg,sketch,30,32,1,5.0,LeNet-5,61706,250,5,17,7,1063,0.9605000019073486,0.98020834
MNIST,,avg,sketch,30,32,1,5.0,LeNet-5,61706,250,5,18,8,1125,0.961899995803833,0.965625
MNIST,,avg,sketch,30,32,1,5.0,LeNet-5,61706,250,5,19,8,1188,0.9629999995231628,0.97291666
MNIST,,avg,sketch,30,32,1,5.0,LeNet-5,61706,250,5,20,8,1250,0.9643999934196472,0.98854166
MNIST,,avg,sketch,30,32,1,5.0,LeNet-5,61706,250,5,21,9,1313,0.9650999903678894,0.959375
MNIST,,avg,sketch,30,32,1,5.0,LeNet-5,61706,250,5,22,9,1375,0.9656000137329102,0.984375
