dataset_name,bias,aggr_scheme,fda_name,num_clients,batch_size,num_steps_until_rtc_check,theta,nn_name,nn_num_weights,sketch_width,sketch_depth,epoch,total_rounds,total_fda_steps,accuracy,train_accuracy
MNIST,-1.0,avg,sketch,35,32,1,2.0,LeNet-5,61706,250,5,1,2,54,0.7795000076293945,0.85625
MNIST,-1.0,avg,sketch,35,32,1,2.0,LeNet-5,61706,250,5,2,4,108,0.8065000176429749,0.8767857
MNIST,-1.0,avg,sketch,35,32,1,2.0,LeNet-5,61706,250,5,3,5,161,0.8355000019073486,0.92053574
MNIST,-1.0,avg,sketch,35,32,1,2.0,LeNet-5,61706,250,5,4,6,215,0.8564000129699707,0.92410713
MNIST,-1.0,avg,sketch,35,32,1,2.0,LeNet-5,61706,250,5,5,7,268,0.8666999936103821,0.93035716
MNIST,-1.0,avg,sketch,35,32,1,2.0,LeNet-5,61706,250,5,6,8,322,0.8734999895095825,0.9294643
MNIST,-1.0,avg,sketch,35,32,1,2.0,LeNet-5,61706,250,5,7,9,375,0.8870000243186951,0.9464286
MNIST,-1.0,avg,sketch,35,32,1,2.0,LeNet-5,61706,250,5,8,10,429,0.8942000269889832,0.94107145
MNIST,-1.0,avg,sketch,35,32,1,2.0,LeNet-5,61706,250,5,9,11,483,0.9067000150680542,0.95357144
MNIST,-1.0,avg,sketch,35,32,1,2.0,LeNet-5,61706,250,5,10,12,536,0.9128999710083008,0.95625
MNIST,-1.0,avg,sketch,35,32,1,2.0,LeNet-5,61706,250,5,11,13,590,0.9182999730110168,0.9678571
MNIST,-1.0,avg,sketch,35,32,1,2.0,LeNet-5,61706,250,5,12,14,643,0.9247000217437744,0.96339285
MNIST,-1.0,avg,sketch,35,32,1,2.0,LeNet-5,61706,250,5,13,15,697,0.930400013923645,0.96875
MNIST,-1.0,avg,sketch,35,32,1,2.0,LeNet-5,61706,250,5,14,16,750,0.9359999895095825,0.9607143
MNIST,-1.0,avg,sketch,35,32,1,2.0,LeNet-5,61706,250,5,15,17,804,0.9348999857902527,0.9589286
MNIST,-1.0,avg,sketch,35,32,1,2.0,LeNet-5,61706,250,5,16,18,858,0.9433000087738037,0.9669643
MNIST,-1.0,avg,sketch,35,32,1,2.0,LeNet-5,61706,250,5,17,19,911,0.946399986743927,0.96875
MNIST,-1.0,avg,sketch,35,32,1,2.0,LeNet-5,61706,250,5,18,20,965,0.9473999738693237,0.97232145
MNIST,-1.0,avg,sketch,35,32,1,2.0,LeNet-5,61706,250,5,19,21,1018,0.9503999948501587,0.9705357
MNIST,-1.0,avg,sketch,35,32,1,2.0,LeNet-5,61706,250,5,20,22,1072,0.9534000158309937,0.97410715
MNIST,-1.0,avg,sketch,35,32,1,2.0,LeNet-5,61706,250,5,21,23,1125,0.9563000202178955,0.97589284
MNIST,-1.0,avg,sketch,35,32,1,2.0,LeNet-5,61706,250,5,22,24,1179,0.9580000042915344,0.9678571
