dataset_name,bias,aggr_scheme,fda_name,num_clients,batch_size,num_steps_until_rtc_check,theta,nn_name,nn_num_weights,sketch_width,sketch_depth,epoch,total_rounds,total_fda_steps,accuracy,train_accuracy
MNIST,0.6,avg,sketch,50,32,1,1.5,LeNet-5,61706,250,5,1,3,38,0.7427999973297119,0.731875
MNIST,0.6,avg,sketch,50,32,1,1.5,LeNet-5,61706,250,5,2,5,75,0.8422999978065491,0.878125
MNIST,0.6,avg,sketch,50,32,1,1.5,LeNet-5,61706,250,5,3,6,113,0.8704000115394592,0.90125
MNIST,0.6,avg,sketch,50,32,1,1.5,LeNet-5,61706,250,5,4,7,150,0.8827999830245972,0.928125
MNIST,0.6,avg,sketch,50,32,1,1.5,LeNet-5,61706,250,5,5,8,188,0.8912000060081482,0.911875
MNIST,0.6,avg,sketch,50,32,1,1.5,LeNet-5,61706,250,5,6,9,225,0.8998000025749207,0.9225
MNIST,0.6,avg,sketch,50,32,1,1.5,LeNet-5,61706,250,5,7,10,263,0.9042999744415283,0.929375
MNIST,0.6,avg,sketch,50,32,1,1.5,LeNet-5,61706,250,5,8,11,300,0.9072999954223633,0.934375
MNIST,0.6,avg,sketch,50,32,1,1.5,LeNet-5,61706,250,5,9,12,338,0.9122999906539917,0.939375
MNIST,0.6,avg,sketch,50,32,1,1.5,LeNet-5,61706,250,5,10,13,375,0.9157000184059143,0.9375
MNIST,0.6,avg,sketch,50,32,1,1.5,LeNet-5,61706,250,5,11,14,413,0.9200999736785889,0.93125
MNIST,0.6,avg,sketch,50,32,1,1.5,LeNet-5,61706,250,5,12,15,450,0.92330002784729,0.9375
MNIST,0.6,avg,sketch,50,32,1,1.5,LeNet-5,61706,250,5,13,16,488,0.9272000193595886,0.9375
MNIST,0.6,avg,sketch,50,32,1,1.5,LeNet-5,61706,250,5,14,17,525,0.9297000169754028,0.928125
MNIST,0.6,avg,sketch,50,32,1,1.5,LeNet-5,61706,250,5,15,17,563,0.9319000244140625,0.966875
MNIST,0.6,avg,sketch,50,32,1,1.5,LeNet-5,61706,250,5,16,18,600,0.9334999918937683,0.97
MNIST,0.6,avg,sketch,50,32,1,1.5,LeNet-5,61706,250,5,17,19,638,0.9361000061035156,0.9625
MNIST,0.6,avg,sketch,50,32,1,1.5,LeNet-5,61706,250,5,18,20,675,0.9377999901771545,0.966875
MNIST,0.6,avg,sketch,50,32,1,1.5,LeNet-5,61706,250,5,19,21,713,0.9395999908447266,0.96125
MNIST,0.6,avg,sketch,50,32,1,1.5,LeNet-5,61706,250,5,20,22,750,0.9412000179290771,0.965
MNIST,0.6,avg,sketch,50,32,1,1.5,LeNet-5,61706,250,5,21,23,788,0.9437999725341797,0.968125
MNIST,0.6,avg,sketch,50,32,1,1.5,LeNet-5,61706,250,5,22,24,825,0.9442999958992004,0.97
MNIST,0.6,avg,sketch,50,32,1,1.5,LeNet-5,61706,250,5,23,25,863,0.9466999769210815,0.963125
MNIST,0.6,avg,sketch,50,32,1,1.5,LeNet-5,61706,250,5,24,26,900,0.9480999708175659,0.97
MNIST,0.6,avg,sketch,50,32,1,1.5,LeNet-5,61706,250,5,25,27,938,0.9488000273704529,0.965625
MNIST,0.6,avg,sketch,50,32,1,1.5,LeNet-5,61706,250,5,26,28,975,0.9498999714851379,0.96625
MNIST,0.6,avg,sketch,50,32,1,1.5,LeNet-5,61706,250,5,27,29,1013,0.949999988079071,0.97
MNIST,0.6,avg,sketch,50,32,1,1.5,LeNet-5,61706,250,5,28,30,1050,0.9506999850273132,0.968125
MNIST,0.6,avg,sketch,50,32,1,1.5,LeNet-5,61706,250,5,29,31,1088,0.9520000219345093,0.961875
MNIST,0.6,avg,sketch,50,32,1,1.5,LeNet-5,61706,250,5,30,32,1125,0.9527999758720398,0.95625
MNIST,0.6,avg,sketch,50,32,1,1.5,LeNet-5,61706,250,5,31,33,1163,0.953000009059906,0.955625
MNIST,0.6,avg,sketch,50,32,1,1.5,LeNet-5,61706,250,5,32,33,1200,0.9538999795913696,0.981875
MNIST,0.6,avg,sketch,50,32,1,1.5,LeNet-5,61706,250,5,33,34,1238,0.9552000164985657,0.983125
MNIST,0.6,avg,sketch,50,32,1,1.5,LeNet-5,61706,250,5,34,35,1275,0.9560999870300293,0.980625
MNIST,0.6,avg,sketch,50,32,1,1.5,LeNet-5,61706,250,5,35,36,1313,0.9569000005722046,0.985625
MNIST,0.6,avg,sketch,50,32,1,1.5,LeNet-5,61706,250,5,36,37,1350,0.9580000042915344,0.9825
MNIST,0.6,avg,sketch,50,32,1,1.5,LeNet-5,61706,250,5,37,38,1388,0.9591000080108643,0.986875
MNIST,0.6,avg,sketch,50,32,1,1.5,LeNet-5,61706,250,5,38,39,1425,0.9595000147819519,0.981875
MNIST,0.6,avg,sketch,50,32,1,1.5,LeNet-5,61706,250,5,39,40,1463,0.9603999853134155,0.973125
MNIST,0.6,avg,sketch,50,32,1,1.5,LeNet-5,61706,250,5,40,41,1500,0.9613000154495239,0.9825
MNIST,0.6,avg,sketch,50,32,1,1.5,LeNet-5,61706,250,5,41,42,1538,0.9620000123977661,0.97625
MNIST,0.6,avg,sketch,50,32,1,1.5,LeNet-5,61706,250,5,42,43,1575,0.9625999927520752,0.97125
MNIST,0.6,avg,sketch,50,32,1,1.5,LeNet-5,61706,250,5,43,44,1613,0.9632999897003174,0.980625
MNIST,0.6,avg,sketch,50,32,1,1.5,LeNet-5,61706,250,5,44,45,1650,0.963699996471405,0.981875
MNIST,0.6,avg,sketch,50,32,1,1.5,LeNet-5,61706,250,5,45,46,1688,0.964900016784668,0.978125
MNIST,0.6,avg,sketch,50,32,1,1.5,LeNet-5,61706,250,5,46,47,1725,0.9648000001907349,0.961875
MNIST,0.6,avg,sketch,50,32,1,1.5,LeNet-5,61706,250,5,47,47,1763,0.9656999707221985,0.988125
MNIST,0.6,avg,sketch,50,32,1,1.5,LeNet-5,61706,250,5,48,48,1800,0.964900016784668,0.99
MNIST,0.6,avg,sketch,50,32,1,1.5,LeNet-5,61706,250,5,49,49,1838,0.9663000106811523,0.985625
MNIST,0.6,avg,sketch,50,32,1,1.5,LeNet-5,61706,250,5,50,50,1875,0.967199981212616,0.98125
MNIST,0.6,avg,sketch,50,32,1,1.5,LeNet-5,61706,250,5,51,51,1913,0.9667999744415283,0.985625
MNIST,0.6,avg,sketch,50,32,1,1.5,LeNet-5,61706,250,5,52,52,1950,0.9678000211715698,0.981875
MNIST,0.6,avg,sketch,50,32,1,1.5,LeNet-5,61706,250,5,53,53,1988,0.9681000113487244,0.983125
