Num GPUs Available:  1

------------ Current Test : ------------
Dataset name : CIFAR10
Bias : None
Bench test : False
NN name : DenseNet201
FDA name : linear
Num Clients : 25
Batch size : 32
Num Epochs : 300
Number of steps until we check RTC : 1
Theta : 350.0
Aggr. Scheme : avg
Per-Layer training : False
-----------------------------------------

EpochMetrics(epoch=1, total_rounds=12, total_fda_steps=63, accuracy=0.09849999845027924, train_accuracy=0.2225)
EpochMetrics(epoch=2, total_rounds=16, total_fda_steps=125, accuracy=0.18209999799728394, train_accuracy=0.22375)
EpochMetrics(epoch=3, total_rounds=17, total_fda_steps=188, accuracy=0.33719998598098755, train_accuracy=0.2675)
EpochMetrics(epoch=4, total_rounds=18, total_fda_steps=250, accuracy=0.3625999987125397, train_accuracy=0.30875)
EpochMetrics(epoch=5, total_rounds=19, total_fda_steps=313, accuracy=0.36480000615119934, train_accuracy=0.3025)
EpochMetrics(epoch=6, total_rounds=19, total_fda_steps=375, accuracy=0.38269999623298645, train_accuracy=0.34375)
EpochMetrics(epoch=7, total_rounds=19, total_fda_steps=438, accuracy=0.38519999384880066, train_accuracy=0.3675)
EpochMetrics(epoch=8, total_rounds=20, total_fda_steps=500, accuracy=0.398499995470047, train_accuracy=0.3725)
EpochMetrics(epoch=9, total_rounds=20, total_fda_steps=563, accuracy=0.40849998593330383, train_accuracy=0.37875)
EpochMetrics(epoch=10, total_rounds=20, total_fda_steps=625, accuracy=0.4165000021457672, train_accuracy=0.4075)
EpochMetrics(epoch=11, total_rounds=21, total_fda_steps=688, accuracy=0.42669999599456787, train_accuracy=0.43625)
EpochMetrics(epoch=12, total_rounds=21, total_fda_steps=750, accuracy=0.43959999084472656, train_accuracy=0.405)
EpochMetrics(epoch=13, total_rounds=21, total_fda_steps=813, accuracy=0.45010000467300415, train_accuracy=0.475)
EpochMetrics(epoch=14, total_rounds=21, total_fda_steps=875, accuracy=0.4521999955177307, train_accuracy=0.44)
