Num GPUs Available:  1

------------ Current Test : ------------
Dataset name : CIFAR10
Bias : None
Bench test : False
NN name : DenseNet201
FDA name : sketch
Num Clients : 15
Batch size : 32
Num Epochs : 300
Number of steps until we check RTC : 1
Theta : 350.0
Aggr. Scheme : avg
Per-Layer training : False
-----------------------------------------

EpochMetrics(epoch=1, total_rounds=15, total_fda_steps=105, accuracy=0.1745000034570694, train_accuracy=0.20833333)
EpochMetrics(epoch=2, total_rounds=18, total_fda_steps=209, accuracy=0.26660001277923584, train_accuracy=0.25625)
EpochMetrics(epoch=3, total_rounds=19, total_fda_steps=313, accuracy=0.28760001063346863, train_accuracy=0.28958333)
EpochMetrics(epoch=4, total_rounds=20, total_fda_steps=417, accuracy=0.2703000009059906, train_accuracy=0.31041667)
EpochMetrics(epoch=5, total_rounds=21, total_fda_steps=521, accuracy=0.29919999837875366, train_accuracy=0.35833332)
EpochMetrics(epoch=6, total_rounds=21, total_fda_steps=626, accuracy=0.37630000710487366, train_accuracy=0.33958334)
EpochMetrics(epoch=7, total_rounds=22, total_fda_steps=730, accuracy=0.399399995803833, train_accuracy=0.40208334)
EpochMetrics(epoch=8, total_rounds=22, total_fda_steps=834, accuracy=0.41350001096725464, train_accuracy=0.39583334)
EpochMetrics(epoch=9, total_rounds=22, total_fda_steps=938, accuracy=0.4259999990463257, train_accuracy=0.3875)
EpochMetrics(epoch=10, total_rounds=23, total_fda_steps=1042, accuracy=0.46790000796318054, train_accuracy=0.38541666)
EpochMetrics(epoch=11, total_rounds=23, total_fda_steps=1146, accuracy=0.47519999742507935, train_accuracy=0.43333334)
EpochMetrics(epoch=12, total_rounds=23, total_fda_steps=1251, accuracy=0.4767000079154968, train_accuracy=0.45833334)
EpochMetrics(epoch=13, total_rounds=24, total_fda_steps=1355, accuracy=0.499099999666214, train_accuracy=0.42083332)
EpochMetrics(epoch=14, total_rounds=24, total_fda_steps=1459, accuracy=0.5102999806404114, train_accuracy=0.45416668)
EpochMetrics(epoch=15, total_rounds=24, total_fda_steps=1563, accuracy=0.510200023651123, train_accuracy=0.5083333)
EpochMetrics(epoch=16, total_rounds=25, total_fda_steps=1667, accuracy=0.5213000178337097, train_accuracy=0.48125)
EpochMetrics(epoch=17, total_rounds=25, total_fda_steps=1771, accuracy=0.5432999730110168, train_accuracy=0.50625)
EpochMetrics(epoch=18, total_rounds=25, total_fda_steps=1876, accuracy=0.546500027179718, train_accuracy=0.5229167)
EpochMetrics(epoch=19, total_rounds=26, total_fda_steps=1980, accuracy=0.5430999994277954, train_accuracy=0.5229167)
EpochMetrics(epoch=20, total_rounds=26, total_fda_steps=2084, accuracy=0.5745000243186951, train_accuracy=0.54583335)
EpochMetrics(epoch=21, total_rounds=26, total_fda_steps=2188, accuracy=0.5697000026702881, train_accuracy=0.56458336)
EpochMetrics(epoch=22, total_rounds=27, total_fda_steps=2292, accuracy=0.5777000188827515, train_accuracy=0.5375)
