Num GPUs Available:  1

------------ Current Test : ------------
Dataset name : CIFAR10
Bias : None
Bench test : False
NN name : DenseNet201
FDA name : naive
Num Clients : 10
Batch size : 32
Num Epochs : 300
Number of steps until we check RTC : 1
Theta : 500.0
Aggr. Scheme : avg
Per-Layer training : False
-----------------------------------------

EpochMetrics(epoch=1, total_rounds=13, total_fda_steps=157, accuracy=0.22179999947547913, train_accuracy=0.225)
EpochMetrics(epoch=2, total_rounds=15, total_fda_steps=313, accuracy=0.337799996137619, train_accuracy=0.296875)
EpochMetrics(epoch=3, total_rounds=16, total_fda_steps=469, accuracy=0.39169999957084656, train_accuracy=0.35)
EpochMetrics(epoch=4, total_rounds=16, total_fda_steps=625, accuracy=0.40939998626708984, train_accuracy=0.39375)
EpochMetrics(epoch=5, total_rounds=17, total_fda_steps=782, accuracy=0.42309999465942383, train_accuracy=0.328125)
EpochMetrics(epoch=6, total_rounds=17, total_fda_steps=938, accuracy=0.4138000011444092, train_accuracy=0.396875)
EpochMetrics(epoch=7, total_rounds=18, total_fda_steps=1094, accuracy=0.45100000500679016, train_accuracy=0.428125)
EpochMetrics(epoch=8, total_rounds=18, total_fda_steps=1250, accuracy=0.4717999994754791, train_accuracy=0.3875)
EpochMetrics(epoch=9, total_rounds=19, total_fda_steps=1407, accuracy=0.4814999997615814, train_accuracy=0.44375)
EpochMetrics(epoch=10, total_rounds=19, total_fda_steps=1563, accuracy=0.4964999854564667, train_accuracy=0.50625)
EpochMetrics(epoch=11, total_rounds=20, total_fda_steps=1719, accuracy=0.5181000232696533, train_accuracy=0.440625)
EpochMetrics(epoch=12, total_rounds=20, total_fda_steps=1875, accuracy=0.5230000019073486, train_accuracy=0.396875)
EpochMetrics(epoch=13, total_rounds=21, total_fda_steps=2032, accuracy=0.5307999849319458, train_accuracy=0.496875)
EpochMetrics(epoch=14, total_rounds=21, total_fda_steps=2188, accuracy=0.5583999752998352, train_accuracy=0.475)
EpochMetrics(epoch=15, total_rounds=22, total_fda_steps=2344, accuracy=0.5684000253677368, train_accuracy=0.503125)
EpochMetrics(epoch=16, total_rounds=22, total_fda_steps=2500, accuracy=0.5321999788284302, train_accuracy=0.540625)
EpochMetrics(epoch=17, total_rounds=23, total_fda_steps=2657, accuracy=0.5249999761581421, train_accuracy=0.51875)
EpochMetrics(epoch=18, total_rounds=24, total_fda_steps=2813, accuracy=0.5504999756813049, train_accuracy=0.546875)
EpochMetrics(epoch=19, total_rounds=24, total_fda_steps=2969, accuracy=0.5861999988555908, train_accuracy=0.559375)
EpochMetrics(epoch=20, total_rounds=25, total_fda_steps=3125, accuracy=0.5503000020980835, train_accuracy=0.5625)
EpochMetrics(epoch=21, total_rounds=26, total_fda_steps=3282, accuracy=0.5630000233650208, train_accuracy=0.575)
EpochMetrics(epoch=22, total_rounds=26, total_fda_steps=3438, accuracy=0.5343999862670898, train_accuracy=0.609375)
EpochMetrics(epoch=23, total_rounds=27, total_fda_steps=3594, accuracy=0.613099992275238, train_accuracy=0.621875)
EpochMetrics(epoch=24, total_rounds=28, total_fda_steps=3750, accuracy=0.6172000169754028, train_accuracy=0.6)
EpochMetrics(epoch=25, total_rounds=29, total_fda_steps=3907, accuracy=0.6528000235557556, train_accuracy=0.646875)
EpochMetrics(epoch=26, total_rounds=29, total_fda_steps=4063, accuracy=0.6610000133514404, train_accuracy=0.61875)
EpochMetrics(epoch=27, total_rounds=30, total_fda_steps=4219, accuracy=0.6593000292778015, train_accuracy=0.6125)
EpochMetrics(epoch=28, total_rounds=31, total_fda_steps=4375, accuracy=0.660099983215332, train_accuracy=0.66875)
EpochMetrics(epoch=29, total_rounds=31, total_fda_steps=4532, accuracy=0.6783999800682068, train_accuracy=0.715625)
EpochMetrics(epoch=30, total_rounds=32, total_fda_steps=4688, accuracy=0.6826000213623047, train_accuracy=0.65625)
EpochMetrics(epoch=31, total_rounds=32, total_fda_steps=4844, accuracy=0.6887000203132629, train_accuracy=0.6875)
EpochMetrics(epoch=32, total_rounds=33, total_fda_steps=5000, accuracy=0.6959999799728394, train_accuracy=0.73125)
EpochMetrics(epoch=33, total_rounds=33, total_fda_steps=5157, accuracy=0.6996999979019165, train_accuracy=0.653125)
EpochMetrics(epoch=34, total_rounds=34, total_fda_steps=5313, accuracy=0.6970999836921692, train_accuracy=0.65625)
EpochMetrics(epoch=35, total_rounds=35, total_fda_steps=5469, accuracy=0.6967999935150146, train_accuracy=0.7125)
EpochMetrics(epoch=36, total_rounds=35, total_fda_steps=5625, accuracy=0.7099999785423279, train_accuracy=0.734375)
EpochMetrics(epoch=37, total_rounds=36, total_fda_steps=5782, accuracy=0.718999981880188, train_accuracy=0.7375)
EpochMetrics(epoch=38, total_rounds=36, total_fda_steps=5938, accuracy=0.722100019454956, train_accuracy=0.73125)
EpochMetrics(epoch=39, total_rounds=37, total_fda_steps=6094, accuracy=0.7272999882698059, train_accuracy=0.721875)
EpochMetrics(epoch=40, total_rounds=37, total_fda_steps=6250, accuracy=0.727400004863739, train_accuracy=0.715625)
EpochMetrics(epoch=41, total_rounds=38, total_fda_steps=6407, accuracy=0.7364000082015991, train_accuracy=0.75)
EpochMetrics(epoch=42, total_rounds=38, total_fda_steps=6563, accuracy=0.7289000153541565, train_accuracy=0.7625)
EpochMetrics(epoch=43, total_rounds=39, total_fda_steps=6719, accuracy=0.7454000115394592, train_accuracy=0.78125)
EpochMetrics(epoch=44, total_rounds=40, total_fda_steps=6875, accuracy=0.7451000213623047, train_accuracy=0.725)
EpochMetrics(epoch=45, total_rounds=40, total_fda_steps=7032, accuracy=0.7351999878883362, train_accuracy=0.7375)
EpochMetrics(epoch=46, total_rounds=41, total_fda_steps=7188, accuracy=0.7365000247955322, train_accuracy=0.73125)
EpochMetrics(epoch=47, total_rounds=41, total_fda_steps=7344, accuracy=0.7480000257492065, train_accuracy=0.753125)
EpochMetrics(epoch=48, total_rounds=42, total_fda_steps=7500, accuracy=0.7475000023841858, train_accuracy=0.775)
EpochMetrics(epoch=49, total_rounds=42, total_fda_steps=7657, accuracy=0.7487000226974487, train_accuracy=0.740625)
EpochMetrics(epoch=50, total_rounds=43, total_fda_steps=7813, accuracy=0.7491999864578247, train_accuracy=0.775)
EpochMetrics(epoch=51, total_rounds=44, total_fda_steps=7969, accuracy=0.757099986076355, train_accuracy=0.734375)
EpochMetrics(epoch=52, total_rounds=44, total_fda_steps=8125, accuracy=0.7573000192642212, train_accuracy=0.771875)
EpochMetrics(epoch=53, total_rounds=45, total_fda_steps=8282, accuracy=0.7576000094413757, train_accuracy=0.75625)
EpochMetrics(epoch=54, total_rounds=45, total_fda_steps=8438, accuracy=0.7569000124931335, train_accuracy=0.759375)
EpochMetrics(epoch=55, total_rounds=46, total_fda_steps=8594, accuracy=0.7652000188827515, train_accuracy=0.75625)
EpochMetrics(epoch=56, total_rounds=47, total_fda_steps=8750, accuracy=0.7649999856948853, train_accuracy=0.740625)
