dataset_name,fda_name,num_clients,batch_size,num_steps_until_rtc_check,theta,nn_num_weights,sketch_width,sketch_depth,epoch,total_rounds,total_fda_steps,accuracy
EMNIST,synchronous,40,32,1,0.0,2592202,-1,-1,1,47,47,0.11349999904632568
EMNIST,synchronous,40,32,1,0.0,2592202,-1,-1,2,94,94,0.3955000042915344
EMNIST,synchronous,40,32,1,0.0,2592202,-1,-1,3,141,141,0.7882000207901001
EMNIST,synchronous,40,32,1,0.0,2592202,-1,-1,4,188,188,0.9027000069618225
EMNIST,synchronous,40,32,1,0.0,2592202,-1,-1,5,235,235,0.9337000250816345
EMNIST,synchronous,40,32,1,0.0,2592202,-1,-1,6,282,282,0.9448999762535095
EMNIST,synchronous,40,32,1,0.0,2592202,-1,-1,7,329,329,0.9571999907493591
EMNIST,synchronous,40,32,1,0.0,2592202,-1,-1,8,375,375,0.9667999744415283
EMNIST,synchronous,40,32,1,0.0,2592202,-1,-1,9,422,422,0.9675999879837036
EMNIST,synchronous,40,32,1,0.0,2592202,-1,-1,10,469,469,0.972000002861023
EMNIST,synchronous,40,32,1,0.0,2592202,-1,-1,11,516,516,0.9735999703407288
EMNIST,synchronous,40,32,1,0.0,2592202,-1,-1,12,563,563,0.975600004196167
EMNIST,synchronous,40,32,1,0.0,2592202,-1,-1,13,610,610,0.9768000245094299
EMNIST,synchronous,40,32,1,0.0,2592202,-1,-1,14,657,657,0.9764999747276306
EMNIST,synchronous,40,32,1,0.0,2592202,-1,-1,15,704,704,0.978600025177002
EMNIST,synchronous,40,32,1,0.0,2592202,-1,-1,16,750,750,0.9797999858856201
EMNIST,synchronous,40,32,1,0.0,2592202,-1,-1,17,797,797,0.9807000160217285
EMNIST,synchronous,40,32,1,0.0,2592202,-1,-1,18,844,844,0.9794999957084656
EMNIST,synchronous,40,32,1,0.0,2592202,-1,-1,19,891,891,0.9804999828338623
EMNIST,synchronous,40,32,1,0.0,2592202,-1,-1,20,938,938,0.9818999767303467
EMNIST,synchronous,40,32,1,0.0,2592202,-1,-1,21,985,985,0.982699990272522
EMNIST,synchronous,40,32,1,0.0,2592202,-1,-1,22,1032,1032,0.9825999736785889
EMNIST,synchronous,40,32,1,0.0,2592202,-1,-1,23,1079,1079,0.9817000031471252
EMNIST,synchronous,40,32,1,0.0,2592202,-1,-1,24,1125,1125,0.9815999865531921
EMNIST,synchronous,40,32,1,0.0,2592202,-1,-1,25,1172,1172,0.9828000068664551
EMNIST,synchronous,40,32,1,0.0,2592202,-1,-1,26,1219,1219,0.9804999828338623
EMNIST,synchronous,40,32,1,0.0,2592202,-1,-1,27,1266,1266,0.9839000105857849
EMNIST,synchronous,40,32,1,0.0,2592202,-1,-1,28,1313,1313,0.9825999736785889
EMNIST,synchronous,40,32,1,0.0,2592202,-1,-1,29,1360,1360,0.9832000136375427
EMNIST,synchronous,40,32,1,0.0,2592202,-1,-1,30,1407,1407,0.983299970626831
EMNIST,synchronous,40,32,1,0.0,2592202,-1,-1,31,1454,1454,0.982200026512146
EMNIST,synchronous,40,32,1,0.0,2592202,-1,-1,32,1500,1500,0.9847999811172485
EMNIST,synchronous,40,32,1,0.0,2592202,-1,-1,33,1547,1547,0.9829999804496765
EMNIST,synchronous,40,32,1,0.0,2592202,-1,-1,34,1594,1594,0.9840999841690063
