Running program
Environment

slurm_localid : 0
Running on node : 0
GPU Setup:
[PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')]
CUDA_VISIBLE_DEVICES: 0

Test procid: 0

------------ Current Test : ------------
FDA name : synchronous
Num Clients : 5
Batch size : 32
Num Epochs : 250
Number of steps until we check RTC : 1
Theta : 0.0
-----------------------------------------

EpochMetrics(epoch=1, total_rounds=375, total_fda_steps=375, accuracy=0.9648000001907349)
EpochMetrics(epoch=2, total_rounds=750, total_fda_steps=750, accuracy=0.9563999772071838)
EpochMetrics(epoch=3, total_rounds=1125, total_fda_steps=1125, accuracy=0.9667999744415283)
EpochMetrics(epoch=4, total_rounds=1500, total_fda_steps=1500, accuracy=0.9711999893188477)
EpochMetrics(epoch=5, total_rounds=1875, total_fda_steps=1875, accuracy=0.9715999960899353)
EpochMetrics(epoch=6, total_rounds=2250, total_fda_steps=2250, accuracy=0.9695000052452087)
EpochMetrics(epoch=7, total_rounds=2625, total_fda_steps=2625, accuracy=0.9696000218391418)
EpochMetrics(epoch=8, total_rounds=3000, total_fda_steps=3000, accuracy=0.9728000164031982)
EpochMetrics(epoch=9, total_rounds=3375, total_fda_steps=3375, accuracy=0.970300018787384)
EpochMetrics(epoch=10, total_rounds=3750, total_fda_steps=3750, accuracy=0.9753000140190125)
EpochMetrics(epoch=11, total_rounds=4125, total_fda_steps=4125, accuracy=0.9757999777793884)
EpochMetrics(epoch=12, total_rounds=4500, total_fda_steps=4500, accuracy=0.9695000052452087)
EpochMetrics(epoch=13, total_rounds=4875, total_fda_steps=4875, accuracy=0.9776999950408936)
EpochMetrics(epoch=14, total_rounds=5250, total_fda_steps=5250, accuracy=0.9747999906539917)
EpochMetrics(epoch=15, total_rounds=5625, total_fda_steps=5625, accuracy=0.9761999845504761)
EpochMetrics(epoch=16, total_rounds=6000, total_fda_steps=6000, accuracy=0.975600004196167)
EpochMetrics(epoch=17, total_rounds=6375, total_fda_steps=6375, accuracy=0.9772999882698059)
EpochMetrics(epoch=18, total_rounds=6750, total_fda_steps=6750, accuracy=0.9783999919891357)
EpochMetrics(epoch=19, total_rounds=7125, total_fda_steps=7125, accuracy=0.9735000133514404)
EpochMetrics(epoch=20, total_rounds=7500, total_fda_steps=7500, accuracy=0.9724000096321106)
EpochMetrics(epoch=21, total_rounds=7875, total_fda_steps=7875, accuracy=0.9754999876022339)
EpochMetrics(epoch=22, total_rounds=8250, total_fda_steps=8250, accuracy=0.9753999710083008)
