Running program

slurm_localid : 0
Running on node : 0
GPU Setup:
[PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')]
CUDA_VISIBLE_DEVICES: 0

Test procid: 0

------------ Current Test : ------------
FDA name : synchronous
Num Clients : 5
Batch size : 256
Num Epochs : 300
Number of steps until we check RTC : 1
Theta : 0.0
-----------------------------------------

EpochMetrics(epoch=1, total_rounds=47, total_fda_steps=47, accuracy=0.8095999956130981)
EpochMetrics(epoch=2, total_rounds=94, total_fda_steps=94, accuracy=0.8851000070571899)
EpochMetrics(epoch=3, total_rounds=141, total_fda_steps=141, accuracy=0.9057999849319458)
EpochMetrics(epoch=4, total_rounds=188, total_fda_steps=188, accuracy=0.9211000204086304)
EpochMetrics(epoch=5, total_rounds=235, total_fda_steps=235, accuracy=0.9314000010490417)
EpochMetrics(epoch=6, total_rounds=282, total_fda_steps=282, accuracy=0.9369999766349792)
EpochMetrics(epoch=7, total_rounds=329, total_fda_steps=329, accuracy=0.9419999718666077)
EpochMetrics(epoch=8, total_rounds=375, total_fda_steps=375, accuracy=0.9448000192642212)
EpochMetrics(epoch=9, total_rounds=422, total_fda_steps=422, accuracy=0.9474999904632568)
EpochMetrics(epoch=10, total_rounds=469, total_fda_steps=469, accuracy=0.949999988079071)
EpochMetrics(epoch=11, total_rounds=516, total_fda_steps=516, accuracy=0.9506000280380249)
EpochMetrics(epoch=12, total_rounds=563, total_fda_steps=563, accuracy=0.9520999789237976)
EpochMetrics(epoch=13, total_rounds=610, total_fda_steps=610, accuracy=0.9531999826431274)
EpochMetrics(epoch=14, total_rounds=657, total_fda_steps=657, accuracy=0.9538999795913696)
EpochMetrics(epoch=15, total_rounds=704, total_fda_steps=704, accuracy=0.9545999765396118)
EpochMetrics(epoch=16, total_rounds=750, total_fda_steps=750, accuracy=0.954800009727478)
EpochMetrics(epoch=17, total_rounds=797, total_fda_steps=797, accuracy=0.9542999863624573)
EpochMetrics(epoch=18, total_rounds=844, total_fda_steps=844, accuracy=0.954800009727478)
EpochMetrics(epoch=19, total_rounds=891, total_fda_steps=891, accuracy=0.9545000195503235)
EpochMetrics(epoch=20, total_rounds=938, total_fda_steps=938, accuracy=0.9542999863624573)
EpochMetrics(epoch=21, total_rounds=985, total_fda_steps=985, accuracy=0.9552000164985657)
EpochMetrics(epoch=22, total_rounds=1032, total_fda_steps=1032, accuracy=0.9550999999046326)
EpochMetrics(epoch=23, total_rounds=1079, total_fda_steps=1079, accuracy=0.9549000263214111)
