dataset_name,fda_name,num_clients,batch_size,num_steps_until_rtc_check,theta,nn_num_weights,sketch_width,sketch_depth,epoch,total_rounds,total_fda_steps,accuracy
EMNIST,synchronous,60,32,1,0.0,61706,-1,-1,1,32,32,0.5419999957084656
EMNIST,synchronous,60,32,1,0.0,61706,-1,-1,2,63,63,0.6699000000953674
EMNIST,synchronous,60,32,1,0.0,61706,-1,-1,3,94,94,0.761900007724762
EMNIST,synchronous,60,32,1,0.0,61706,-1,-1,4,125,125,0.8123999834060669
EMNIST,synchronous,60,32,1,0.0,61706,-1,-1,5,157,157,0.8439000248908997
EMNIST,synchronous,60,32,1,0.0,61706,-1,-1,6,188,188,0.864799976348877
EMNIST,synchronous,60,32,1,0.0,61706,-1,-1,7,219,219,0.8776000142097473
EMNIST,synchronous,60,32,1,0.0,61706,-1,-1,8,250,250,0.8896999955177307
EMNIST,synchronous,60,32,1,0.0,61706,-1,-1,9,282,282,0.8970999717712402
EMNIST,synchronous,60,32,1,0.0,61706,-1,-1,10,313,313,0.904699981212616
EMNIST,synchronous,60,32,1,0.0,61706,-1,-1,11,344,344,0.9096999764442444
EMNIST,synchronous,60,32,1,0.0,61706,-1,-1,12,375,375,0.9168000221252441
EMNIST,synchronous,60,32,1,0.0,61706,-1,-1,13,407,407,0.9235000014305115
EMNIST,synchronous,60,32,1,0.0,61706,-1,-1,14,438,438,0.9283000230789185
EMNIST,synchronous,60,32,1,0.0,61706,-1,-1,15,469,469,0.9319999814033508
EMNIST,synchronous,60,32,1,0.0,61706,-1,-1,16,500,500,0.9345999956130981
EMNIST,synchronous,60,32,1,0.0,61706,-1,-1,17,532,532,0.9381999969482422
EMNIST,synchronous,60,32,1,0.0,61706,-1,-1,18,563,563,0.9399999976158142
EMNIST,synchronous,60,32,1,0.0,61706,-1,-1,19,594,594,0.9408000111579895
EMNIST,synchronous,60,32,1,0.0,61706,-1,-1,20,625,625,0.9451000094413757
EMNIST,synchronous,60,32,1,0.0,61706,-1,-1,21,657,657,0.9448000192642212
EMNIST,synchronous,60,32,1,0.0,61706,-1,-1,22,688,688,0.9465000033378601
EMNIST,synchronous,60,32,1,0.0,61706,-1,-1,23,719,719,0.9498000144958496
EMNIST,synchronous,60,32,1,0.0,61706,-1,-1,24,750,750,0.9524000287055969
EMNIST,synchronous,60,32,1,0.0,61706,-1,-1,25,782,782,0.9523000121116638
EMNIST,synchronous,60,32,1,0.0,61706,-1,-1,26,813,813,0.9546999931335449
EMNIST,synchronous,60,32,1,0.0,61706,-1,-1,27,844,844,0.9546999931335449
EMNIST,synchronous,60,32,1,0.0,61706,-1,-1,28,875,875,0.9564999938011169
EMNIST,synchronous,60,32,1,0.0,61706,-1,-1,29,907,907,0.95660001039505
EMNIST,synchronous,60,32,1,0.0,61706,-1,-1,30,938,938,0.9575999975204468
EMNIST,synchronous,60,32,1,0.0,61706,-1,-1,31,969,969,0.9581000208854675
